ecephys_session_id,edge_band_deg,units,sessions,median_maximum_sigma_deg,q25_maximum_sigma_deg,q75_maximum_sigma_deg,q90_maximum_sigma_deg,median_geometric_mean_sigma_deg,fraction_larger_than_mapped_span,fraction_gaussian_center_off_screen
715093703,0–5,81,1,422.2443,128.3485,1253.524,2564.6,149.0146,0.8024691,0.9012346
715093703,>5–10,69,1,49.80647,17.95528,365.7307,976.3111,34.53663,0.4202899,0.5362319
715093703,>10–20,146,1,32.09526,14.70319,77.55006,234.3035,28.08533,0.239726,0.1780822
715093703,>20–40,108,1,26.91679,15.28355,49.79779,77.74819,23.59594,0.1018519,0.009259259
719161530,0–5,61,1,143.5742,18.8759,370.4834,963.847,57.74112,0.6229508,0.7213115
719161530,>5–10,64,1,24.0246,12.25486,85.73895,464.7863,19.96534,0.25,0.375
719161530,>10–20,93,1,37.98024,17.32886,68.07312,105.0851,33.91294,0.2043011,0.2043011
719161530,>20–40,43,1,33.20806,22.28415,66.01564,96.34977,30.3665,0.2093023,0.04651163
721123822,0–5,107,1,330.4492,123.0346,790.7773,1971.031,118.4997,0.7663551,0.8878505
721123822,>5–10,55,1,69.35832,20.09567,467.6307,1846.758,45.85566,0.4545455,0.6363636
721123822,>10–20,94,1,37.46572,20.48895,90.74172,403.5821,31.14009,0.287234,0.3085106
721123822,>20–40,88,1,31.96611,19.6155,46.67173,67.61931,28.29432,0.06818182,0.04545455
732592105,0–5,168,1,301.9406,130.1645,763.9167,2402.637,118.6874,0.8392857,0.9345238
732592105,>5–10,46,1,632.4551,124.8594,1248.108,2709.081,225.9748,0.8043478,0.8913043
732592105,>10–20,61,1,84.78944,44.83962,471.8938,967.6256,64.27309,0.5081967,0.4918033
732592105,>20–40,175,1,29.79884,18.58256,43.95661,60.87025,26.97221,0.05714286,0.01142857
737581020,0–5,93,1,322.5705,82.3983,633.2003,1842.534,119.7025,0.7526882,0.8602151
737581020,>5–10,19,1,64.061,22.82798,496.5374,1364.194,58.20988,0.4736842,0.6842105
737581020,>10–20,22,1,67.68965,21.50596,283.0785,2881.407,54.77531,0.4545455,0.5
737581020,>20–40,79,1,19.19908,11.39339,32.56415,45.84946,16.79128,0.01265823,0
739448407,0–5,80,1,350.2883,187.9274,771.0409,1701.895,136.5316,0.875,0.925
739448407,>5–10,44,1,217.2039,66.30978,676.5863,1170.702,108.0373,0.6363636,0.75
739448407,>10–20,60,1,51.01324,21.47673,96.73277,294.4009,41.0466,0.3333333,0.3333333
739448407,>20–40,39,1,32.04399,15.88726,50.24336,72.78037,27.92512,0.07692308,0.02564103
742951821,0–5,100,1,396.8417,134.7594,1070.62,1790.096,150.3352,0.79,0.93
742951821,>5–10,56,1,64.06064,23.52745,240.7705,837.7965,47.28197,0.4285714,0.6071429
742951821,>10–20,92,1,41.86588,20.89586,83.92345,509.9218,33.54615,0.2608696,0.2282609
742951821,>20–40,78,1,32.52435,18.98081,51.91092,78.05079,29.40399,0.1025641,0.02564103
744228101,0–5,67,1,235.6348,103.4622,441.2094,891.6813,109.546,0.8059701,0.9701493
744228101,>5–10,25,1,24.58755,15.24902,102.4701,455.7096,20.83579,0.32,0.4
744228101,>10–20,37,1,36.34337,24.09752,79.60773,377.2463,30.02374,0.2432432,0.2162162
744228101,>20–40,57,1,23.03812,12.57039,37.56172,51.17786,21.97868,0.01754386,0.01754386
746083955,0–5,109,1,675.8258,315.5564,1474.028,4800.732,255.783,0.8715596,0.9449541
746083955,>5–10,58,1,194.067,65.43492,676.4131,1765.478,97.34036,0.6724138,0.8275862
746083955,>10–20,90,1,60.72618,37.88055,97.79181,689.0329,48.50231,0.3333333,0.3
746083955,>20–40,61,1,50.94061,20.67833,81.27125,109.3707,41.72765,0.2622951,0.06557377
750332458,0–5,133,1,190.9247,20.52459,517.4588,1647.406,70.37971,0.6240602,0.8270677
750332458,>5–10,70,1,77.09142,23.76817,433.8864,1003.154,53.2966,0.4857143,0.6428571
750332458,>10–20,68,1,43.95249,21.60887,129.3701,1201.266,37.17647,0.3235294,0.3235294
750332458,>20–40,131,1,25.35839,14.82669,49.39031,71.33521,22.3895,0.0610687,0.03053435
750749662,0–5,96,1,319.7804,153.2492,599.4513,1080.485,117.1615,0.8125,0.9479167
750749662,>5–10,43,1,212.9701,50.28815,476.2434,986.4653,85.53905,0.6976744,0.8837209
750749662,>10–20,64,1,62.25262,39.96183,106.8102,603.6594,51.99723,0.359375,0.375
