ecephys_unit_id,ecephys_session_id,ecephys_probe_id,specimen_id,cohort,area,azimuth_rf,elevation_rf,area_rf,p_value_rf,v1_azimuth_median_deg,v1_elevation_median_deg,relative_azimuth_deg,relative_elevation_deg,inside_v1_convex_hull,inside_v1_robust_box,height_rf,on_screen_rf,width_rf,azimuth_edge_distance_deg,elevation_edge_distance_deg,nearest_edge_distance_deg,width_sigma_magnitude_deg,height_sigma_magnitude_deg,maximum_sigma_magnitude_deg,geometric_mean_sigma_deg,log2_maximum_sigma,log2_geometric_mean_sigma,larger_than_mapped_span,edge_band_deg
915960235,732592105,733744649,717038288,Brain Observatory 1.1,V1,77.143,45.714,700,0,55,15,22.143,30.714,True,False,89.23355,False,173.7847,12.857,4.286,4.286,173.7847,89.23355,173.7847,124.5288,7.441158,6.960336,True,0–5
915960239,732592105,733744649,717038288,Brain Observatory 1.1,V1,18,-4,500,0,55,15,-37,-19,True,False,95.59447,False,5040.319,8,26,8,5040.319,95.59447,5040.319,694.1373,12.2993,9.439077,True,>5–10
915960249,732592105,733744649,717038288,Brain Observatory 1.1,V1,58.182,9.091,1100,0,55,15,3.182,-5.909,True,True,56.58767,True,60.74075,31.818,39.091,31.818,60.74075,56.58767,60.74075,58.62745,5.924593,5.873504,False,>20–40
915960253,732592105,733744649,717038288,Brain Observatory 1.1,V1,56.842,-5.263,1900,0.006,55,15,1.842,-20.263,True,False,83.80239,True,82.20088,33.158,24.737,24.737,82.20088,83.80239,83.80239,82.99777,6.38892,6.375001,True,>20–40
915960262,732592105,733744649,717038288,Brain Observatory 1.1,V1,33.333,18.889,900,0,55,15,-21.667,3.889,True,True,68.53915,True,58.30343,23.333,31.111,23.333,58.30343,68.53915,68.53915,63.21446,6.098856,5.982183,False,>20–40
915960279,732592105,733744649,717038288,Brain Observatory 1.1,V1,42,16,500,0,55,15,-13,1,True,True,33.21234,True,29.3498,32,34,32,29.3498,33.21234,33.21234,31.22139,5.053647,4.964463,False,>20–40
915960290,732592105,733744649,717038288,Brain Observatory 1.1,V1,86.667,16.667,300,0.007,55,15,31.667,1.667,True,False,110.539,True,93.11951,3.333,33.333,3.333,93.11951,110.539,110.539,101.4561,6.788412,6.664712,True,0–5
915960271,732592105,733744649,717038288,Brain Observatory 1.1,V1,55,20,600,0,55,15,0,5,True,True,41.70339,True,44.06861,35,30,30,44.06861,41.70339,44.06861,42.86969,5.461679,5.421886,False,>20–40
915960330,732592105,733744649,717038288,Brain Observatory 1.1,V1,30,10,900,0.002,55,15,-25,-5,True,True,27.54709,True,22.60962,20,40,20,22.60962,27.54709,27.54709,24.95655,4.783828,4.641346,False,>10–20
915960333,732592105,733744649,717038288,Brain Observatory 1.1,V1,90,-5,200,0,55,15,35,-20,True,False,1310.657,False,84.52324,0,25,0,84.52324,1310.657,1310.657,332.8377,10.35607,8.378675,True,0–5
915960337,732592105,733744649,717038288,Brain Observatory 1.1,V1,68.75,11.25,800,0,55,15,13.75,-3.75,True,True,143.0682,False,122.6843,21.25,38.75,21.25,122.6843,143.0682,143.0682,132.4848,7.16056,7.049683,True,>20–40
915960341,732592105,733744649,717038288,Brain Observatory 1.1,V1,65,15,400,0,55,15,10,0,True,True,16.67416,True,13.62963,25,35,25,13.62963,16.67416,16.67416,15.07523,4.059542,3.914109,False,>20–40
915960345,732592105,733744649,717038288,Brain Observatory 1.1,V1,13.75,30,800,0,55,15,-41.25,15,True,False,849.0931,False,880.218,3.75,20,3.75,880.218,849.0931,880.218,864.5155,9.781717,9.755748,True,0–5
915960348,732592105,733744649,717038288,Brain Observatory 1.1,V1,57.273,14.545,1100,0,55,15,2.273,-0.455,True,True,55.30179,True,50.20236,32.727,35.455,32.727,50.20236,55.30179,55.30179,52.69042,5.789254,5.719469,False,>20–40
915960359,732592105,733744649,717038288,Brain Observatory 1.1,V1,25,15,400,0,55,15,-30,0,True,True,11.52524,True,10.60942,15,35,15,10.60942,11.52524,11.52524,11.05785,3.526725,3.466999,False,>10–20
915960371,732592105,733744649,717038288,Brain Observatory 1.1,V1,15,25,400,0,55,15,-40,10,True,False,11700.08,False,88.61051,5,25,5,88.61051,11700.08,11700.08,1018.209,13.51423,9.991819,True,0–5
915960374,732592105,733744649,717038288,Brain Observatory 1.1,V1,48,14,500,0.005,55,15,-7,-1,True,True,40.2251,True,36.11557,38,36,36,36.11557,40.2251,40.2251,38.11499,5.330024,5.252287,False,>20–40
915960409,732592105,733744649,717038288,Brain Observatory 1.1,V1,51.25,16.25,800,0,55,15,-3.75,1.25,True,True,89.42867,True,74.6361,38.75,33.75,33.75,74.6361,89.42867,89.42867,81.69827,6.482666,6.352234,True,>20–40
915960413,732592105,733744649,717038288,Brain Observatory 1.1,V1,46.667,16.667,300,0,55,15,-8.333,1.667,True,True,11.22997,True,9.91728,36.667,33.333,33.333,9.91728,11.22997,11.22997,10.55323,3.489282,3.399613,False,>20–40
915960427,732592105,733744649,717038288,Brain Observatory 1.1,V1,40,15,600,0,55,15,-15,0,True,True,20.62322,True,15.99092,30,35,30,15.99092,20.62322,20.62322,18.15996,4.366198,4.182689,False,>20–40
915961088,732592105,733744649,717038288,Brain Observatory 1.1,V1,46.667,16.667,300,0,55,15,-8.333,1.667,True,True,9.928763,True,10.36624,36.667,33.333,33.333,10.36624,9.928763,10.36624,10.14515,3.373821,3.342718,False,>20–40
915960406,732592105,733744649,717038288,Brain Observatory 1.1,V1,55,-25,800,0,55,15,0,-40,True,False,1082.548,False,1307.805,35,5,5,1307.805,1082.548,1307.805,1189.858,10.35293,10.21657,True,0–5
915960434,732592105,733744649,717038288,Brain Observatory 1.1,V1,64,-24,1000,0,55,15,9,-39,True,False,4387.265,False,1567.426,26,6,6,1567.426,4387.265,4387.265,2622.349,12.09911,11.35664,True,>5–10
915960438,732592105,733744649,717038288,Brain Observatory 1.1,V1,73.636,20.909,1100,0.001,55,15,18.636,5.909,True,True,111.8073,True,104.0099,16.364,29.091,16.364,104.0099,111.8073,111.8073,107.8381,6.80487,6.752724,True,>10–20
915960446,732592105,733744649,717038288,Brain Observatory 1.1,V1,56.667,13.333,300,0.005,55,15,1.667,-1.667,True,True,40.89031,True,51.21235,33.333,36.667,33.333,51.21235,40.89031,51.21235,45.76121,5.67842,5.516053,False,>20–40
915960454,732592105,733744649,717038288,Brain Observatory 1.1,V1,55,15,400,0,55,15,0,0,True,True,17.95496,True,12.01217,35,35,35,12.01217,17.95496,17.95496,14.68598,4.166311,3.876368,False,>20–40
915960456,732592105,733744649,717038288,Brain Observatory 1.1,V1,32,16,500,0,55,15,-23,1,True,True,191.5619,False,98.18001,22,34,22,98.18001,191.5619,191.5619,137.1406,7.581667,7.099512,True,>20–40
915960460,732592105,733744649,717038288,Brain Observatory 1.1,V1,67.143,10,700,0,55,15,12.143,-5,True,True,88.13488,True,59.02494,22.857,40,22.857,59.02494,88.13488,88.13488,72.12597,6.461641,6.172447,True,>20–40
915960463,732592105,733744649,717038288,Brain Observatory 1.1,V1,51.25,18.75,800,0,55,15,-3.75,3.75,True,True,57.87802,True,43.27562,38.75,31.25,31.25,43.27562,57.87802,57.87802,50.04705,5.854944,5.645213,False,>20–40
915960467,732592105,733744649,717038288,Brain Observatory 1.1,V1,56.429,19.286,1400,0.006,55,15,1.429,4.286,True,True,25.06415,True,19.82924,33.571,30.714,30.714,19.82924,25.06415,25.06415,22.29357,4.647554,4.478556,False,>20–40
915960470,732592105,733744649,717038288,Brain Observatory 1.1,V1,85,50,200,0,55,15,30,35,True,False,1700.447,False,730.1333,5,0,0,730.1333,1700.447,1700.447,1114.25,10.7317,10.12186,True,0–5
915960478,732592105,733744649,717038288,Brain Observatory 1.1,V1,35,50,200,0,55,15,-20,35,True,False,102.4204,False,1376.099,25,0,0,1376.099,102.4204,1376.099,375.4205,10.42637,8.552363,True,0–5
915960489,732592105,733744649,717038288,Brain Observatory 1.1,V1,55,15,400,0,55,15,0,0,True,True,31.80655,True,32.38733,35,35,35,32.38733,31.80655,32.38733,32.09563,5.017358,5.004305,False,>20–40
915960504,732592105,733744649,717038288,Brain Observatory 1.1,V1,48,16,500,0,55,15,-7,1,True,True,29.20921,True,28.43046,38,34,34,28.43046,29.20921,29.20921,28.8172,4.868351,4.848858,False,>20–40
