stimulus_presentation_id,stimulus_block,start_time,stop_time,phase,size,orientation,spatial_frequency,y_position,stimulus_name,frame,temporal_frequency,color,contrast,x_position,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1,0.0,89.896827,90.130356,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.0,0.08,-10.0,gabors,null,4.0,null,0.8,10.0,0.23352848,1,,,0,,False,0,train,0
2,0.0,90.130356,90.380565,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",90.0,0.08,20.0,gabors,null,4.0,null,0.8,-30.0,0.25020908,2,,,0,,False,0,train,2
3,0.0,90.380565,90.630774,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.0,0.08,-20.0,gabors,null,4.0,null,0.8,20.0,0.25020908,3,,,0,,False,0,train,0
4,0.0,90.630774,90.880983,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",90.0,0.08,20.0,gabors,null,4.0,null,0.8,30.0,0.25020908,4,,,0,,False,0,train,2
5,0.0,90.880983,91.131199,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",90.0,0.08,-40.0,gabors,null,4.0,null,0.8,0.0,0.25021607,5,,,0,,False,0,train,2
6,0.0,91.131199,91.381415,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",45.0,0.08,30.0,gabors,null,4.0,null,0.8,30.0,0.25021607,6,,,0,,False,0,train,1
7,0.0,91.381415,91.631631,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",90.0,0.08,10.0,gabors,null,4.0,null,0.8,0.0,0.25021607,7,,,0,,False,0,train,2
8,0.0,91.631631,91.881847,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.0,0.08,-20.0,gabors,null,4.0,null,0.8,-40.0,0.25021607,8,,,0,,False,0,train,0
9,0.0,91.881847,92.132049,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.0,0.08,-30.0,gabors,null,4.0,null,0.8,-30.0,0.25020143,9,,,0,,False,0,train,0
10,0.0,92.132049,92.38225,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.0,0.08,-30.0,gabors,null,4.0,null,0.8,10.0,0.25020143,10,,,0,,False,0,train,0
11,0.0,92.38225,92.632452,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",90.0,0.08,40.0,gabors,null,4.0,null,0.8,-20.0,0.25020143,11,,,0,,False,0,train,2
12,0.0,92.632452,92.882653,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",90.0,0.08,0.0,gabors,null,4.0,null,0.8,0.0,0.25020143,12,,,0,,False,0,train,2
13,0.0,92.882653,93.132872,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.0,0.08,-20.0,gabors,null,4.0,null,0.8,20.0,0.25021857,3,,,0,,False,1,train,0
14,0.0,93.132872,93.38309,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.0,0.08,-10.0,gabors,null,4.0,null,0.8,10.0,0.25021857,1,,,0,,False,1,train,0
15,0.0,93.38309,93.633309,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.0,0.08,10.0,gabors,null,4.0,null,0.8,10.0,0.25021857,13,,,0,,False,0,train,0
16,0.0,93.633309,93.883527,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",90.0,0.08,-20.0,gabors,null,4.0,null,0.8,20.0,0.25021857,14,,,0,,False,0,train,2
17,0.0,93.883527,94.133726,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.0,0.08,-40.0,gabors,null,4.0,null,0.8,10.0,0.25019893,15,,,0,,False,0,train,0
18,0.0,94.133726,94.383925,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.0,0.08,-10.0,gabors,null,4.0,null,0.8,20.0,0.25019893,16,,,0,,False,0,train,0
19,0.0,94.383925,94.634124,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",90.0,0.08,-10.0,gabors,null,4.0,null,0.8,20.0,0.25019893,17,,,0,,False,0,train,2
20,0.0,94.634124,94.884323,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",45.0,0.08,-40.0,gabors,null,4.0,null,0.8,40.0,0.25019893,18,,,0,,False,0,train,1
21,0.0,94.884323,95.134537,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.0,0.08,-10.0,gabors,null,4.0,null,0.8,10.0,0.25021357,1,,,0,,False,2,test,0
22,0.0,95.134537,95.38475,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.0,0.08,0.0,gabors,null,4.0,null,0.8,-40.0,0.25021357,19,,,0,,False,0,train,0
