stimulus_presentation_id,stimulus_block,start_time,stop_time,color,stimulus_name,orientation,x_position,size,y_position,spatial_frequency,phase,temporal_frequency,contrast,frame,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1,0.0,88.68467,88.918188,null,gabors,0.0,30.0,"[20.0, 20.0]",-40.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.2335176,1,,,0,,False,0,train,0
2,0.0,88.918188,89.168385,null,gabors,90.0,-20.0,"[20.0, 20.0]",30.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25019743,2,,,0,,False,0,train,2
3,0.0,89.168385,89.418582,null,gabors,90.0,-20.0,"[20.0, 20.0]",20.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25019743,3,,,0,,False,0,train,2
4,0.0,89.418582,89.66878,null,gabors,0.0,-20.0,"[20.0, 20.0]",40.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25019743,4,,,0,,False,0,train,0
5,0.0,89.66878,89.91899,null,gabors,90.0,10.0,"[20.0, 20.0]",20.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25021003,5,,,0,,False,0,train,2
6,0.0,89.91899,90.1692,null,gabors,45.0,10.0,"[20.0, 20.0]",10.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25021003,6,,,0,,False,0,train,1
7,0.0,90.1692,90.41941,null,gabors,45.0,-30.0,"[20.0, 20.0]",30.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25021003,7,,,0,,False,0,train,1
8,0.0,90.41941,90.66962,null,gabors,0.0,20.0,"[20.0, 20.0]",0.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25021003,8,,,0,,False,0,train,0
9,0.0,90.66962,90.919822,null,gabors,90.0,30.0,"[20.0, 20.0]",-40.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25020247,9,,,0,,False,0,train,2
10,0.0,90.919822,91.170025,null,gabors,0.0,-10.0,"[20.0, 20.0]",40.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25020247,10,,,0,,False,0,train,0
