stimulus_presentation_id,stimulus_block,start_time,stop_time,x_position,color,size,stimulus_name,y_position,contrast,phase,frame,orientation,temporal_frequency,spatial_frequency,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1,0.0,84.63404,84.867567,-20.0,null,"[20.0, 20.0]",gabors,30.0,0.8,"[3644.93333333, 3644.93333333]",null,90.0,4.0,0.08,0.23352728,1,,,0,,False,0,train,2
2,0.0,84.867567,85.117775,40.0,null,"[20.0, 20.0]",gabors,-20.0,0.8,"[3644.93333333, 3644.93333333]",null,90.0,4.0,0.08,0.2502078,2,,,0,,False,0,train,2
3,0.0,85.117775,85.367983,20.0,null,"[20.0, 20.0]",gabors,-40.0,0.8,"[3644.93333333, 3644.93333333]",null,90.0,4.0,0.08,0.2502078,3,,,0,,False,0,train,2
4,0.0,85.367983,85.618191,-40.0,null,"[20.0, 20.0]",gabors,-30.0,0.8,"[3644.93333333, 3644.93333333]",null,90.0,4.0,0.08,0.2502078,4,,,0,,False,0,train,2
5,0.0,85.618191,85.8684,-30.0,null,"[20.0, 20.0]",gabors,-10.0,0.8,"[3644.93333333, 3644.93333333]",null,0.0,4.0,0.08,0.25020983,5,,,0,,False,0,train,0
6,0.0,85.8684,86.11861,30.0,null,"[20.0, 20.0]",gabors,30.0,0.8,"[3644.93333333, 3644.93333333]",null,0.0,4.0,0.08,0.25020983,6,,,0,,False,0,train,0
7,0.0,86.11861,86.36882,-30.0,null,"[20.0, 20.0]",gabors,-30.0,0.8,"[3644.93333333, 3644.93333333]",null,45.0,4.0,0.08,0.25020983,7,,,0,,False,0,train,1
8,0.0,86.36882,86.61903,0.0,null,"[20.0, 20.0]",gabors,-20.0,0.8,"[3644.93333333, 3644.93333333]",null,0.0,4.0,0.08,0.25020983,8,,,0,,False,0,train,0
9,0.0,86.61903,86.869238,-40.0,null,"[20.0, 20.0]",gabors,-10.0,0.8,"[3644.93333333, 3644.93333333]",null,45.0,4.0,0.08,0.25020767,9,,,0,,False,0,train,1
10,0.0,86.869238,87.119445,20.0,null,"[20.0, 20.0]",gabors,-10.0,0.8,"[3644.93333333, 3644.93333333]",null,90.0,4.0,0.08,0.25020767,10,,,0,,False,0,train,2
11,0.0,87.119445,87.369653,0.0,null,"[20.0, 20.0]",gabors,10.0,0.8,"[3644.93333333, 3644.93333333]",null,0.0,4.0,0.08,0.25020767,11,,,0,,False,0,train,0
12,0.0,87.369653,87.619861,10.0,null,"[20.0, 20.0]",gabors,10.0,0.8,"[3644.93333333, 3644.93333333]",null,0.0,4.0,0.08,0.25020767,12,,,0,,False,0,train,0
13,0.0,87.619861,87.870075,40.0,null,"[20.0, 20.0]",gabors,30.0,0.8,"[3644.93333333, 3644.93333333]",null,45.0,4.0,0.08,0.25021483,13,,,0,,False,0,train,1
14,0.0,87.870075,88.12029,-40.0,null,"[20.0, 20.0]",gabors,20.0,0.8,"[3644.93333333, 3644.93333333]",null,45.0,4.0,0.08,0.25021483,14,,,0,,False,0,train,1
