stimulus_presentation_id,stimulus_block,start_time,stop_time,temporal_frequency,spatial_frequency,x_position,y_position,phase,size,contrast,color,frame,orientation,stimulus_name,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1,0.0,94.853334,95.086848,4.0,0.08,40.0,20.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,90.0,gabors,0.23351358,1,,,0,,False,0,train,2
2,0.0,95.086848,95.337041,4.0,0.08,0.0,-10.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,45.0,gabors,0.25019312,2,,,0,,False,0,train,1
3,0.0,95.337041,95.587234,4.0,0.08,10.0,-20.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,0.0,gabors,0.25019312,3,,,0,,False,0,train,0
4,0.0,95.587234,95.837427,4.0,0.08,20.0,-40.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,45.0,gabors,0.25019312,4,,,0,,False,0,train,1
5,0.0,95.837427,96.087641,4.0,0.08,0.0,0.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,0.0,gabors,0.25021426,5,,,0,,False,0,train,0
6,0.0,96.087641,96.337856,4.0,0.08,30.0,-30.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,0.0,gabors,0.25021426,6,,,0,,False,0,train,0
7,0.0,96.337856,96.58807,4.0,0.08,0.0,10.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,0.0,gabors,0.25021426,7,,,0,,False,0,train,0
8,0.0,96.58807,96.838284,4.0,0.08,-40.0,-30.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,90.0,gabors,0.25021426,8,,,0,,False,0,train,2
9,0.0,96.838284,97.088487,4.0,0.08,10.0,10.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,45.0,gabors,0.25020324,9,,,0,,False,0,train,1
10,0.0,97.088487,97.338691,4.0,0.08,30.0,-40.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,0.0,gabors,0.25020324,10,,,0,,False,0,train,0
11,0.0,97.338691,97.588894,4.0,0.08,10.0,0.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,0.0,gabors,0.25020324,11,,,0,,False,0,train,0
12,0.0,97.588894,97.839097,4.0,0.08,0.0,-20.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,0.0,gabors,0.25020324,12,,,0,,False,0,train,0
13,0.0,97.839097,98.089321,4.0,0.08,-30.0,40.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,90.0,gabors,0.25022426,13,,,0,,False,0,train,2
14,0.0,98.089321,98.339546,4.0,0.08,20.0,40.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,0.0,gabors,0.25022426,14,,,0,,False,0,train,0
15,0.0,98.339546,98.58977,4.0,0.08,-10.0,-10.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,null,null,0.0,gabors,0.25022426,15,,,0,,False,0,train,0
