stimulus_presentation_id,stimulus_block,start_time,stop_time,contrast,y_position,stimulus_name,phase,temporal_frequency,frame,orientation,size,color,x_position,spatial_frequency,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1,0.0,84.288526,84.522041,0.8,10.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,90.0,"[20.0, 20.0]",null,30.0,0.08,0.23351516,1,,,0,,False,0,train,2
2,0.0,84.522041,84.772235,0.8,0.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,0.0,"[20.0, 20.0]",null,20.0,0.08,0.25019482,2,,,0,,False,0,train,0
3,0.0,84.772235,85.02243,0.8,-40.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,90.0,"[20.0, 20.0]",null,20.0,0.08,0.25019482,3,,,0,,False,0,train,2
4,0.0,85.02243,85.272625,0.8,0.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,0.0,"[20.0, 20.0]",null,-30.0,0.08,0.25019482,4,,,0,,False,0,train,0
5,0.0,85.272625,85.522845,0.8,-20.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,90.0,"[20.0, 20.0]",null,-40.0,0.08,0.25022009,5,,,0,,False,0,train,2
6,0.0,85.522845,85.773065,0.8,40.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,45.0,"[20.0, 20.0]",null,-10.0,0.08,0.25022009,6,,,0,,False,0,train,1
7,0.0,85.773065,86.023285,0.8,0.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,45.0,"[20.0, 20.0]",null,-40.0,0.08,0.25022009,7,,,0,,False,0,train,1
8,0.0,86.023285,86.273506,0.8,40.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,45.0,"[20.0, 20.0]",null,-20.0,0.08,0.25022009,8,,,0,,False,0,train,1
9,0.0,86.273506,86.523705,0.8,30.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,45.0,"[20.0, 20.0]",null,40.0,0.08,0.25019991,9,,,0,,False,0,train,1
10,0.0,86.523705,86.773905,0.8,30.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,0.0,"[20.0, 20.0]",null,-40.0,0.08,0.25019991,10,,,0,,False,0,train,0
11,0.0,86.773905,87.024105,0.8,-10.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,0.0,"[20.0, 20.0]",null,40.0,0.08,0.25019991,11,,,0,,False,0,train,0
12,0.0,87.024105,87.274305,0.8,30.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,90.0,"[20.0, 20.0]",null,-20.0,0.08,0.25019991,12,,,0,,False,0,train,2
13,0.0,87.274305,87.524525,0.8,-40.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,0.0,"[20.0, 20.0]",null,-10.0,0.08,0.25022009,13,,,0,,False,0,train,0
14,0.0,87.524525,87.774745,0.8,30.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,90.0,"[20.0, 20.0]",null,-40.0,0.08,0.25022009,14,,,0,,False,0,train,2
15,0.0,87.774745,88.024965,0.8,10.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,90.0,"[20.0, 20.0]",null,0.0,0.08,0.25022009,15,,,0,,False,0,train,2
16,0.0,88.024965,88.275186,0.8,40.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,90.0,"[20.0, 20.0]",null,-40.0,0.08,0.25022009,16,,,0,,False,0,train,2
17,0.0,88.275186,88.525383,0.8,40.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,45.0,"[20.0, 20.0]",null,-30.0,0.08,0.25019741,17,,,0,,False,0,train,1
18,0.0,88.525383,88.77558,0.8,-10.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,45.0,"[20.0, 20.0]",null,20.0,0.08,0.25019741,18,,,0,,False,0,train,1
19,0.0,88.77558,89.025778,0.8,0.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,45.0,"[20.0, 20.0]",null,0.0,0.08,0.25019741,19,,,0,,False,0,train,1
20,0.0,89.025778,89.275975,0.8,-20.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,90.0,"[20.0, 20.0]",null,-40.0,0.08,0.25019741,5,,,0,,False,1,train,2
21,0.0,89.275975,89.526198,0.8,40.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,45.0,"[20.0, 20.0]",null,20.0,0.08,0.25022259,20,,,0,,False,0,train,1
