stimulus_presentation_id,stimulus_block,start_time,stop_time,y_position,color,size,spatial_frequency,x_position,frame,contrast,stimulus_name,orientation,phase,temporal_frequency,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1,0.0,84.623391,84.856911,-40.0,null,"[20.0, 20.0]",0.08,30.0,null,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",4.0,0.23351937,1,,,0,,False,0,train,1
2,0.0,84.856911,85.10711,-20.0,null,"[20.0, 20.0]",0.08,40.0,null,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",4.0,0.25019933,2,,,0,,False,0,train,0
3,0.0,85.10711,85.357309,40.0,null,"[20.0, 20.0]",0.08,-30.0,null,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",4.0,0.25019933,3,,,0,,False,0,train,1
4,0.0,85.357309,85.607509,-40.0,null,"[20.0, 20.0]",0.08,-20.0,null,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",4.0,0.25019933,4,,,0,,False,0,train,0
5,0.0,85.607509,85.857724,30.0,null,"[20.0, 20.0]",0.08,-20.0,null,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",4.0,0.25021566,5,,,0,,False,0,train,0
6,0.0,85.857724,86.10794,10.0,null,"[20.0, 20.0]",0.08,30.0,null,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",4.0,0.25021566,6,,,0,,False,0,train,1
7,0.0,86.10794,86.358156,-10.0,null,"[20.0, 20.0]",0.08,-20.0,null,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",4.0,0.25021566,7,,,0,,False,0,train,0
8,0.0,86.358156,86.608371,-30.0,null,"[20.0, 20.0]",0.08,30.0,null,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",4.0,0.25021566,8,,,0,,False,0,train,1
9,0.0,86.608371,86.858571,10.0,null,"[20.0, 20.0]",0.08,-40.0,null,0.8,gabors,90.0,"[3644.93333333, 3644.93333333]",4.0,0.25019934,9,,,0,,False,0,train,2
10,0.0,86.858571,87.10877,30.0,null,"[20.0, 20.0]",0.08,0.0,null,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",4.0,0.25019934,10,,,0,,False,0,train,1
11,0.0,87.10877,87.358969,-10.0,null,"[20.0, 20.0]",0.08,-20.0,null,0.8,gabors,90.0,"[3644.93333333, 3644.93333333]",4.0,0.25019934,11,,,0,,False,0,train,2
12,0.0,87.358969,87.609169,40.0,null,"[20.0, 20.0]",0.08,20.0,null,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",4.0,0.25019934,12,,,0,,False,0,train,1
13,0.0,87.609169,87.859392,20.0,null,"[20.0, 20.0]",0.08,10.0,null,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",4.0,0.25022316,13,,,0,,False,0,train,1
14,0.0,87.859392,88.109615,-30.0,null,"[20.0, 20.0]",0.08,40.0,null,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",4.0,0.25022316,14,,,0,,False,0,train,1
15,0.0,88.109615,88.359838,-10.0,null,"[20.0, 20.0]",0.08,20.0,null,0.8,gabors,90.0,"[3644.93333333, 3644.93333333]",4.0,0.25022316,15,,,0,,False,0,train,2
16,0.0,88.359838,88.610061,-40.0,null,"[20.0, 20.0]",0.08,-30.0,null,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",4.0,0.25022316,16,,,0,,False,0,train,0
17,0.0,88.610061,88.860258,10.0,null,"[20.0, 20.0]",0.08,-10.0,null,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",4.0,0.25019684,17,,,0,,False,0,train,0
18,0.0,88.860258,89.110455,20.0,null,"[20.0, 20.0]",0.08,30.0,null,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",4.0,0.25019684,18,,,0,,False,0,train,1
19,0.0,89.110455,89.360652,-30.0,null,"[20.0, 20.0]",0.08,10.0,null,0.8,gabors,90.0,"[3644.93333333, 3644.93333333]",4.0,0.25019684,19,,,0,,False,0,train,2
20,0.0,89.360652,89.610849,0.0,null,"[20.0, 20.0]",0.08,-30.0,null,0.8,gabors,90.0,"[3644.93333333, 3644.93333333]",4.0,0.25019684,20,,,0,,False,0,train,2
21,0.0,89.610849,89.861062,-30.0,null,"[20.0, 20.0]",0.08,-20.0,null,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",4.0,0.25021316,21,,,0,,False,0,train,0
22,0.0,89.861062,90.111275,0.0,null,"[20.0, 20.0]",0.08,-30.0,null,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",4.0,0.25021316,22,,,0,,False,0,train,0
23,0.0,90.111275,90.361488,40.0,null,"[20.0, 20.0]",0.08,0.0,null,0.8,gabors,90.0,"[3644.93333333, 3644.93333333]",4.0,0.25021316,23,,,0,,False,0,train,2
24,0.0,90.361488,90.611701,30.0,null,"[20.0, 20.0]",0.08,20.0,null,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",4.0,0.25021316,24,,,0,,False,0,train,0
25,0.0,90.611701,90.861906,-40.0,null,"[20.0, 20.0]",0.08,30.0,null,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",4.0,0.25020434,1,,,0,,False,1,train,1
26,0.0,90.861906,91.11211,10.0,null,"[20.0, 20.0]",0.08,30.0,null,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",4.0,0.25020434,6,,,0,,False,1,train,1
27,0.0,91.11211,91.362314,-20.0,null,"[20.0, 20.0]",0.08,-40.0,null,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",4.0,0.25020434,25,,,0,,False,0,train,1
28,0.0,91.362314,91.612519,40.0,null,"[20.0, 20.0]",0.08,-30.0,null,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",4.0,0.25020434,26,,,0,,False,0,train,0
29,0.0,91.612519,91.862732,20.0,null,"[20.0, 20.0]",0.08,20.0,null,0.8,gabors,90.0,"[3644.93333333, 3644.93333333]",4.0,0.25021316,27,,,0,,False,0,train,2
30,0.0,91.862732,92.112945,-10.0,null,"[20.0, 20.0]",0.08,0.0,null,0.8,gabors,90.0,"[3644.93333333, 3644.93333333]",4.0,0.25021316,28,,,0,,False,0,train,2
31,0.0,92.112945,92.363158,-30.0,null,"[20.0, 20.0]",0.08,-20.0,null,0.8,gabors,90.0,"[3644.93333333, 3644.93333333]",4.0,0.25021316,29,,,0,,False,0,train,2
32,0.0,92.363158,92.613371,-40.0,null,"[20.0, 20.0]",0.08,10.0,null,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",4.0,0.25021316,30,,,0,,False,0,train,1
33,0.0,92.613371,92.863578,20.0,null,"[20.0, 20.0]",0.08,-20.0,null,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",4.0,0.25020684,31,,,0,,False,0,train,0
34,0.0,92.863578,93.113785,0.0,null,"[20.0, 20.0]",0.08,-40.0,null,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",4.0,0.25020684,32,,,0,,False,0,train,0
35,0.0,93.113785,93.363992,-20.0,null,"[20.0, 20.0]",0.08,-30.0,null,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",4.0,0.25020684,33,,,0,,False,0,train,0
36,0.0,93.363992,93.614199,30.0,null,"[20.0, 20.0]",0.08,-40.0,null,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",4.0,0.25020684,34,,,0,,False,0,train,1
37,0.0,93.614199,93.864414,-10.0,null,"[20.0, 20.0]",0.08,0.0,null,0.8,gabors,90.0,"[3644.93333333, 3644.93333333]",4.0,0.25021566,28,,,0,,False,1,train,2
38,0.0,93.864414,94.11463,-20.0,null,"[20.0, 20.0]",0.08,-20.0,null,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",4.0,0.25021566,35,,,0,,False,0,train,1
39,0.0,94.11463,94.364846,-30.0,null,"[20.0, 20.0]",0.08,30.0,null,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",4.0,0.25021566,36,,,0,,False,0,train,0
