stimulus_presentation_id,stimulus_block,start_time,stop_time,phase,stimulus_name,size,spatial_frequency,color,y_position,orientation,x_position,temporal_frequency,frame,contrast,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1,0.0,84.61437,84.847885,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,30.0,90.0,10.0,4.0,null,0.8,0.23351537,1,,,0,,False,0,train,2
2,0.0,84.847885,85.09808,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,20.0,90.0,-20.0,4.0,null,0.8,0.25019503,2,,,0,,False,0,train,2
3,0.0,85.09808,85.348275,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,-20.0,0.0,30.0,4.0,null,0.8,0.25019503,3,,,0,,False,0,train,0
4,0.0,85.348275,85.59847,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,0.0,45.0,-20.0,4.0,null,0.8,0.25019503,4,,,0,,False,0,train,1
5,0.0,85.59847,85.848695,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,10.0,0.0,-30.0,4.0,null,0.8,0.25022488,5,,,0,,False,0,train,0
6,0.0,85.848695,86.09892,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,30.0,45.0,-10.0,4.0,null,0.8,0.25022488,6,,,0,,False,0,train,1
7,0.0,86.09892,86.349145,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,-40.0,0.0,30.0,4.0,null,0.8,0.25022488,7,,,0,,False,0,train,0
8,0.0,86.349145,86.59937,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,-20.0,0.0,-40.0,4.0,null,0.8,0.25022488,8,,,0,,False,0,train,0
9,0.0,86.59937,86.849563,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,0.0,90.0,0.0,4.0,null,0.8,0.25019262,9,,,0,,False,0,train,2
10,0.0,86.849563,87.099755,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,30.0,0.0,30.0,4.0,null,0.8,0.25019262,10,,,0,,False,0,train,0
11,0.0,87.099755,87.349948,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,-20.0,0.0,-20.0,4.0,null,0.8,0.25019262,11,,,0,,False,0,train,0
12,0.0,87.349948,87.60014,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,-10.0,90.0,-20.0,4.0,null,0.8,0.25019262,12,,,0,,False,0,train,2
13,0.0,87.60014,87.850365,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,-20.0,45.0,-30.0,4.0,null,0.8,0.25022488,13,,,0,,False,0,train,1
14,0.0,87.850365,88.10059,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,40.0,0.0,-30.0,4.0,null,0.8,0.25022488,14,,,0,,False,0,train,0
15,0.0,88.10059,88.350815,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,-40.0,90.0,20.0,4.0,null,0.8,0.25022488,15,,,0,,False,0,train,2
16,0.0,88.350815,88.60104,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,40.0,0.0,40.0,4.0,null,0.8,0.25022488,16,,,0,,False,0,train,0
