stimulus_presentation_id,stimulus_block,start_time,stop_time,contrast,orientation,frame,stimulus_name,y_position,color,spatial_frequency,temporal_frequency,size,x_position,phase,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1,0.0,84.653957,84.887484,0.8,45.0,null,gabors,40.0,null,0.08,4.0,"[20.0, 20.0]",10.0,"[3644.93333333, 3644.93333333]",0.23352616,1,,,0,,False,0,train,1
2,0.0,84.887484,85.13769,0.8,45.0,null,gabors,-10.0,null,0.08,4.0,"[20.0, 20.0]",0.0,"[3644.93333333, 3644.93333333]",0.2502066,2,,,0,,False,0,train,1
3,0.0,85.13769,85.387897,0.8,90.0,null,gabors,10.0,null,0.08,4.0,"[20.0, 20.0]",20.0,"[3644.93333333, 3644.93333333]",0.2502066,3,,,0,,False,0,train,2
4,0.0,85.387897,85.638103,0.8,90.0,null,gabors,10.0,null,0.08,4.0,"[20.0, 20.0]",20.0,"[3644.93333333, 3644.93333333]",0.2502066,3,,,0,,False,1,train,2
5,0.0,85.638103,85.888314,0.8,45.0,null,gabors,-30.0,null,0.08,4.0,"[20.0, 20.0]",0.0,"[3644.93333333, 3644.93333333]",0.25021101,4,,,0,,False,0,train,1
6,0.0,85.888314,86.138525,0.8,0.0,null,gabors,10.0,null,0.08,4.0,"[20.0, 20.0]",10.0,"[3644.93333333, 3644.93333333]",0.25021101,5,,,0,,False,0,train,0
7,0.0,86.138525,86.388736,0.8,90.0,null,gabors,20.0,null,0.08,4.0,"[20.0, 20.0]",-20.0,"[3644.93333333, 3644.93333333]",0.25021101,6,,,0,,False,0,train,2
8,0.0,86.388736,86.638947,0.8,90.0,null,gabors,40.0,null,0.08,4.0,"[20.0, 20.0]",10.0,"[3644.93333333, 3644.93333333]",0.25021101,7,,,0,,False,0,train,2
9,0.0,86.638947,86.889154,0.8,90.0,null,gabors,-30.0,null,0.08,4.0,"[20.0, 20.0]",-40.0,"[3644.93333333, 3644.93333333]",0.25020649,8,,,0,,False,0,train,2
10,0.0,86.889154,87.13936,0.8,45.0,null,gabors,30.0,null,0.08,4.0,"[20.0, 20.0]",30.0,"[3644.93333333, 3644.93333333]",0.25020649,9,,,0,,False,0,train,1
11,0.0,87.13936,87.389567,0.8,45.0,null,gabors,0.0,null,0.08,4.0,"[20.0, 20.0]",-30.0,"[3644.93333333, 3644.93333333]",0.25020649,10,,,0,,False,0,train,1
12,0.0,87.389567,87.639773,0.8,45.0,null,gabors,10.0,null,0.08,4.0,"[20.0, 20.0]",0.0,"[3644.93333333, 3644.93333333]",0.25020649,11,,,0,,False,0,train,1
13,0.0,87.639773,87.889989,0.8,90.0,null,gabors,-40.0,null,0.08,4.0,"[20.0, 20.0]",-10.0,"[3644.93333333, 3644.93333333]",0.25021601,12,,,0,,False,0,train,2
14,0.0,87.889989,88.140205,0.8,90.0,null,gabors,20.0,null,0.08,4.0,"[20.0, 20.0]",40.0,"[3644.93333333, 3644.93333333]",0.25021601,13,,,0,,False,0,train,2
15,0.0,88.140205,88.390421,0.8,90.0,null,gabors,-20.0,null,0.08,4.0,"[20.0, 20.0]",30.0,"[3644.93333333, 3644.93333333]",0.25021601,14,,,0,,False,0,train,2
16,0.0,88.390421,88.640637,0.8,45.0,null,gabors,20.0,null,0.08,4.0,"[20.0, 20.0]",20.0,"[3644.93333333, 3644.93333333]",0.25021601,15,,,0,,False,0,train,1
17,0.0,88.640637,88.890841,0.8,45.0,null,gabors,-10.0,null,0.08,4.0,"[20.0, 20.0]",10.0,"[3644.93333333, 3644.93333333]",0.25020399,16,,,0,,False,0,train,1
18,0.0,88.890841,89.141045,0.8,90.0,null,gabors,40.0,null,0.08,4.0,"[20.0, 20.0]",10.0,"[3644.93333333, 3644.93333333]",0.25020399,7,,,0,,False,1,train,2
19,0.0,89.141045,89.391249,0.8,90.0,null,gabors,10.0,null,0.08,4.0,"[20.0, 20.0]",30.0,"[3644.93333333, 3644.93333333]",0.25020399,17,,,0,,False,0,train,2
20,0.0,89.391249,89.641453,0.8,45.0,null,gabors,30.0,null,0.08,4.0,"[20.0, 20.0]",0.0,"[3644.93333333, 3644.93333333]",0.25020399,18,,,0,,False,0,train,1
21,0.0,89.641453,89.891659,0.8,45.0,null,gabors,30.0,null,0.08,4.0,"[20.0, 20.0]",-40.0,"[3644.93333333, 3644.93333333]",0.25020601,19,,,0,,False,0,train,1
22,0.0,89.891659,90.141865,0.8,45.0,null,gabors,-30.0,null,0.08,4.0,"[20.0, 20.0]",-20.0,"[3644.93333333, 3644.93333333]",0.25020601,20,,,0,,False,0,train,1
23,0.0,90.141865,90.392071,0.8,90.0,null,gabors,40.0,null,0.08,4.0,"[20.0, 20.0]",-30.0,"[3644.93333333, 3644.93333333]",0.25020601,21,,,0,,False,0,train,2
24,0.0,90.392071,90.642277,0.8,0.0,null,gabors,-40.0,null,0.08,4.0,"[20.0, 20.0]",-10.0,"[3644.93333333, 3644.93333333]",0.25020601,22,,,0,,False,0,train,0
25,0.0,90.642277,90.892486,0.8,90.0,null,gabors,-10.0,null,0.08,4.0,"[20.0, 20.0]",-20.0,"[3644.93333333, 3644.93333333]",0.25020899,23,,,0,,False,0,train,2
26,0.0,90.892486,91.142695,0.8,90.0,null,gabors,30.0,null,0.08,4.0,"[20.0, 20.0]",40.0,"[3644.93333333, 3644.93333333]",0.25020899,24,,,0,,False,0,train,2
27,0.0,91.142695,91.392904,0.8,0.0,null,gabors,30.0,null,0.08,4.0,"[20.0, 20.0]",0.0,"[3644.93333333, 3644.93333333]",0.25020899,25,,,0,,False,0,train,0
