ecephys_unit_id,L_ratio,age_in_days,amplitude_cutoff,anterior_posterior_ccf_coordinate,area_rf,azimuth_rf,c50_dg,cumulative_drift,d_prime,date_of_acquisition,dorsal_ventral_ccf_coordinate,ecephys_channel_id,ecephys_probe_id,ecephys_session_id,ecephys_structure_acronym,ecephys_structure_id,elevation_rf,f1_f0_dg,fano_dg,fano_dm,fano_fl,fano_ns,fano_rf,fano_sg,firing_rate,firing_rate_dg,firing_rate_dm,firing_rate_fl,firing_rate_ns,firing_rate_rf,firing_rate_sg,g_dsi_dg,g_osi_dg,g_osi_sg,genotype,has_lfp_data,height_rf,image_selectivity_ns,isi_violations,isolation_distance,left_right_ccf_coordinate,lfp_sampling_rate,lifetime_sparseness_dg,lifetime_sparseness_dm,lifetime_sparseness_fl,lifetime_sparseness_ns,lifetime_sparseness_rf,lifetime_sparseness_sg,local_index,max_drift,mod_idx_dg,name,nn_hit_rate,nn_miss_rate,on_off_ratio_fl,on_screen_rf,p_value_rf,phase,pref_dir_dm,pref_dir_multi_dm,pref_image_ns,pref_images_multi_ns,pref_ori_dg,pref_ori_multi_dg,pref_ori_multi_sg,pref_ori_sg,pref_phase_multi_sg,pref_phase_sg,pref_sf_multi_sg,pref_sf_sg,pref_speed_dm,pref_speed_multi_dm,pref_tf_dg,pref_tf_multi_dg,presence_ratio,probe_horizontal_position,probe_vertical_position,published_at,quality,run_mod_dg,run_mod_dm,run_mod_fl,run_mod_ns,run_mod_rf,run_mod_sg,run_pval_dg,run_pval_dm,run_pval_fl,run_pval_ns,run_pval_rf,run_pval_sg,sampling_rate,session_type,sex,silhouette_score,snr,specimen_id,sustained_idx_fl,time_to_peak_dm,time_to_peak_fl,time_to_peak_ns,time_to_peak_rf,time_to_peak_sg,waveform_PT_ratio,waveform_amplitude,waveform_duration,waveform_halfwidth,waveform_recovery_slope,waveform_repolarization_slope,waveform_spread,waveform_velocity_above,waveform_velocity_below,width_rf,time_to_first_spike_fl,cortical_depth,cortical_layer,area,session,timescale_ac,err_ac,spike_count_ac,timescale_it,err_it,spike_count_it,group,published_like_qc,unit_split
951801653,0.044871146,96,0.06339514,8921,500,28,,309.23,1.6466171,2018-10-26T19:59:18Z,2313,850120400,760640094,756029989,VISl,409,46,0.8661143,4.3487179,,1.5009524,1.8081818,0.71194969,1.7761752,3.3793047,2.43993,,4.6894715,3.2194914,5.8706422,3.8327935,0.094683194,0.23535792,0.071967575,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,True,94.787049,0.23984746,0.052712702,40.876865,9333,1249.9961,0.23608951,,0.0023216819,0.11557788,0.11878992,0.19341288,230,69.66,0.085641838,probeD,0.47880299,0.021877279,,False,0,3a,,,4923,False,225,False,False,60,False,0.25,False,0.02,,,15,False,0.99,59,2320,2019-10-03T00:00:00Z,good,0.38461538,,-0.095588235,-0.31458967,-0.41463415,0.078947368,0.018153158,,0.70350995,0.21437633,0.091289901,0.76687577,29999.905,brain_observatory_1.1,M,0.098612058,0.58182892,734865738,0.090361446,,0.1895,0.1145,0.0015,0.0935,0.010982975,27.102465,1.1537688,0.42579564,-0.0079701606,0.040581725,140,1.1446119,0.93204116,565.94932,0.117,0.87466443,6,,,,,,,,,HVA,False,descriptive
951801664,2.5975194e-05,96,0.11956458,8921,,,,367.96,4.525601,2018-10-26T19:59:18Z,2313,850120400,760640094,756029989,VISl,409,,0.89156788,2.6666667,,,2.3267797,0.93333333,3.5118631,8.9528589,0.18108856,,0,19.73072,0.0010964965,12.489551,0.12202295,0.24705294,0.039020955,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,True,,-0.063576271,0.14034525,109.12362,9333,1249.9961,0.30218481,,,0.032904104,1,0.054637563,230,44.8,0.23821891,probeD,1,0,,False,,3a,,,4908,False,180,False,False,120,False,0,False,0.08,,,15,False,0.64,59,2320,2019-10-03T00:00:00Z,good,0.66666667,,,0.075098814,1,0.092209373,0.35216934,,,0.63600152,0.34659351,0.70543976,29999.905,brain_observatory_1.1,M,0.16806432,3.2838076,734865738,,,0.0005,0.0955,0.1045,0.1435,2.4749918,139.73407,0.32964824,0.13735343,-0.071648733,0.53917856,20,,-1.3735343,,,0.87466443,6,,,,,,,,,HVA,False,descriptive
951801677,0.0047381007,96,8.6392203e-05,8921,,,,80.47,4.7569556,2018-10-26T19:59:18Z,2313,850120400,760640094,756029989,VISl,409,,0.20909326,7.8733384,,0.92,1.0121472,1.8666667,1.7308743,5.6512463,9.4351375,,0.3197367,7.2262233,0.0065789789,11.461745,0.041605438,0.50029344,0.54756679,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,True,,0.81267797,0,86.994445,9333,1249.9961,0.43926941,,0,0.37062797,0.9892562,0.36989342,230,53.35,0.10312902,probeD,0.99,0.00096599691,,False,,3a,,,4919,False,90,False,False,90,False,0,False,0.08,,,1,False,0.92,59,2320,2019-10-03T00:00:00Z,good,0.41223067,,-0.75882353,0.25688073,1,0.44089457,0.00026151184,,0.12504837,0.00026742087,0.36321747,1.8632755e-07,29999.905,brain_observatory_1.1,M,0.20175253,4.2573557,734865738,0.024096386,,0.0995,0.1455,0.1985,0.1165,0.25191041,285.38698,0.76917923,0.17855946,-0.081165262,0.92208769,40,0.68676717,-0.68676717,,0.168,0.87466443,6,,,,,,,,,HVA,False,descriptive
951801716,0.0032125276,96,0.00052920761,8918,100,10,,5.12,2.464305,2018-10-26T19:59:18Z,2322,850120398,760640094,756029989,VISl,409,50,1.0926072,2.8121212,,0.97333333,0.98,1.0666667,1.6066667,0.049084537,0.10854723,,0.079934174,0.0020151208,0.22149229,0.023979939,0.35528217,0.19764235,0.33333333,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,True,88.275216,0.94915254,0,36.193363,9330,1249.9961,0.5644867,,0.2,0.98290598,0.60457875,0.81932773,229,57.89,0.978691,probeD,0.33333333,0,,False,0.17,3a,,,4946,True,45,False,False,120,False,0.5,False,0.02,,,8,False,0.45,11,2300,2019-10-03T00:00:00Z,good,1,,1,1,0.78125,1,0.073237105,,0.16037503,0.32437471,0.20336094,0.18578877,29999.905,brain_observatory_1.1,M,,2.348259,734865738,0.0080321285,,0.0045,0.0745,0.0415,0.0995,0.56832897,138.84479,0.75544389,0.13735343,-0.072635231,0.45938137,70,0.61809045,-1.1675042,846.30446,0.16,0.88905811,6,,,,,,,,,HVA,False,descriptive
951801724,0.025892585,96,0.23476751,8915,400,50,,487.59,1.9916536,2018-10-26T19:59:18Z,2331,850120396,760640094,756029989,VISl,409,47.5,0.85157975,2.5726776,,1.505641,0.88519685,1.4801688,1.5428571,1.0957194,0.71641175,,1.2789468,0.95583898,3.3465073,1.0437934,0.11277389,0.28414372,0.098773653,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,True,18.15036,0.82623729,0.72074082,38.417808,9326,1249.9961,0.38376395,,0.56179775,0.5936823,0.59916503,0.18681872,228,68.4,2.0043608,probeD,0.62820513,0.0014522121,,False,0,3a,,,4929,False,0,False,False,0,False,0.25,False,0.32,,,2,False,0.99,43,2300,2019-10-03T00:00:00Z,good,-0.37209302,,-0.068181818,-0.16094033,-0.12727273,0.097222222,0.32181615,,0.85901679,0.32459142,0.69111517,0.83333205,29999.905,brain_observatory_1.1,M,0.081372439,1.0864122,734865738,0.078313253,,0.1055,0.0815,0.0875,0.0675,0.68342201,42.278925,0.94773869,0.28844221,-0.012118522,0.062158101,110,0.85845896,-0.068676717,22.753727,0.126,0.90840143,6,VISl,7.5602999e+08,1000,8833.5825,48,1.0000217,4481.1043,128,HVA,True,evaluation
951801760,0.024026719,96,0.033740623,8930,1000,78,,303.2,2.5448492,2018-10-26T19:59:18Z,2286,850120404,760640094,756029989,VISl,409,37,0.2763669,0.72868217,,0.94666667,1.1057143,1.6,1.0809289,1.7903309,4.4419647,,0.18651307,0.63677818,0.76535455,2.2581109,0.029452528,0.52588646,0.51732133,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,True,59.135594,0.81449153,0.28170506,42.385811,9345,1249.9961,0.4417498,,0.04,0.5619495,0.4242821,0.45346219,232,58.01,0.69965772,probeD,0.73584906,0.0029287563,,False,0,3a,,,4976,False,225,False,False,30,False,0.75,False,0.08,,,15,False,0.99,43,2340,2019-10-03T00:00:00Z,good,0.074074074,,-0.5,0.3848145,0.89285714,0.098110465,0.33888205,,0.50922768,0.036848969,0.020362124,0.6063213,29999.905,brain_observatory_1.1,M,0.050589002,1.9540624,734865738,0.016064257,,0.0425,0.1325,0.0505,0.0885,0.13003074,74.160645,1.0026801,0.30217755,-0.0088883873,0.16076685,70,0.8241206,0.068676717,156.27794,0.056,0.8320303,6,VISl,7.5602999e+08,1000,48342.109,6,1,2427.4757,161,HVA,True,evaluation
951801773,0.016146312,96,0.020513184,8932,0,,,123.25,3.6707024,2018-10-26T19:59:18Z,2277,850120406,760640094,756029989,VISl,409,,1.6888267,1.7333333,,0.8914888,1.4488889,0.8,1.0055659,0.68176314,0.10113425,,7.5404571,1.1083165,0.048245845,0.19317173,0.097735207,0.33035708,0.14762005,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,True,18.940613,0.63442373,0.080943687,40.532477,9348,1249.9961,0.34045922,,0.76613413,0.3817436,0.8707989,0.71919198,233,40.08,1.0097284,probeD,0.69166667,0.00030241935,,True,0.002,3a,,,4979,False,135,False,False,0,False,0.5,False,0.02,,,1,False,0.96,11,2340,2019-10-03T00:00:00Z,good,0.90277778,,0.21538462,0.85128205,-1,0.66666667,0.069015173,,0.04256208,5.2588954e-08,0.080516238,0.021187895,29999.905,brain_observatory_1.1,M,,2.669261,734865738,0.14457831,,0.1905,0.1155,0.0695,0.1595,0.1431313,127.03821,0.86532663,0.20603015,-0.036237815,0.37889993,60,0.4120603,-0.34338358,16.954854,0.129,0.82268173,6,VISl,7.5602999e+08,1000,1439.9719,364,,,15,HVA,True,evaluation
951801785,0.024858783,96,0.0028123733,8932,1600,38.75,,100.76,3.4989833,2018-10-26T19:59:18Z,2277,850120406,760640094,756029989,VISl,409,23.125,0.30635733,2.4581454,,0.38081871,0.62345178,0.63333333,1.0404991,12.380746,13.972412,,8.1532858,12.275444,8.0932406,11.002129,0.02270672,0.028442337,0.048597002,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,True,160.01784,0.068661017,0.0039271397,67.397396,9348,1249.9961,0.015159395,,0.027303754,0.010830602,0.018011569,0.026946479,233,74.49,0.17222216,probeD,0.902,0.023784782,,True,0.274,3a,,,5021,False,45,False,False,60,False,0.75,False,0.02,,,15,False,0.99,11,2340,2019-10-03T00:00:00Z,good,-0.17372881,,0.10502283,-0.005400914,-0.1552795,0.21072797,0.57091418,,0.26966972,0.96241081,0.5289652,0.12951828,29999.905,brain_observatory_1.1,M,0.039056994,2.1612601,734865738,0.11445783,,0.1265,0.1775,0.1355,0.0825,0.30029065,92.817465,0.7279732,0.35711893,-0.029958241,0.20016762,60,1.0301508,-0.34338358,161.77729,0.126,0.82268173,6,,,,,,,,,HVA,False,descriptive
951801797,0.035850684,96,0.032022198,8935,1400,21.429,,310.83,2.0656747,2018-10-26T19:59:18Z,2268,850120408,760640094,756029989,VISl,409,-15.714,0.59713254,13.172139,,1.7634891,0.97315789,13.656738,1.123609,8.4163418,8.0483803,,10.045061,4.4829721,10.968254,9.887728,0.030939599,0.14452429,0.079218183,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,True,307.93176,0.45105085,0.17580502,54.313683,9352,1249.9961,0.13967999,,0.03594279,0.17763312,0.29853448,0.20895551,234,65.44,1.2201907,probeD,0.81,0.024613537,,False,0,3a,,,4944,False,0,False,False,0,False,0,False,0.16,,,2,False,0.99,59,2360,2019-10-03T00:00:00Z,good,0.10714286,,0.56923077,0.21212121,0.93333333,0.23611111,0.82998963,,1.1938134e-05,0.1496838,0.0092380135,0.040554043,29999.905,brain_observatory_1.1,M,0.068720704,0.56869518,734865738,0.21385542,,0.0005,0.1295,0.1275,0.1045,0.48383784,84.812325,0.70050251,1.2499162,-0.016887022,0.2311155,70,0.8241206,-0.34338358,169.18372,0.1,0.80407572,6,,,,,,,,,HVA,False,descriptive
951801818,0.067321913,96,0.25909743,8935,1100,19.091,,235.76,2.5843854,2018-10-26T19:59:18Z,2268,850120408,760640094,756029989,VISl,409,7.273,0.52528038,4.2453333,,2.399599,1.45,1.9916667,2.9700101,7.1862171,6.9644965,,4.9292741,9.1439466,2.0548344,9.2222847,0.023178308,0.052136423,0.063081395,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,True,130.57619,0.13823729,0.12457918,43.547746,9352,1249.9961,0.17447486,,0.32172804,0.071594689,0.29471278,0.075004645,234,85.46,0.67286367,probeD,0.64333333,0.030354322,,False,0,3a,,,5005,False,0,False,False,60,False,0,False,0.32,,,1,False,0.99,59,2360,2019-10-03T00:00:00Z,good,0.36637931,,0.73333333,0.5952381,0.1,0.62157074,0.095475104,,7.273777e-06,7.7177467e-06,0.84707158,7.4146808e-05,29999.905,brain_observatory_1.1,M,0.022284392,0.48192377,734865738,0.17804552,,0.1015,0.0265,0.1525,0.2305,0.6539645,67.593045,0.75544389,,-0.038624076,0.16013106,100,1.2018425,0.34338358,44.414672,0.13,0.80407572,6,,,,,,,,,HVA,False,descriptive
