stimulus_presentation_id,stimulus_block,start_time,stop_time,y_position,size,x_position,spatial_frequency,color,temporal_frequency,contrast,stimulus_name,orientation,phase,frame,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1,0.0,84.875815,85.10933,20.0,"[20.0, 20.0]",-20.0,0.08,null,4.0,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",null,0.23351535,1,,,0,,False,0,train,0
2,0.0,85.10933,85.359525,0.0,"[20.0, 20.0]",0.0,0.08,null,4.0,0.8,gabors,90.0,"[3644.93333333, 3644.93333333]",null,0.25019502,2,,,0,,False,0,train,2
3,0.0,85.359525,85.60972,-30.0,"[20.0, 20.0]",0.0,0.08,null,4.0,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",null,0.25019502,3,,,0,,False,0,train,1
4,0.0,85.60972,85.859915,20.0,"[20.0, 20.0]",20.0,0.08,null,4.0,0.8,gabors,90.0,"[3644.93333333, 3644.93333333]",null,0.25019502,4,,,0,,False,0,train,2
5,0.0,85.859915,86.11014,20.0,"[20.0, 20.0]",-40.0,0.08,null,4.0,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",null,0.2502249,5,,,0,,False,0,train,0
6,0.0,86.11014,86.360365,-10.0,"[20.0, 20.0]",-40.0,0.08,null,4.0,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",null,0.2502249,6,,,0,,False,0,train,1
7,0.0,86.360365,86.61059,30.0,"[20.0, 20.0]",-10.0,0.08,null,4.0,0.8,gabors,90.0,"[3644.93333333, 3644.93333333]",null,0.2502249,7,,,0,,False,0,train,2
8,0.0,86.61059,86.860815,0.0,"[20.0, 20.0]",-10.0,0.08,null,4.0,0.8,gabors,90.0,"[3644.93333333, 3644.93333333]",null,0.2502249,8,,,0,,False,0,train,2
9,0.0,86.860815,87.11101,-10.0,"[20.0, 20.0]",-10.0,0.08,null,4.0,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",null,0.2501951,9,,,0,,False,0,train,1
10,0.0,87.11101,87.361205,40.0,"[20.0, 20.0]",10.0,0.08,null,4.0,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",null,0.2501951,10,,,0,,False,0,train,1
