stimulus_presentation_id,stimulus_block,start_time,stop_time,phase,x_position,frame,size,temporal_frequency,color,spatial_frequency,stimulus_name,y_position,contrast,orientation,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1,0.0,84.636279,84.869794,"[3644.93333333, 3644.93333333]",0.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,0.0,0.8,0.0,0.23351569,1,,,0,,False,0,train,0
2,0.0,84.869794,85.11999,"[3644.93333333, 3644.93333333]",-10.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,-20.0,0.8,90.0,0.25019539,2,,,0,,False,0,train,2
3,0.0,85.11999,85.370185,"[3644.93333333, 3644.93333333]",20.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,10.0,0.8,0.0,0.25019539,3,,,0,,False,0,train,0
4,0.0,85.370185,85.620381,"[3644.93333333, 3644.93333333]",-40.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,40.0,0.8,45.0,0.25019539,4,,,0,,False,0,train,1
5,0.0,85.620381,85.870605,"[3644.93333333, 3644.93333333]",-20.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,-20.0,0.8,90.0,0.25022454,5,,,0,,False,0,train,2
6,0.0,85.870605,86.12083,"[3644.93333333, 3644.93333333]",40.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,-30.0,0.8,90.0,0.25022454,6,,,0,,False,0,train,2
7,0.0,86.12083,86.371054,"[3644.93333333, 3644.93333333]",-10.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,20.0,0.8,45.0,0.25022454,7,,,0,,False,0,train,1
8,0.0,86.371054,86.621279,"[3644.93333333, 3644.93333333]",20.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,-40.0,0.8,90.0,0.25022454,8,,,0,,False,0,train,2
9,0.0,86.621279,86.871472,"[3644.93333333, 3644.93333333]",-10.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,20.0,0.8,45.0,0.25019296,7,,,0,,False,1,train,1
10,0.0,86.871472,87.121665,"[3644.93333333, 3644.93333333]",40.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,40.0,0.8,45.0,0.25019296,9,,,0,,False,0,train,1
11,0.0,87.121665,87.371858,"[3644.93333333, 3644.93333333]",10.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,-10.0,0.8,90.0,0.25019296,10,,,0,,False,0,train,2
12,0.0,87.371858,87.622051,"[3644.93333333, 3644.93333333]",-40.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,40.0,0.8,0.0,0.25019296,11,,,0,,False,0,train,0
13,0.0,87.622051,87.872273,"[3644.93333333, 3644.93333333]",20.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,20.0,0.8,0.0,0.25022204,12,,,0,,False,0,train,0
14,0.0,87.872273,88.122495,"[3644.93333333, 3644.93333333]",-20.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,-30.0,0.8,45.0,0.25022204,13,,,0,,False,0,train,1
15,0.0,88.122495,88.372717,"[3644.93333333, 3644.93333333]",-20.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,10.0,0.8,90.0,0.25022204,14,,,0,,False,0,train,2
16,0.0,88.372717,88.622939,"[3644.93333333, 3644.93333333]",-40.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,-20.0,0.8,0.0,0.25022204,15,,,0,,False,0,train,0
17,0.0,88.622939,88.873134,"[3644.93333333, 3644.93333333]",40.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,-30.0,0.8,90.0,0.25019546,6,,,0,,False,1,train,2
18,0.0,88.873134,89.12333,"[3644.93333333, 3644.93333333]",0.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,20.0,0.8,0.0,0.25019546,16,,,0,,False,0,train,0
19,0.0,89.12333,89.373525,"[3644.93333333, 3644.93333333]",0.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,0.0,0.8,0.0,0.25019546,1,,,0,,False,1,train,0
20,0.0,89.373525,89.623721,"[3644.93333333, 3644.93333333]",0.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,30.0,0.8,0.0,0.25019546,17,,,0,,False,0,train,0
21,0.0,89.623721,89.873948,"[3644.93333333, 3644.93333333]",10.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,-40.0,0.8,0.0,0.25022704,18,,,0,,False,0,train,0
22,0.0,89.873948,90.124175,"[3644.93333333, 3644.93333333]",30.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,0.0,0.8,0.0,0.25022704,19,,,0,,False,0,train,0
23,0.0,90.124175,90.374402,"[3644.93333333, 3644.93333333]",20.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,-40.0,0.8,90.0,0.25022704,8,,,0,,False,1,train,2
24,0.0,90.374402,90.624629,"[3644.93333333, 3644.93333333]",0.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,-30.0,0.8,0.0,0.25022704,20,,,0,,False,0,train,0
25,0.0,90.624629,90.874819,"[3644.93333333, 3644.93333333]",-20.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,0.0,0.8,0.0,0.25019046,21,,,0,,False,0,train,0
26,0.0,90.874819,91.12501,"[3644.93333333, 3644.93333333]",30.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,10.0,0.8,45.0,0.25019046,22,,,0,,False,0,train,1
27,0.0,91.12501,91.3752,"[3644.93333333, 3644.93333333]",-40.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,30.0,0.8,45.0,0.25019046,23,,,0,,False,0,train,1
28,0.0,91.3752,91.625391,"[3644.93333333, 3644.93333333]",20.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,-40.0,0.8,45.0,0.25019046,24,,,0,,False,0,train,1
29,0.0,91.625391,91.87561,"[3644.93333333, 3644.93333333]",30.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,-20.0,0.8,45.0,0.25021954,25,,,0,,False,0,train,1
30,0.0,91.87561,92.12583,"[3644.93333333, 3644.93333333]",-40.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,30.0,0.8,0.0,0.25021954,26,,,0,,False,0,train,0
31,0.0,92.12583,92.376049,"[3644.93333333, 3644.93333333]",20.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,30.0,0.8,90.0,0.25021954,27,,,0,,False,0,train,2
32,0.0,92.376049,92.626269,"[3644.93333333, 3644.93333333]",40.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,10.0,0.8,90.0,0.25021954,28,,,0,,False,0,train,2
33,0.0,92.626269,92.876469,"[3644.93333333, 3644.93333333]",-20.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,-40.0,0.8,0.0,0.25020046,29,,,0,,False,0,train,0
34,0.0,92.876469,93.12667,"[3644.93333333, 3644.93333333]",0.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,40.0,0.8,0.0,0.25020046,30,,,0,,False,0,train,0
35,0.0,93.12667,93.37687,"[3644.93333333, 3644.93333333]",40.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,-10.0,0.8,45.0,0.25020046,31,,,0,,False,0,train,1
36,0.0,93.37687,93.627071,"[3644.93333333, 3644.93333333]",20.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,10.0,0.8,90.0,0.25020046,32,,,0,,False,0,train,2
37,0.0,93.627071,93.877288,"[3644.93333333, 3644.93333333]",0.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,-20.0,0.8,90.0,0.25021704,33,,,0,,False,0,train,2
38,0.0,93.877288,94.127505,"[3644.93333333, 3644.93333333]",40.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,-30.0,0.8,0.0,0.25021704,34,,,0,,False,0,train,0
39,0.0,94.127505,94.377722,"[3644.93333333, 3644.93333333]",0.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,20.0,0.8,45.0,0.25021704,35,,,0,,False,0,train,1
40,0.0,94.377722,94.627939,"[3644.93333333, 3644.93333333]",-20.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,-40.0,0.8,0.0,0.25021704,29,,,0,,False,1,train,0
41,0.0,94.627939,94.878139,"[3644.93333333, 3644.93333333]",-40.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,20.0,0.8,90.0,0.25020046,36,,,0,,False,0,train,2
42,0.0,94.878139,95.12834,"[3644.93333333, 3644.93333333]",40.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,30.0,0.8,90.0,0.25020046,37,,,0,,False,0,train,2
43,0.0,95.12834,95.37854,"[3644.93333333, 3644.93333333]",20.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,10.0,0.8,45.0,0.25020046,38,,,0,,False,0,train,1
44,0.0,95.37854,95.628741,"[3644.93333333, 3644.93333333]",40.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,-20.0,0.8,90.0,0.25020046,39,,,0,,False,0,train,2
45,0.0,95.628741,95.878958,"[3644.93333333, 3644.93333333]",0.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,30.0,0.8,0.0,0.25021704,17,,,0,,False,1,train,0
46,0.0,95.878958,96.129175,"[3644.93333333, 3644.93333333]",20.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,-30.0,0.8,45.0,0.25021704,40,,,0,,False,0,train,1
47,0.0,96.129175,96.379392,"[3644.93333333, 3644.93333333]",-20.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,10.0,0.8,90.0,0.25021704,14,,,0,,False,1,train,2
48,0.0,96.379392,96.629609,"[3644.93333333, 3644.93333333]",10.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,0.0,0.8,90.0,0.25021704,41,,,0,,False,0,train,2
49,0.0,96.629609,96.879809,"[3644.93333333, 3644.93333333]",30.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,10.0,0.8,45.0,0.25020046,22,,,0,,False,1,train,1
50,0.0,96.879809,97.13001,"[3644.93333333, 3644.93333333]",-30.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,-10.0,0.8,90.0,0.25020046,42,,,0,,False,0,train,2
51,0.0,97.13001,97.38021,"[3644.93333333, 3644.93333333]",30.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,30.0,0.8,45.0,0.25020046,43,,,0,,False,0,train,1
52,0.0,97.38021,97.630411,"[3644.93333333, 3644.93333333]",-20.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,-10.0,0.8,45.0,0.25020046,44,,,0,,False,0,train,1
53,0.0,97.630411,97.88063,"[3644.93333333, 3644.93333333]",10.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,30.0,0.8,90.0,0.25021954,45,,,0,,False,0,train,2
54,0.0,97.88063,98.13085,"[3644.93333333, 3644.93333333]",30.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,-20.0,0.8,45.0,0.25021954,25,,,0,,False,1,train,1
