stimulus_presentation_id,stimulus_block,start_time,stop_time,temporal_frequency,stimulus_name,frame,phase,size,contrast,orientation,spatial_frequency,color,x_position,y_position,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1,0.0,84.804349,85.03787,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,0.0,0.08,null,-10.0,-40.0,0.23352062,1,,,0,,False,0,train,0
2,0.0,85.03787,85.28807,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,0.0,0.08,null,30.0,40.0,0.25020067,2,,,0,,False,0,train,0
3,0.0,85.28807,85.538271,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,0.0,0.08,null,0.0,0.0,0.25020067,3,,,0,,False,0,train,0
4,0.0,85.538271,85.788472,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,45.0,0.08,null,-20.0,20.0,0.25020067,4,,,0,,False,0,train,1
5,0.0,85.788472,86.038686,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,0.0,0.08,null,-40.0,40.0,0.25021434,5,,,0,,False,0,train,0
6,0.0,86.038686,86.2889,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,45.0,0.08,null,-20.0,0.0,0.25021434,6,,,0,,False,0,train,1
7,0.0,86.2889,86.539115,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,0.0,0.08,null,-30.0,20.0,0.25021434,7,,,0,,False,0,train,0
8,0.0,86.539115,86.789329,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,45.0,0.08,null,-40.0,-30.0,0.25021434,8,,,0,,False,0,train,1
9,0.0,86.789329,87.039532,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,0.0,0.08,null,-30.0,40.0,0.25020316,9,,,0,,False,0,train,0
10,0.0,87.039532,87.289735,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,90.0,0.08,null,30.0,20.0,0.25020316,10,,,0,,False,0,train,2
