stimulus_presentation_id,stimulus_block,start_time,stop_time,frame,temporal_frequency,phase,color,y_position,orientation,stimulus_name,x_position,size,spatial_frequency,contrast,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1,0.0,84.818986,85.052505,null,4.0,"[3644.93333333, 3644.93333333]",null,10.0,45.0,gabors,0.0,"[20.0, 20.0]",0.08,0.8,0.23351951,1,,,0,,False,0,train,1
2,0.0,85.052505,85.302704,null,4.0,"[3644.93333333, 3644.93333333]",null,40.0,0.0,gabors,20.0,"[20.0, 20.0]",0.08,0.8,0.25019947,2,,,0,,False,0,train,0
3,0.0,85.302704,85.552904,null,4.0,"[3644.93333333, 3644.93333333]",null,40.0,0.0,gabors,-40.0,"[20.0, 20.0]",0.08,0.8,0.25019947,3,,,0,,False,0,train,0
4,0.0,85.552904,85.803103,null,4.0,"[3644.93333333, 3644.93333333]",null,30.0,90.0,gabors,10.0,"[20.0, 20.0]",0.08,0.8,0.25019947,4,,,0,,False,0,train,2
5,0.0,85.803103,86.053326,null,4.0,"[3644.93333333, 3644.93333333]",null,-40.0,90.0,gabors,30.0,"[20.0, 20.0]",0.08,0.8,0.25022302,5,,,0,,False,0,train,2
6,0.0,86.053326,86.303549,null,4.0,"[3644.93333333, 3644.93333333]",null,40.0,90.0,gabors,40.0,"[20.0, 20.0]",0.08,0.8,0.25022302,6,,,0,,False,0,train,2
7,0.0,86.303549,86.553772,null,4.0,"[3644.93333333, 3644.93333333]",null,-30.0,90.0,gabors,-30.0,"[20.0, 20.0]",0.08,0.8,0.25022302,7,,,0,,False,0,train,2
8,0.0,86.553772,86.803996,null,4.0,"[3644.93333333, 3644.93333333]",null,30.0,90.0,gabors,20.0,"[20.0, 20.0]",0.08,0.8,0.25022302,8,,,0,,False,0,train,2
9,0.0,86.803996,87.054187,null,4.0,"[3644.93333333, 3644.93333333]",null,30.0,45.0,gabors,-30.0,"[20.0, 20.0]",0.08,0.8,0.25019198,9,,,0,,False,0,train,1
10,0.0,87.054187,87.304379,null,4.0,"[3644.93333333, 3644.93333333]",null,-40.0,0.0,gabors,-20.0,"[20.0, 20.0]",0.08,0.8,0.25019198,10,,,0,,False,0,train,0
11,0.0,87.304379,87.554571,null,4.0,"[3644.93333333, 3644.93333333]",null,-30.0,0.0,gabors,-40.0,"[20.0, 20.0]",0.08,0.8,0.25019198,11,,,0,,False,0,train,0
12,0.0,87.554571,87.804763,null,4.0,"[3644.93333333, 3644.93333333]",null,10.0,0.0,gabors,-10.0,"[20.0, 20.0]",0.08,0.8,0.25019198,12,,,0,,False,0,train,0
13,0.0,87.804763,88.054994,null,4.0,"[3644.93333333, 3644.93333333]",null,-30.0,0.0,gabors,-20.0,"[20.0, 20.0]",0.08,0.8,0.25023052,13,,,0,,False,0,train,0
14,0.0,88.054994,88.305224,null,4.0,"[3644.93333333, 3644.93333333]",null,20.0,45.0,gabors,20.0,"[20.0, 20.0]",0.08,0.8,0.25023052,14,,,0,,False,0,train,1
15,0.0,88.305224,88.555455,null,4.0,"[3644.93333333, 3644.93333333]",null,20.0,0.0,gabors,40.0,"[20.0, 20.0]",0.08,0.8,0.25023052,15,,,0,,False,0,train,0
16,0.0,88.555455,88.805686,null,4.0,"[3644.93333333, 3644.93333333]",null,-10.0,0.0,gabors,40.0,"[20.0, 20.0]",0.08,0.8,0.25023052,16,,,0,,False,0,train,0
17,0.0,88.805686,89.055877,null,4.0,"[3644.93333333, 3644.93333333]",null,-30.0,90.0,gabors,-40.0,"[20.0, 20.0]",0.08,0.8,0.25019198,17,,,0,,False,0,train,2
18,0.0,89.055877,89.306069,null,4.0,"[3644.93333333, 3644.93333333]",null,-30.0,90.0,gabors,-30.0,"[20.0, 20.0]",0.08,0.8,0.25019198,7,,,0,,False,1,train,2
19,0.0,89.306069,89.556261,null,4.0,"[3644.93333333, 3644.93333333]",null,30.0,90.0,gabors,40.0,"[20.0, 20.0]",0.08,0.8,0.25019198,18,,,0,,False,0,train,2
20,0.0,89.556261,89.806453,null,4.0,"[3644.93333333, 3644.93333333]",null,-10.0,0.0,gabors,40.0,"[20.0, 20.0]",0.08,0.8,0.25019198,16,,,0,,False,1,train,0
21,0.0,89.806453,90.056676,null,4.0,"[3644.93333333, 3644.93333333]",null,-40.0,45.0,gabors,0.0,"[20.0, 20.0]",0.08,0.8,0.25022302,19,,,0,,False,0,train,1
22,0.0,90.056676,90.306899,null,4.0,"[3644.93333333, 3644.93333333]",null,-20.0,90.0,gabors,40.0,"[20.0, 20.0]",0.08,0.8,0.25022302,20,,,0,,False,0,train,2
23,0.0,90.306899,90.557122,null,4.0,"[3644.93333333, 3644.93333333]",null,30.0,45.0,gabors,-20.0,"[20.0, 20.0]",0.08,0.8,0.25022302,21,,,0,,False,0,train,1
24,0.0,90.557122,90.807346,null,4.0,"[3644.93333333, 3644.93333333]",null,-20.0,0.0,gabors,-30.0,"[20.0, 20.0]",0.08,0.8,0.25022302,22,,,0,,False,0,train,0
25,0.0,90.807346,91.057537,null,4.0,"[3644.93333333, 3644.93333333]",null,-30.0,0.0,gabors,-30.0,"[20.0, 20.0]",0.08,0.8,0.25019198,23,,,0,,False,0,train,0
26,0.0,91.057537,91.307729,null,4.0,"[3644.93333333, 3644.93333333]",null,40.0,0.0,gabors,30.0,"[20.0, 20.0]",0.08,0.8,0.25019198,24,,,0,,False,0,train,0
27,0.0,91.307729,91.557921,null,4.0,"[3644.93333333, 3644.93333333]",null,20.0,0.0,gabors,30.0,"[20.0, 20.0]",0.08,0.8,0.25019198,25,,,0,,False,0,train,0
28,0.0,91.557921,91.808113,null,4.0,"[3644.93333333, 3644.93333333]",null,40.0,90.0,gabors,40.0,"[20.0, 20.0]",0.08,0.8,0.25019198,6,,,0,,False,1,train,2
29,0.0,91.808113,92.058344,null,4.0,"[3644.93333333, 3644.93333333]",null,-20.0,0.0,gabors,-10.0,"[20.0, 20.0]",0.08,0.8,0.25023052,26,,,0,,False,0,train,0
30,0.0,92.058344,92.308574,null,4.0,"[3644.93333333, 3644.93333333]",null,0.0,45.0,gabors,-30.0,"[20.0, 20.0]",0.08,0.8,0.25023052,27,,,0,,False,0,train,1
31,0.0,92.308574,92.558805,null,4.0,"[3644.93333333, 3644.93333333]",null,-40.0,90.0,gabors,-30.0,"[20.0, 20.0]",0.08,0.8,0.25023052,28,,,0,,False,0,train,2
32,0.0,92.558805,92.809036,null,4.0,"[3644.93333333, 3644.93333333]",null,20.0,0.0,gabors,20.0,"[20.0, 20.0]",0.08,0.8,0.25023052,29,,,0,,False,0,train,0
33,0.0,92.809036,93.059227,null,4.0,"[3644.93333333, 3644.93333333]",null,-10.0,0.0,gabors,30.0,"[20.0, 20.0]",0.08,0.8,0.25019198,30,,,0,,False,0,train,0
34,0.0,93.059227,93.309419,null,4.0,"[3644.93333333, 3644.93333333]",null,30.0,45.0,gabors,20.0,"[20.0, 20.0]",0.08,0.8,0.25019198,31,,,0,,False,0,train,1
35,0.0,93.309419,93.559611,null,4.0,"[3644.93333333, 3644.93333333]",null,-20.0,0.0,gabors,-40.0,"[20.0, 20.0]",0.08,0.8,0.25019198,32,,,0,,False,0,train,0
36,0.0,93.559611,93.809803,null,4.0,"[3644.93333333, 3644.93333333]",null,20.0,45.0,gabors,-20.0,"[20.0, 20.0]",0.08,0.8,0.25019198,33,,,0,,False,0,train,1
37,0.0,93.809803,94.060016,null,4.0,"[3644.93333333, 3644.93333333]",null,-40.0,45.0,gabors,-30.0,"[20.0, 20.0]",0.08,0.8,0.25021302,34,,,0,,False,0,train,1
38,0.0,94.060016,94.310229,null,4.0,"[3644.93333333, 3644.93333333]",null,-30.0,45.0,gabors,-10.0,"[20.0, 20.0]",0.08,0.8,0.25021302,35,,,0,,False,0,train,1
39,0.0,94.310229,94.560442,null,4.0,"[3644.93333333, 3644.93333333]",null,40.0,45.0,gabors,-40.0,"[20.0, 20.0]",0.08,0.8,0.25021302,36,,,0,,False,0,train,1
40,0.0,94.560442,94.810656,null,4.0,"[3644.93333333, 3644.93333333]",null,-30.0,45.0,gabors,20.0,"[20.0, 20.0]",0.08,0.8,0.25021302,37,,,0,,False,0,train,1
41,0.0,94.810656,95.060855,null,4.0,"[3644.93333333, 3644.93333333]",null,0.0,0.0,gabors,-40.0,"[20.0, 20.0]",0.08,0.8,0.25019948,38,,,0,,False,0,train,0
42,0.0,95.060855,95.311054,null,4.0,"[3644.93333333, 3644.93333333]",null,40.0,45.0,gabors,20.0,"[20.0, 20.0]",0.08,0.8,0.25019948,39,,,0,,False,0,train,1
43,0.0,95.311054,95.561254,null,4.0,"[3644.93333333, 3644.93333333]",null,0.0,45.0,gabors,10.0,"[20.0, 20.0]",0.08,0.8,0.25019948,40,,,0,,False,0,train,1
