stimulus_presentation_id,stimulus_block,start_time,stop_time,stimulus_name,x_position,spatial_frequency,y_position,temporal_frequency,size,phase,color,orientation,contrast,frame,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1,0.0,78.836334,79.069855,gabors,10.0,0.08,-10.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.23352042,1,,,0,,False,0,train,1
2,0.0,79.069855,79.320055,gabors,-40.0,0.08,-30.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25020045,2,,,0,,False,0,train,0
3,0.0,79.320055,79.570255,gabors,-10.0,0.08,-40.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25020045,3,,,0,,False,0,train,1
4,0.0,79.570255,79.820456,gabors,0.0,0.08,-10.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25020045,4,,,0,,False,0,train,1
5,0.0,79.820456,80.070673,gabors,30.0,0.08,-10.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25021706,5,,,0,,False,0,train,1
6,0.0,80.070673,80.32089,gabors,-10.0,0.08,40.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25021706,6,,,0,,False,0,train,0
7,0.0,80.32089,80.571107,gabors,10.0,0.08,30.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25021706,7,,,0,,False,0,train,1
8,0.0,80.571107,80.821324,gabors,-20.0,0.08,-40.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25021706,8,,,0,,False,0,train,0
9,0.0,80.821324,81.071527,gabors,30.0,0.08,-30.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25020294,9,,,0,,False,0,train,0
10,0.0,81.071527,81.32173,gabors,-30.0,0.08,40.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25020294,10,,,0,,False,0,train,1
11,0.0,81.32173,81.571933,gabors,40.0,0.08,-30.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25020294,11,,,0,,False,0,train,0
12,0.0,81.571933,81.822136,gabors,40.0,0.08,30.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25020294,12,,,0,,False,0,train,1
13,0.0,81.822136,82.072355,gabors,0.0,0.08,20.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25021956,13,,,0,,False,0,train,1
14,0.0,82.072355,82.322575,gabors,-20.0,0.08,30.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25021956,14,,,0,,False,0,train,1
15,0.0,82.322575,82.572795,gabors,20.0,0.08,30.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25021956,15,,,0,,False,0,train,0
16,0.0,82.572795,82.823014,gabors,-40.0,0.08,40.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25021956,16,,,0,,False,0,train,0
17,0.0,82.823014,83.073212,gabors,20.0,0.08,0.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25019794,17,,,0,,False,0,train,2
18,0.0,83.073212,83.32341,gabors,-20.0,0.08,-30.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25019794,18,,,0,,False,0,train,1
19,0.0,83.32341,83.573608,gabors,0.0,0.08,-40.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25019794,19,,,0,,False,0,train,1
20,0.0,83.573608,83.823806,gabors,20.0,0.08,-20.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25019794,20,,,0,,False,0,train,0
21,0.0,83.823806,84.074023,gabors,10.0,0.08,40.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25021706,21,,,0,,False,0,train,0
22,0.0,84.074023,84.32424,gabors,-20.0,0.08,-30.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25021706,22,,,0,,False,0,train,2
23,0.0,84.32424,84.574457,gabors,20.0,0.08,0.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25021706,17,,,0,,False,1,train,2
24,0.0,84.574457,84.824674,gabors,10.0,0.08,0.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25021706,23,,,0,,False,0,train,1
25,0.0,84.824674,85.074875,gabors,-10.0,0.08,10.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25020044,24,,,0,,False,0,train,1
26,0.0,85.074875,85.325075,gabors,-20.0,0.08,30.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25020044,14,,,0,,False,1,train,1
27,0.0,85.325075,85.575275,gabors,-40.0,0.08,0.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25020044,25,,,0,,False,0,train,2
28,0.0,85.575275,85.825476,gabors,-40.0,0.08,-40.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25020044,26,,,0,,False,0,train,0
29,0.0,85.825476,86.075693,gabors,40.0,0.08,20.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25021706,27,,,0,,False,0,train,1
30,0.0,86.075693,86.32591,gabors,0.0,0.08,0.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25021706,28,,,0,,False,0,train,2
31,0.0,86.32591,86.576127,gabors,-20.0,0.08,30.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25021706,29,,,0,,False,0,train,0
32,0.0,86.576127,86.826344,gabors,40.0,0.08,-40.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25021706,30,,,0,,False,0,train,1
33,0.0,86.826344,87.076545,gabors,10.0,0.08,30.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25020044,31,,,0,,False,0,train,0
34,0.0,87.076545,87.326745,gabors,20.0,0.08,-10.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25020044,32,,,0,,False,0,train,0
35,0.0,87.326745,87.576945,gabors,0.0,0.08,-20.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25020044,33,,,0,,False,0,train,2
36,0.0,87.576945,87.827146,gabors,-40.0,0.08,20.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25020044,34,,,0,,False,0,train,2
37,0.0,87.827146,88.077355,gabors,40.0,0.08,0.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25020956,35,,,0,,False,0,train,0
38,0.0,88.077355,88.327565,gabors,-40.0,0.08,30.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25020956,36,,,0,,False,0,train,2
39,0.0,88.327565,88.577775,gabors,-40.0,0.08,0.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25020956,37,,,0,,False,0,train,1
40,0.0,88.577775,88.827984,gabors,-20.0,0.08,10.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25020956,38,,,0,,False,0,train,1
41,0.0,88.827984,89.078195,gabors,-30.0,0.08,-20.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25021044,39,,,0,,False,0,train,0
42,0.0,89.078195,89.328405,gabors,30.0,0.08,-40.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25021044,40,,,0,,False,0,train,0
43,0.0,89.328405,89.578615,gabors,0.0,0.08,-30.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25021044,41,,,0,,False,0,train,1
44,0.0,89.578615,89.828826,gabors,40.0,0.08,-30.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25021044,42,,,0,,False,0,train,2
45,0.0,89.828826,90.079043,gabors,-30.0,0.08,-10.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25021706,43,,,0,,False,0,train,0
46,0.0,90.079043,90.32926,gabors,-40.0,0.08,40.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25021706,44,,,0,,False,0,train,2
47,0.0,90.32926,90.579477,gabors,-20.0,0.08,20.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25021706,45,,,0,,False,0,train,2
48,0.0,90.579477,90.829694,gabors,10.0,0.08,-30.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25021706,46,,,0,,False,0,train,2
49,0.0,90.829694,91.079892,gabors,30.0,0.08,0.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25019794,47,,,0,,False,0,train,2
50,0.0,91.079892,91.33009,gabors,30.0,0.08,-30.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25019794,48,,,0,,False,0,train,2
51,0.0,91.33009,91.580288,gabors,20.0,0.08,20.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25019794,49,,,0,,False,0,train,1
52,0.0,91.580288,91.830486,gabors,10.0,0.08,30.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25019794,50,,,0,,False,0,train,2
53,0.0,91.830486,92.080693,gabors,40.0,0.08,40.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25020706,51,,,0,,False,0,train,2
54,0.0,92.080693,92.3309,gabors,20.0,0.08,-30.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25020706,52,,,0,,False,0,train,0
55,0.0,92.3309,92.581107,gabors,-10.0,0.08,-10.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25020706,53,,,0,,False,0,train,1
56,0.0,92.581107,92.831314,gabors,0.0,0.08,-30.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25020706,41,,,0,,False,1,train,1
57,0.0,92.831314,93.081525,gabors,10.0,0.08,40.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25021044,21,,,0,,False,1,train,0
58,0.0,93.081525,93.331735,gabors,40.0,0.08,0.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25021044,35,,,0,,False,1,train,0
59,0.0,93.331735,93.581945,gabors,-40.0,0.08,0.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25021044,37,,,0,,False,1,train,1
60,0.0,93.581945,93.832156,gabors,10.0,0.08,30.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25021044,7,,,0,,False,1,train,1
61,0.0,93.832156,94.082368,gabors,-20.0,0.08,-40.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25021206,54,,,0,,False,0,train,1
62,0.0,94.082368,94.33258,gabors,10.0,0.08,-40.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25021206,55,,,0,,False,0,train,1
63,0.0,94.33258,94.582792,gabors,-20.0,0.08,40.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25021206,56,,,0,,False,0,train,0
64,0.0,94.582792,94.833004,gabors,20.0,0.08,0.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25021206,57,,,0,,False,0,train,0
65,0.0,94.833004,95.08321,gabors,20.0,0.08,40.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25020544,58,,,0,,False,0,train,2
66,0.0,95.08321,95.333415,gabors,-40.0,0.08,-40.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25020544,26,,,0,,False,1,train,0
67,0.0,95.333415,95.58362,gabors,40.0,0.08,30.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25020544,59,,,0,,False,0,train,0
68,0.0,95.58362,95.833826,gabors,-20.0,0.08,40.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25020544,60,,,0,,False,0,train,1
69,0.0,95.833826,96.084043,gabors,0.0,0.08,40.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25021706,61,,,0,,False,0,train,0
70,0.0,96.084043,96.33426,gabors,40.0,0.08,30.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25021706,62,,,0,,False,0,train,2
71,0.0,96.33426,96.584477,gabors,0.0,0.08,0.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25021706,28,,,0,,False,1,train,2
72,0.0,96.584477,96.834694,gabors,10.0,0.08,20.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25021706,63,,,0,,False,0,train,1
73,0.0,96.834694,97.084897,gabors,40.0,0.08,-40.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25020294,30,,,0,,False,1,train,1
74,0.0,97.084897,97.3351,gabors,-20.0,0.08,40.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25020294,60,,,0,,False,1,train,1
75,0.0,97.3351,97.585303,gabors,-10.0,0.08,-40.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25020294,64,,,0,,False,0,train,2
76,0.0,97.585303,97.835506,gabors,-20.0,0.08,-10.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25020294,65,,,0,,False,0,train,0
77,0.0,97.835506,98.085718,gabors,-10.0,0.08,0.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25021206,66,,,0,,False,0,train,0
78,0.0,98.085718,98.33593,gabors,0.0,0.08,-10.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25021206,67,,,0,,False,0,train,0
79,0.0,98.33593,98.586142,gabors,10.0,0.08,40.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25021206,68,,,0,,False,0,train,2
80,0.0,98.586142,98.836354,gabors,-40.0,0.08,-20.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25021206,69,,,0,,False,0,train,2
81,0.0,98.836354,99.08656,gabors,-40.0,0.08,0.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25020544,25,,,0,,False,1,train,2
82,0.0,99.08656,99.336765,gabors,-30.0,0.08,20.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25020544,70,,,0,,False,0,train,1
83,0.0,99.336765,99.58697,gabors,-20.0,0.08,-20.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25020544,71,,,0,,False,0,train,0
84,0.0,99.58697,99.837176,gabors,-20.0,0.08,10.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25020544,38,,,0,,False,1,train,1
85,0.0,99.837176,100.08739,gabors,-40.0,0.08,10.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25021206,72,,,0,,False,0,train,0
86,0.0,100.08739,100.3376,gabors,-40.0,0.08,-20.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25021206,69,,,0,,False,1,train,2
87,0.0,100.3376,100.58781,gabors,-30.0,0.08,-10.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25021206,43,,,0,,False,1,train,0
88,0.0,100.58781,100.83802,gabors,-40.0,0.08,-10.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25021206,73,,,0,,False,0,train,1
89,0.0,100.83802,101.08823,gabors,20.0,0.08,10.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25020544,74,,,0,,False,0,train,2
90,0.0,101.08823,101.33844,gabors,10.0,0.08,40.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25020544,21,,,0,,False,2,test,0
91,0.0,101.33844,101.58864,gabors,-20.0,0.08,-10.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25020544,65,,,0,,False,1,train,0
92,0.0,101.58864,101.83885,gabors,20.0,0.08,-10.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25020544,75,,,0,,False,0,train,2
93,0.0,101.83885,102.08906,gabors,0.0,0.08,-10.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25020956,67,,,0,,False,1,train,0
94,0.0,102.08906,102.33927,gabors,0.0,0.08,30.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25020956,76,,,0,,False,0,train,0
95,0.0,102.33927,102.58947,gabors,10.0,0.08,10.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,45.0,0.8,null,0.25020956,77,,,0,,False,0,train,1
96,0.0,102.58947,102.83968,gabors,10.0,0.08,-40.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,0.0,0.8,null,0.25020956,78,,,0,,False,0,train,0
97,0.0,102.83968,103.08989,gabors,40.0,0.08,-30.0,4.0,"[20.0, 20.0]","[3644.93333333, 3644.93333333]",null,90.0,0.8,null,0.25020544,42,,,0,,False,1,train,2
