stimulus_presentation_id,stimulus_block,start_time,stop_time,contrast,stimulus_name,y_position,color,frame,size,x_position,spatial_frequency,orientation,temporal_frequency,phase,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1,0.0,90.394099,90.627629,0.8,gabors,0.0,null,null,"[20.0, 20.0]",30.0,0.08,0.0,4.0,"[3644.93333333, 3644.93333333]",0.23352988,1,,,0,,False,0,train,0
2,0.0,90.627629,90.87784,0.8,gabors,0.0,null,null,"[20.0, 20.0]",20.0,0.08,45.0,4.0,"[3644.93333333, 3644.93333333]",0.25021059,2,,,0,,False,0,train,1
3,0.0,90.87784,91.12805,0.8,gabors,0.0,null,null,"[20.0, 20.0]",40.0,0.08,45.0,4.0,"[3644.93333333, 3644.93333333]",0.25021059,3,,,0,,False,0,train,1
4,0.0,91.12805,91.378261,0.8,gabors,10.0,null,null,"[20.0, 20.0]",-20.0,0.08,0.0,4.0,"[3644.93333333, 3644.93333333]",0.25021059,4,,,0,,False,0,train,0
5,0.0,91.378261,91.628473,0.8,gabors,20.0,null,null,"[20.0, 20.0]",0.0,0.08,90.0,4.0,"[3644.93333333, 3644.93333333]",0.25021209,5,,,0,,False,0,train,2
6,0.0,91.628473,91.878685,0.8,gabors,20.0,null,null,"[20.0, 20.0]",20.0,0.08,90.0,4.0,"[3644.93333333, 3644.93333333]",0.25021209,6,,,0,,False,0,train,2
7,0.0,91.878685,92.128897,0.8,gabors,10.0,null,null,"[20.0, 20.0]",10.0,0.08,45.0,4.0,"[3644.93333333, 3644.93333333]",0.25021209,7,,,0,,False,0,train,1
8,0.0,92.128897,92.379109,0.8,gabors,0.0,null,null,"[20.0, 20.0]",-20.0,0.08,90.0,4.0,"[3644.93333333, 3644.93333333]",0.25021209,8,,,0,,False,0,train,2
9,0.0,92.379109,92.629315,0.8,gabors,20.0,null,null,"[20.0, 20.0]",-40.0,0.08,45.0,4.0,"[3644.93333333, 3644.93333333]",0.25020541,9,,,0,,False,0,train,1
10,0.0,92.629315,92.87952,0.8,gabors,-20.0,null,null,"[20.0, 20.0]",20.0,0.08,90.0,4.0,"[3644.93333333, 3644.93333333]",0.25020541,10,,,0,,False,0,train,2
11,0.0,92.87952,93.129725,0.8,gabors,-30.0,null,null,"[20.0, 20.0]",0.0,0.08,0.0,4.0,"[3644.93333333, 3644.93333333]",0.25020541,11,,,0,,False,0,train,0
12,0.0,93.129725,93.379931,0.8,gabors,20.0,null,null,"[20.0, 20.0]",-20.0,0.08,90.0,4.0,"[3644.93333333, 3644.93333333]",0.25020541,12,,,0,,False,0,train,2
13,0.0,93.379931,93.630148,0.8,gabors,40.0,null,null,"[20.0, 20.0]",40.0,0.08,90.0,4.0,"[3644.93333333, 3644.93333333]",0.25021709,13,,,0,,False,0,train,2
