ecephys_unit_id,L_ratio,age_in_days,amplitude_cutoff,anterior_posterior_ccf_coordinate,area_rf,azimuth_rf,c50_dg,cumulative_drift,d_prime,date_of_acquisition,dorsal_ventral_ccf_coordinate,ecephys_channel_id,ecephys_probe_id,ecephys_session_id,ecephys_structure_acronym,ecephys_structure_id,elevation_rf,f1_f0_dg,fano_dg,fano_dm,fano_fl,fano_ns,fano_rf,fano_sg,firing_rate,firing_rate_dg,firing_rate_dm,firing_rate_fl,firing_rate_ns,firing_rate_rf,firing_rate_sg,g_dsi_dg,g_osi_dg,g_osi_sg,genotype,has_lfp_data,height_rf,image_selectivity_ns,isi_violations,isolation_distance,left_right_ccf_coordinate,lfp_sampling_rate,lifetime_sparseness_dg,lifetime_sparseness_dm,lifetime_sparseness_fl,lifetime_sparseness_ns,lifetime_sparseness_rf,lifetime_sparseness_sg,local_index,max_drift,mod_idx_dg,name,nn_hit_rate,nn_miss_rate,on_off_ratio_fl,on_screen_rf,p_value_rf,phase,pref_dir_dm,pref_dir_multi_dm,pref_image_ns,pref_images_multi_ns,pref_ori_dg,pref_ori_multi_dg,pref_ori_multi_sg,pref_ori_sg,pref_phase_multi_sg,pref_phase_sg,pref_sf_multi_sg,pref_sf_sg,pref_speed_dm,pref_speed_multi_dm,pref_tf_dg,pref_tf_multi_dg,presence_ratio,probe_horizontal_position,probe_vertical_position,published_at,quality,run_mod_dg,run_mod_dm,run_mod_fl,run_mod_ns,run_mod_rf,run_mod_sg,run_pval_dg,run_pval_dm,run_pval_fl,run_pval_ns,run_pval_rf,run_pval_sg,sampling_rate,session_type,sex,silhouette_score,snr,specimen_id,sustained_idx_fl,time_to_peak_dm,time_to_peak_fl,time_to_peak_ns,time_to_peak_rf,time_to_peak_sg,waveform_PT_ratio,waveform_amplitude,waveform_duration,waveform_halfwidth,waveform_recovery_slope,waveform_repolarization_slope,waveform_spread,waveform_velocity_above,waveform_velocity_below,width_rf,time_to_first_spike_fl,cortical_depth,cortical_layer,area,session,timescale_ac,err_ac,spike_count_ac,timescale_it,err_it,spike_count_it,group,published_like_qc,unit_split
950917841,0.00017138405,126,0.20762162,7613,,,,273.82,5.7554444,2018-12-06T20:48:16Z,1154,850053398,773463013,763673393,VISam,394,,0.66782347,8.2969697,,,5.071715,,5.3439898,11.329768,1.0293459,,0,21.967504,0,21.936316,0.078904301,0.14691648,0.031365997,wt/wt,True,,0.0049830508,0.49070616,116.9612,7518,1249.9986,0.11908829,,,0.017652815,,0.023004863,234,38.14,0.14807484,probeA,0.99933333,9.4428706e-05,,False,,3a,,,4974,False,315,False,False,30,False,0.25,False,0.02,,,2,False,0.66,59,2360,2019-10-03T00:00:00Z,good,,,,-0.69203911,,0.60526316,,,,2.6723875e-06,,0.066023595,29999.966,brain_observatory_1.1,M,0.13777721,2.9011368,742602892,,,0.0005,0.0965,0.0005,0.1915,3.5973706,118.58398,0.42579564,0.12361809,-0.031678033,0.38683368,30,-0.68676717,0,,,0.90383047,6,,,,,,,,,HVA,False,descriptive
950917866,0.053871891,126,0.0054371514,7609,1400,76.429,0.18013725,233,2.4796772,2018-12-06T20:48:16Z,1137,850053402,773463013,763673393,VISam,394,-17.143,0.36146088,3.9059295,,1.534359,0.89235195,2.7087719,1.3060309,8.0036056,10.539146,,9.8850507,9.2433595,4.3114263,11.557665,0.055484622,0.34618712,0.32852006,wt/wt,True,87.662623,0.74008475,0.43957222,45.484466,7526,1249.9986,0.21614688,,0.72248262,0.28454384,0.28309395,0.26310403,236,93.42,0.092149075,probeA,0.81466667,0.014023913,,False,0,3a,,,4976,False,45,False,False,30,False,0.25,False,0.02,,,1,False,0.99,43,2380,2019-10-03T00:00:00Z,good,0.23893207,,,-0.093481276,0.59615385,0.40738714,0.11047406,,,0.32960123,0.0539323,0.0011603435,29999.966,brain_observatory_1.1,M,0.027177345,2.2958719,742602892,0.21753681,,0.1305,0.1475,0.2365,0.1025,0.28962084,80.295345,0.79664992,0.21976549,-0.019646686,0.21646873,90,0.20603015,0,75.579183,0.091,0.8734777,6,VISam,7.6367339e+08,1000,1835.197,409,154.21061,62.487153,379,HVA,True,evaluation
950917892,0.011916279,126,0.0046275257,7613,200,40,0.16730196,244.95,2.6164891,2018-12-06T20:48:16Z,1154,850053398,773463013,763673393,VISam,394,-25,0.19855017,2.8213912,,1.4819048,1.3,2.15,1.0419954,3.3981576,8.0780354,,0.90590762,1.7907708,1.4155777,5.3062279,0.040207502,0.43871261,0.50421386,wt/wt,True,33.143685,0.46769492,0.10795239,52.123434,7518,1249.9986,0.40461656,,0.10491803,0.15046624,0.35064409,0.45901116,234,76.06,0.30835983,probeA,0.87511231,0.0027001766,,False,0,3a,,,4925,False,135,False,False,150,False,0.25,False,0.04,,,15,False,0.99,59,2360,2019-10-03T00:00:00Z,good,0.1236413,,,-0.63492063,-1,-0.010199557,0.1485096,,,0.045111485,0.0051616813,0.93344337,29999.966,brain_observatory_1.1,M,0.059475458,1.220747,742602892,0.042168675,,0.0295,0.1545,0.2125,0.1415,0.51269316,49.351575,1.0438861,0.32964824,-0.0036182727,0.074718812,90,1.9916248,0.54941374,451.26422,0.142,0.90383047,6,VISam,7.6367339e+08,7.8517128,4.6178822,35,1.0000033,1436.2694,168,HVA,True,evaluation
950917904,0.0011637003,126,0.026614374,7607,900,27.778,,283.54,3.5812762,2018-12-06T20:48:16Z,1128,850053404,773463013,763673393,VISam,394,45.556,1.026198,32.990737,,3.9953296,2.3094444,0.92121212,2.5446429,8.7641535,9.2805275,,27.523605,4.5306635,24.833465,1.2809285,0.15617378,0.04634464,0.40828176,wt/wt,True,1906.1863,0.69961017,0.068735788,115.09658,7530,1249.9986,0.17434271,,0.0015750096,0.2731357,0.060666918,0.28817212,237,68.29,4.1419487,probeA,0.98466667,0.0039281706,,False,0,3a,,,5013,False,180,False,False,120,False,0.75,False,0.02,,,15,False,0.99,11,2380,2019-10-03T00:00:00Z,good,,,,-0.45636364,-0.10344828,-0.70714286,,,,0.052032666,0.2616666,0.0075273799,29999.966,brain_observatory_1.1,M,0.089061161,0.91257852,742602892,0.354083,,0.0555,0.1415,0.0055,0.1065,0.41219422,66.442545,0.76917923,0.23350084,-0.0047644505,0.0708586,70,0.34338358,-0.068676717,146.10926,0.078,0.8574754,6,,,,,,,,,HVA,False,descriptive
950917916,0.0060896203,126,0.01013324,7605,500,86,0.021835294,362.42,3.0497607,2018-12-06T20:48:16Z,1120,850053406,773463013,763673393,VISam,394,2,0.37649243,1.7835125,,2.8389744,2.0064901,3.7225225,2.1179379,4.2798063,2.7698088,,1.7585265,4.6549292,2.7116371,4.832624,0.28876974,0.40502042,0.13262485,wt/wt,True,1003.2815,0.61391525,0.24220189,61.857837,7535,1249.9986,0.33818816,,0.064,0.088424143,0.17947544,0.063138664,238,97.49,4.1741109,probeA,0.92307692,0.0029374738,,False,0.002,3a,,,4941,False,45,False,False,30,False,0.5,False,0.08,,,1,False,0.99,59,2400,2019-10-03T00:00:00Z,good,,,,0.12418301,-0.88888889,0.69206349,,,,0.60514296,0.020608402,0.1928298,29999.966,brain_observatory_1.1,M,0.01866262,2.4769111,742602892,0.076305221,,0.0255,0.1175,0.1145,0.0795,0.52854088,82.96509,0.70050251,0.19229481,-0.041386571,0.23774849,80,0.34338358,-0.13735343,52.636306,0.064,0.8574754,6,VISam,7.6367339e+08,43.099973,14.025361,55,1,0,352,HVA,True,evaluation
950917929,0.031008707,126,0.17240271,7601,200,85,,160.98,1.7042048,2018-12-06T20:48:16Z,1102,850053410,773463013,763673393,VISam,394,-30,0.48414919,2.6065876,,1.8320358,1.3965269,2.2969697,2.397619,8.7505566,9.3763668,,13.961635,8.9498235,9.3618916,7.9766606,0.17190265,0.080489642,0.040153955,wt/wt,True,6180.7782,0.24476271,0.1311957,53.882054,7543,1249.9986,0.07438724,,0.037060337,0.021362547,0.06079257,0.026585828,240,92.04,5.1923951,probeA,0.79266667,0.029940915,,False,0.216,3a,,,4950,False,180,False,False,0,False,0.5,False,0.08,,,1,False,0.99,43,2420,2019-10-03T00:00:00Z,good,,,,-0.21174004,0.125,0.15384615,,,,0.61622656,0.78492313,0.58352556,29999.966,brain_observatory_1.1,M,-0.0079973037,1.338706,742602892,0.19678715,,0.0495,0.0655,0.0355,0.0175,0.39604805,41.75418,0.71423786,0.20603015,-0.011218493,0.12610289,100,0.34338358,-0.14716439,2799.8639,0.051,0.8283608,6,,,,,,,,,HVA,False,descriptive
950917943,0.03635961,126,0.0063851199,7601,100,90,,232.16,2.4304362,2018-12-06T20:48:16Z,1102,850053410,773463013,763673393,VISam,394,-30,0.55649984,4.6967136,,2.1817544,1.2306849,1.4666667,1.5318333,5.4851403,4.3201816,,4.9292032,8.0450343,2.3432141,6.9881542,0.013590919,0.081198327,0.039509429,wt/wt,True,1272.1947,0.014830508,0.19254045,47.540939,7543,1249.9986,0.10845709,,0.1025115,0.023225377,0.20872881,0.03921066,240,88.57,0.082207902,probeA,0.92733333,0.0056719636,,False,0.661,3a,,,4928,False,315,False,False,90,False,0,False,0.02,,,15,False,0.99,43,2420,2019-10-03T00:00:00Z,good,,,,-0.26666667,,-0.56638655,,,,0.1240116,,0.0082314672,29999.966,brain_observatory_1.1,M,0.035304724,1.6266482,742602892,0.11345382,,0.1135,0.0545,0.0545,0.2475,0.59647059,61.078095,0.59061977,0.21976549,-0.014081137,0.12293857,90,0.4120603,0,3274.8418,0.118,0.8283608,6,,,,,,,,,HVA,False,descriptive
950917955,0.082624293,126,0.013778924,7600,1500,56.667,0.31704706,142.46,2.5509547,2018-12-06T20:48:16Z,1094,850053412,773463013,763673393,VISam,394,-18,0.48065819,11.339292,,2.2710273,2.7990331,3.5393939,2.5976344,19.691687,20.577916,,17.158956,23.308232,5.0416933,22.526489,0.038018206,0.01833704,0.071785422,wt/wt,True,68.500778,-0.055932203,0.078385075,59.471333,7547,1249.9986,0.031062536,,0.38414126,0.022960285,0.20409926,0.021458366,241,91.46,4.8748904,probeA,0.88266667,0.061262376,,False,0.014,3a,,,4984,False,0,False,False,120,False,0.5,False,0.32,,,8,False,0.99,11,2420,2019-10-03T00:00:00Z,good,-0.1042735,,,0.11088401,-0.62068966,0.27606838,0.77797857,,,0.51268575,0.16410081,0.03147355,29999.966,brain_observatory_1.1,M,0.018304371,2.1629861,742602892,0.31793842,,0.1355,0.0285,0.0655,0.2205,0.24638512,68.206125,0.57688442,0.16482412,-0.01273284,0.23183119,70,0,0,1082.77,0.074,0.81538224,6,,,,,,,,,HVA,False,descriptive
950917967,0.11429015,126,0.27995102,7600,600,85,,278.19,1.8442923,2018-12-06T20:48:16Z,1094,850053412,773463013,763673393,VISam,394,10,0.87304932,7.4066667,,0.94666667,1.4427907,2.0666667,1.7547368,2.8769744,2.8815331,,0.15986605,3.6843127,0.85855717,2.1142314,0.068811114,0.23203119,0.18625768,wt/wt,True,378.80801,0.22515254,0.26136651,32.099893,7547,1249.9986,0.18030248,,0.2,0.054661746,0.39992865,0.092114488,241,54.91,0.099010012,probeA,0.31589147,0.011460922,,False,0.004,3a,,,4977,False,180,False,False,150,False,0.5,False,0.02,,,1,False,0.99,11,2420,2019-10-03T00:00:00Z,good,,,,0.4627907,0.51515152,0.64761905,,,,0.072463434,0.56909561,0.031057666,29999.966,brain_observatory_1.1,M,0.00098661097,2.2342171,742602892,0.016064257,,0.0255,0.0695,0.0025,0.1025,0.43161523,76.221015,0.6318258,0.15108878,-0.036462381,0.23068806,70,0,-0.20603015,31.166742,0.159,0.81538224,6,VISam,7.6367339e+08,1000,69685.099,6,,,13,HVA,True,calibration
950918033,0.0016265362,126,0.09907081,7594,,,0.3641098,38.53,7.4467607,2018-12-06T20:48:16Z,1067,850053418,773463013,763673393,VISam,394,,0.29923453,40.133333,,,,,8.8125,0.037367115,0.19220811,,0,0,0,0.01265608,0.84913797,0.69960306,1,wt/wt,True,,0,0,29.871912,7560,1249.9986,0.68383335,,,,,0.98107351,244,22.74,1.2342576,probeA,0.13333333,0.00030015008,,False,,3a,,,4908,True,45,False,False,60,False,0.5,False,0.04,,,15,False,0.08,43,2460,2019-10-03T00:00:00Z,good,1,,,,,1,0.36321747,,,,,0.34089313,29999.966,brain_observatory_1.1,M,,3.4806693,742602892,,,0.0005,0.0005,0.0005,0.0545,0.82925811,103.83137,0.67303183,0.19229481,-0.032823788,0.22612782,40,0.34338358,0,,,0.77012682,6,,,,,,,,,HVA,False,descriptive
