stimulus_presentation_id,stimulus_block,start_time,stop_time,phase,stimulus_name,frame,coherence,x_position,contrast,color,size,Dir,spatial_frequency,orientation,temporal_frequency,Speed,y_position,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1,0.0,75.401462,75.634993,"[3644.93333333, 3644.93333333]",gabors,null,null,10.0,0.8,null,"[20.0, 20.0]",null,0.08,0.0,4.0,null,-30.0,0.23353072,1,,,0,,False,0,train,0
2,0.0,75.634993,75.885205,"[3644.93333333, 3644.93333333]",gabors,null,null,-10.0,0.8,null,"[20.0, 20.0]",null,0.08,0.0,4.0,null,-20.0,0.25021149,2,,,0,,False,0,train,0
3,0.0,75.885205,76.135416,"[3644.93333333, 3644.93333333]",gabors,null,null,-40.0,0.8,null,"[20.0, 20.0]",null,0.08,45.0,4.0,null,-10.0,0.25021149,3,,,0,,False,0,train,1
4,0.0,76.135416,76.385628,"[3644.93333333, 3644.93333333]",gabors,null,null,10.0,0.8,null,"[20.0, 20.0]",null,0.08,0.0,4.0,null,-20.0,0.25021149,4,,,0,,False,0,train,0
5,0.0,76.385628,76.635841,"[3644.93333333, 3644.93333333]",gabors,null,null,-30.0,0.8,null,"[20.0, 20.0]",null,0.08,45.0,4.0,null,0.0,0.2502137,5,,,0,,False,0,train,1
6,0.0,76.635841,76.886055,"[3644.93333333, 3644.93333333]",gabors,null,null,-40.0,0.8,null,"[20.0, 20.0]",null,0.08,90.0,4.0,null,-20.0,0.2502137,6,,,0,,False,0,train,2
7,0.0,76.886055,77.136269,"[3644.93333333, 3644.93333333]",gabors,null,null,20.0,0.8,null,"[20.0, 20.0]",null,0.08,0.0,4.0,null,0.0,0.2502137,7,,,0,,False,0,train,0
8,0.0,77.136269,77.386482,"[3644.93333333, 3644.93333333]",gabors,null,null,-30.0,0.8,null,"[20.0, 20.0]",null,0.08,0.0,4.0,null,20.0,0.2502137,8,,,0,,False,0,train,0
9,0.0,77.386482,77.636684,"[3644.93333333, 3644.93333333]",gabors,null,null,-30.0,0.8,null,"[20.0, 20.0]",null,0.08,45.0,4.0,null,20.0,0.2502013,9,,,0,,False,0,train,1
10,0.0,77.636684,77.886885,"[3644.93333333, 3644.93333333]",gabors,null,null,-30.0,0.8,null,"[20.0, 20.0]",null,0.08,0.0,4.0,null,-30.0,0.2502013,10,,,0,,False,0,train,0
11,0.0,77.886885,78.137086,"[3644.93333333, 3644.93333333]",gabors,null,null,-20.0,0.8,null,"[20.0, 20.0]",null,0.08,45.0,4.0,null,0.0,0.2502013,11,,,0,,False,0,train,1
12,0.0,78.137086,78.387288,"[3644.93333333, 3644.93333333]",gabors,null,null,-40.0,0.8,null,"[20.0, 20.0]",null,0.08,0.0,4.0,null,-10.0,0.2502013,12,,,0,,False,0,train,0
13,0.0,78.387288,78.637496,"[3644.93333333, 3644.93333333]",gabors,null,null,20.0,0.8,null,"[20.0, 20.0]",null,0.08,0.0,4.0,null,-20.0,0.2502087,13,,,0,,False,0,train,0
14,0.0,78.637496,78.887705,"[3644.93333333, 3644.93333333]",gabors,null,null,-10.0,0.8,null,"[20.0, 20.0]",null,0.08,90.0,4.0,null,40.0,0.2502087,14,,,0,,False,0,train,2
15,0.0,78.887705,79.137914,"[3644.93333333, 3644.93333333]",gabors,null,null,40.0,0.8,null,"[20.0, 20.0]",null,0.08,90.0,4.0,null,-20.0,0.2502087,15,,,0,,False,0,train,2
16,0.0,79.137914,79.388122,"[3644.93333333, 3644.93333333]",gabors,null,null,-40.0,0.8,null,"[20.0, 20.0]",null,0.08,0.0,4.0,null,-30.0,0.2502087,16,,,0,,False,0,train,0
17,0.0,79.388122,79.638331,"[3644.93333333, 3644.93333333]",gabors,null,null,40.0,0.8,null,"[20.0, 20.0]",null,0.08,90.0,4.0,null,-30.0,0.2502088,17,,,0,,False,0,train,2
18,0.0,79.638331,79.88854,"[3644.93333333, 3644.93333333]",gabors,null,null,40.0,0.8,null,"[20.0, 20.0]",null,0.08,90.0,4.0,null,30.0,0.2502088,18,,,0,,False,0,train,2
19,0.0,79.88854,80.138749,"[3644.93333333, 3644.93333333]",gabors,null,null,0.0,0.8,null,"[20.0, 20.0]",null,0.08,0.0,4.0,null,-30.0,0.2502088,19,,,0,,False,0,train,0
20,0.0,80.138749,80.388958,"[3644.93333333, 3644.93333333]",gabors,null,null,30.0,0.8,null,"[20.0, 20.0]",null,0.08,0.0,4.0,null,10.0,0.2502088,20,,,0,,False,0,train,0
21,0.0,80.388958,80.639169,"[3644.93333333, 3644.93333333]",gabors,null,null,-40.0,0.8,null,"[20.0, 20.0]",null,0.08,0.0,4.0,null,-30.0,0.2502112,16,,,0,,False,1,train,0
22,0.0,80.639169,80.88938,"[3644.93333333, 3644.93333333]",gabors,null,null,20.0,0.8,null,"[20.0, 20.0]",null,0.08,45.0,4.0,null,30.0,0.2502112,21,,,0,,False,0,train,1
23,0.0,80.88938,81.139591,"[3644.93333333, 3644.93333333]",gabors,null,null,-10.0,0.8,null,"[20.0, 20.0]",null,0.08,45.0,4.0,null,30.0,0.2502112,22,,,0,,False,0,train,1
24,0.0,81.139591,81.389802,"[3644.93333333, 3644.93333333]",gabors,null,null,30.0,0.8,null,"[20.0, 20.0]",null,0.08,45.0,4.0,null,30.0,0.2502112,23,,,0,,False,0,train,1
25,0.0,81.389802,81.640009,"[3644.93333333, 3644.93333333]",gabors,null,null,0.0,0.8,null,"[20.0, 20.0]",null,0.08,45.0,4.0,null,-10.0,0.2502063,24,,,0,,False,0,train,1
26,0.0,81.640009,81.890215,"[3644.93333333, 3644.93333333]",gabors,null,null,-20.0,0.8,null,"[20.0, 20.0]",null,0.08,45.0,4.0,null,-30.0,0.2502063,25,,,0,,False,0,train,1
27,0.0,81.890215,82.140421,"[3644.93333333, 3644.93333333]",gabors,null,null,-10.0,0.8,null,"[20.0, 20.0]",null,0.08,90.0,4.0,null,-40.0,0.2502063,26,,,0,,False,0,train,2
28,0.0,82.140421,82.390628,"[3644.93333333, 3644.93333333]",gabors,null,null,-40.0,0.8,null,"[20.0, 20.0]",null,0.08,0.0,4.0,null,30.0,0.2502063,27,,,0,,False,0,train,0
29,0.0,82.390628,82.640844,"[3644.93333333, 3644.93333333]",gabors,null,null,-30.0,0.8,null,"[20.0, 20.0]",null,0.08,45.0,4.0,null,40.0,0.2502162,28,,,0,,False,0,train,1
30,0.0,82.640844,82.89106,"[3644.93333333, 3644.93333333]",gabors,null,null,40.0,0.8,null,"[20.0, 20.0]",null,0.08,0.0,4.0,null,-30.0,0.2502162,29,,,0,,False,0,train,0
31,0.0,82.89106,83.141276,"[3644.93333333, 3644.93333333]",gabors,null,null,-30.0,0.8,null,"[20.0, 20.0]",null,0.08,90.0,4.0,null,40.0,0.2502162,30,,,0,,False,0,train,2
32,0.0,83.141276,83.391492,"[3644.93333333, 3644.93333333]",gabors,null,null,40.0,0.8,null,"[20.0, 20.0]",null,0.08,0.0,4.0,null,10.0,0.2502162,31,,,0,,False,0,train,0
33,0.0,83.391492,83.641694,"[3644.93333333, 3644.93333333]",gabors,null,null,40.0,0.8,null,"[20.0, 20.0]",null,0.08,45.0,4.0,null,0.0,0.2502013,32,,,0,,False,0,train,1
34,0.0,83.641694,83.891895,"[3644.93333333, 3644.93333333]",gabors,null,null,0.0,0.8,null,"[20.0, 20.0]",null,0.08,90.0,4.0,null,-40.0,0.2502013,33,,,0,,False,0,train,2
35,0.0,83.891895,84.142096,"[3644.93333333, 3644.93333333]",gabors,null,null,-30.0,0.8,null,"[20.0, 20.0]",null,0.08,90.0,4.0,null,30.0,0.2502013,34,,,0,,False,0,train,2
36,0.0,84.142096,84.392298,"[3644.93333333, 3644.93333333]",gabors,null,null,0.0,0.8,null,"[20.0, 20.0]",null,0.08,90.0,4.0,null,0.0,0.2502013,35,,,0,,False,0,train,2
37,0.0,84.392298,84.642516,"[3644.93333333, 3644.93333333]",gabors,null,null,10.0,0.8,null,"[20.0, 20.0]",null,0.08,90.0,4.0,null,-40.0,0.2502187,36,,,0,,False,0,train,2
38,0.0,84.642516,84.892735,"[3644.93333333, 3644.93333333]",gabors,null,null,-30.0,0.8,null,"[20.0, 20.0]",null,0.08,45.0,4.0,null,0.0,0.2502187,5,,,0,,False,1,train,1
39,0.0,84.892735,85.142954,"[3644.93333333, 3644.93333333]",gabors,null,null,30.0,0.8,null,"[20.0, 20.0]",null,0.08,90.0,4.0,null,-20.0,0.2502187,37,,,0,,False,0,train,2
40,0.0,85.142954,85.393172,"[3644.93333333, 3644.93333333]",gabors,null,null,20.0,0.8,null,"[20.0, 20.0]",null,0.08,0.0,4.0,null,-40.0,0.2502187,38,,,0,,False,0,train,0
41,0.0,85.393172,85.643371,"[3644.93333333, 3644.93333333]",gabors,null,null,-30.0,0.8,null,"[20.0, 20.0]",null,0.08,90.0,4.0,null,0.0,0.2501988,39,,,0,,False,0,train,2
42,0.0,85.643371,85.89357,"[3644.93333333, 3644.93333333]",gabors,null,null,-30.0,0.8,null,"[20.0, 20.0]",null,0.08,90.0,4.0,null,-30.0,0.2501988,40,,,0,,False,0,train,2
43,0.0,85.89357,86.143769,"[3644.93333333, 3644.93333333]",gabors,null,null,-10.0,0.8,null,"[20.0, 20.0]",null,0.08,45.0,4.0,null,-40.0,0.2501988,41,,,0,,False,0,train,1
44,0.0,86.143769,86.393968,"[3644.93333333, 3644.93333333]",gabors,null,null,-20.0,0.8,null,"[20.0, 20.0]",null,0.08,90.0,4.0,null,-40.0,0.2501988,42,,,0,,False,0,train,2
45,0.0,86.393968,86.644184,"[3644.93333333, 3644.93333333]",gabors,null,null,10.0,0.8,null,"[20.0, 20.0]",null,0.08,45.0,4.0,null,-10.0,0.2502162,43,,,0,,False,0,train,1
46,0.0,86.644184,86.8944,"[3644.93333333, 3644.93333333]",gabors,null,null,0.0,0.8,null,"[20.0, 20.0]",null,0.08,90.0,4.0,null,-20.0,0.2502162,44,,,0,,False,0,train,2
47,0.0,86.8944,87.144616,"[3644.93333333, 3644.93333333]",gabors,null,null,-30.0,0.8,null,"[20.0, 20.0]",null,0.08,90.0,4.0,null,10.0,0.2502162,45,,,0,,False,0,train,2
48,0.0,87.144616,87.394832,"[3644.93333333, 3644.93333333]",gabors,null,null,40.0,0.8,null,"[20.0, 20.0]",null,0.08,0.0,4.0,null,30.0,0.2502162,46,,,0,,False,0,train,0
49,0.0,87.394832,87.645034,"[3644.93333333, 3644.93333333]",gabors,null,null,30.0,0.8,null,"[20.0, 20.0]",null,0.08,0.0,4.0,null,10.0,0.2502013,20,,,0,,False,1,train,0
50,0.0,87.645034,87.895235,"[3644.93333333, 3644.93333333]",gabors,null,null,0.0,0.8,null,"[20.0, 20.0]",null,0.08,45.0,4.0,null,10.0,0.2502013,47,,,0,,False,0,train,1
51,0.0,87.895235,88.145436,"[3644.93333333, 3644.93333333]",gabors,null,null,0.0,0.8,null,"[20.0, 20.0]",null,0.08,90.0,4.0,null,20.0,0.2502013,48,,,0,,False,0,train,2
52,0.0,88.145436,88.395638,"[3644.93333333, 3644.93333333]",gabors,null,null,-10.0,0.8,null,"[20.0, 20.0]",null,0.08,0.0,4.0,null,20.0,0.2502013,49,,,0,,False,0,train,0
53,0.0,88.395638,88.645846,"[3644.93333333, 3644.93333333]",gabors,null,null,0.0,0.8,null,"[20.0, 20.0]",null,0.08,45.0,4.0,null,-20.0,0.2502087,50,,,0,,False,0,train,1
54,0.0,88.645846,88.896055,"[3644.93333333, 3644.93333333]",gabors,null,null,-30.0,0.8,null,"[20.0, 20.0]",null,0.08,0.0,4.0,null,-20.0,0.2502087,51,,,0,,False,0,train,0
55,0.0,88.896055,89.146264,"[3644.93333333, 3644.93333333]",gabors,null,null,0.0,0.8,null,"[20.0, 20.0]",null,0.08,45.0,4.0,null,0.0,0.2502087,52,,,0,,False,0,train,1
