stimulus_presentation_id,stimulus_block,start_time,stop_time,phase,contrast,temporal_frequency,x_position,size,coherence,stimulus_name,color,Dir,orientation,frame,Speed,spatial_frequency,y_position,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1,0.0,75.545385,75.778907,"[3644.93333333, 3644.93333333]",0.8,4.0,10.0,"[20.0, 20.0]",null,gabors,null,null,0.0,null,null,0.08,-30.0,0.23352276,1,,,0,,False,0,train,0
2,0.0,75.778907,76.02911,"[3644.93333333, 3644.93333333]",0.8,4.0,10.0,"[20.0, 20.0]",null,gabors,null,null,0.0,null,null,0.08,10.0,0.25020295,2,,,0,,False,0,train,0
3,0.0,76.02911,76.279313,"[3644.93333333, 3644.93333333]",0.8,4.0,10.0,"[20.0, 20.0]",null,gabors,null,null,45.0,null,null,0.08,-10.0,0.25020295,3,,,0,,False,0,train,1
4,0.0,76.279313,76.529516,"[3644.93333333, 3644.93333333]",0.8,4.0,30.0,"[20.0, 20.0]",null,gabors,null,null,90.0,null,null,0.08,-20.0,0.25020295,4,,,0,,False,0,train,2
5,0.0,76.529516,76.779723,"[3644.93333333, 3644.93333333]",0.8,4.0,-10.0,"[20.0, 20.0]",null,gabors,null,null,0.0,null,null,0.08,30.0,0.25020709,5,,,0,,False,0,train,0
6,0.0,76.779723,77.02993,"[3644.93333333, 3644.93333333]",0.8,4.0,20.0,"[20.0, 20.0]",null,gabors,null,null,90.0,null,null,0.08,-40.0,0.25020709,6,,,0,,False,0,train,2
7,0.0,77.02993,77.280138,"[3644.93333333, 3644.93333333]",0.8,4.0,0.0,"[20.0, 20.0]",null,gabors,null,null,45.0,null,null,0.08,30.0,0.25020709,7,,,0,,False,0,train,1
8,0.0,77.280138,77.530345,"[3644.93333333, 3644.93333333]",0.8,4.0,0.0,"[20.0, 20.0]",null,gabors,null,null,0.0,null,null,0.08,-40.0,0.25020709,8,,,0,,False,0,train,0
9,0.0,77.530345,77.78055,"[3644.93333333, 3644.93333333]",0.8,4.0,-30.0,"[20.0, 20.0]",null,gabors,null,null,45.0,null,null,0.08,10.0,0.25020541,9,,,0,,False,0,train,1
10,0.0,77.78055,78.030755,"[3644.93333333, 3644.93333333]",0.8,4.0,-10.0,"[20.0, 20.0]",null,gabors,null,null,45.0,null,null,0.08,-30.0,0.25020541,10,,,0,,False,0,train,1
11,0.0,78.030755,78.280961,"[3644.93333333, 3644.93333333]",0.8,4.0,30.0,"[20.0, 20.0]",null,gabors,null,null,90.0,null,null,0.08,-30.0,0.25020541,11,,,0,,False,0,train,2
12,0.0,78.280961,78.531166,"[3644.93333333, 3644.93333333]",0.8,4.0,-40.0,"[20.0, 20.0]",null,gabors,null,null,0.0,null,null,0.08,10.0,0.25020541,12,,,0,,False,0,train,0
13,0.0,78.531166,78.781381,"[3644.93333333, 3644.93333333]",0.8,4.0,0.0,"[20.0, 20.0]",null,gabors,null,null,45.0,null,null,0.08,20.0,0.25021459,13,,,0,,False,0,train,1
14,0.0,78.781381,79.031595,"[3644.93333333, 3644.93333333]",0.8,4.0,10.0,"[20.0, 20.0]",null,gabors,null,null,45.0,null,null,0.08,10.0,0.25021459,14,,,0,,False,0,train,1
15,0.0,79.031595,79.28181,"[3644.93333333, 3644.93333333]",0.8,4.0,-40.0,"[20.0, 20.0]",null,gabors,null,null,90.0,null,null,0.08,20.0,0.25021459,15,,,0,,False,0,train,2
16,0.0,79.28181,79.532025,"[3644.93333333, 3644.93333333]",0.8,4.0,-20.0,"[20.0, 20.0]",null,gabors,null,null,45.0,null,null,0.08,10.0,0.25021459,16,,,0,,False,0,train,1
17,0.0,79.532025,79.782233,"[3644.93333333, 3644.93333333]",0.8,4.0,-40.0,"[20.0, 20.0]",null,gabors,null,null,45.0,null,null,0.08,20.0,0.25020791,17,,,0,,False,0,train,1
18,0.0,79.782233,80.03244,"[3644.93333333, 3644.93333333]",0.8,4.0,-20.0,"[20.0, 20.0]",null,gabors,null,null,45.0,null,null,0.08,-30.0,0.25020791,18,,,0,,False,0,train,1
