stimulus_presentation_id,stimulus_block,start_time,stop_time,Speed,color,contrast,orientation,frame,coherence,phase,y_position,spatial_frequency,size,Dir,x_position,stimulus_name,temporal_frequency,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1,0.0,75.3759,75.609423,null,null,0.8,0.0,null,null,"[3644.93333333, 3644.93333333]",20.0,0.08,"[20.0, 20.0]",null,-10.0,gabors,4.0,0.23352244,1,,,0,,False,0,train,0
2,0.0,75.609423,75.859625,null,null,0.8,0.0,null,null,"[3644.93333333, 3644.93333333]",-10.0,0.08,"[20.0, 20.0]",null,10.0,gabors,4.0,0.25020261,2,,,0,,False,0,train,0
3,0.0,75.859625,76.109828,null,null,0.8,45.0,null,null,"[3644.93333333, 3644.93333333]",-40.0,0.08,"[20.0, 20.0]",null,-10.0,gabors,4.0,0.25020261,3,,,0,,False,0,train,1
4,0.0,76.109828,76.36003,null,null,0.8,90.0,null,null,"[3644.93333333, 3644.93333333]",-20.0,0.08,"[20.0, 20.0]",null,-20.0,gabors,4.0,0.25020261,4,,,0,,False,0,train,2
5,0.0,76.36003,76.610248,null,null,0.8,45.0,null,null,"[3644.93333333, 3644.93333333]",10.0,0.08,"[20.0, 20.0]",null,-20.0,gabors,4.0,0.25021743,5,,,0,,False,0,train,1
6,0.0,76.610248,76.860465,null,null,0.8,0.0,null,null,"[3644.93333333, 3644.93333333]",30.0,0.08,"[20.0, 20.0]",null,10.0,gabors,4.0,0.25021743,6,,,0,,False,0,train,0
7,0.0,76.860465,77.110683,null,null,0.8,90.0,null,null,"[3644.93333333, 3644.93333333]",-30.0,0.08,"[20.0, 20.0]",null,0.0,gabors,4.0,0.25021743,7,,,0,,False,0,train,2
8,0.0,77.110683,77.3609,null,null,0.8,45.0,null,null,"[3644.93333333, 3644.93333333]",40.0,0.08,"[20.0, 20.0]",null,-40.0,gabors,4.0,0.25021743,8,,,0,,False,0,train,1
9,0.0,77.3609,77.611098,null,null,0.8,45.0,null,null,"[3644.93333333, 3644.93333333]",-30.0,0.08,"[20.0, 20.0]",null,30.0,gabors,4.0,0.25019757,9,,,0,,False,0,train,1
10,0.0,77.611098,77.861295,null,null,0.8,45.0,null,null,"[3644.93333333, 3644.93333333]",40.0,0.08,"[20.0, 20.0]",null,-10.0,gabors,4.0,0.25019757,10,,,0,,False,0,train,1
