stimulus_presentation_id,stimulus_block,start_time,stop_time,contrast,size,color,frame,temporal_frequency,x_position,y_position,orientation,stimulus_name,spatial_frequency,phase,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1,0.0,89.53568,89.769198,0.8,"[20.0, 20.0]",null,null,4.0,30.0,10.0,0.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.23351756,1,,,0,,False,0,train,0
2,0.0,89.769198,90.019395,0.8,"[20.0, 20.0]",null,null,4.0,-20.0,-10.0,90.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25019738,2,,,0,,False,0,train,2
3,0.0,90.019395,90.269593,0.8,"[20.0, 20.0]",null,null,4.0,40.0,30.0,45.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25019738,3,,,0,,False,0,train,1
4,0.0,90.269593,90.51979,0.8,"[20.0, 20.0]",null,null,4.0,20.0,40.0,90.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25019738,4,,,0,,False,0,train,2
5,0.0,90.51979,90.77001,0.8,"[20.0, 20.0]",null,null,4.0,0.0,40.0,45.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25022007,5,,,0,,False,0,train,1
6,0.0,90.77001,91.02023,0.8,"[20.0, 20.0]",null,null,4.0,40.0,-40.0,0.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25022007,6,,,0,,False,0,train,0
7,0.0,91.02023,91.27045,0.8,"[20.0, 20.0]",null,null,4.0,30.0,-10.0,0.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25022007,7,,,0,,False,0,train,0
8,0.0,91.27045,91.52067,0.8,"[20.0, 20.0]",null,null,4.0,-30.0,30.0,90.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25022007,8,,,0,,False,0,train,2
9,0.0,91.52067,91.770868,0.8,"[20.0, 20.0]",null,null,4.0,-20.0,-30.0,45.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25019743,9,,,0,,False,0,train,1
10,0.0,91.770868,92.021065,0.8,"[20.0, 20.0]",null,null,4.0,-30.0,10.0,45.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25019743,10,,,0,,False,0,train,1
11,0.0,92.021065,92.271263,0.8,"[20.0, 20.0]",null,null,4.0,-20.0,-10.0,45.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25019743,11,,,0,,False,0,train,1
12,0.0,92.271263,92.52146,0.8,"[20.0, 20.0]",null,null,4.0,20.0,10.0,0.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25019743,12,,,0,,False,0,train,0
13,0.0,92.52146,92.771683,0.8,"[20.0, 20.0]",null,null,4.0,30.0,-40.0,45.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25022257,13,,,0,,False,0,train,1
14,0.0,92.771683,93.021905,0.8,"[20.0, 20.0]",null,null,4.0,-20.0,10.0,90.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25022257,14,,,0,,False,0,train,2
15,0.0,93.021905,93.272128,0.8,"[20.0, 20.0]",null,null,4.0,-20.0,40.0,0.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25022257,15,,,0,,False,0,train,0
16,0.0,93.272128,93.52235,0.8,"[20.0, 20.0]",null,null,4.0,40.0,-20.0,45.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25022257,16,,,0,,False,0,train,1
17,0.0,93.52235,93.772545,0.8,"[20.0, 20.0]",null,null,4.0,-30.0,20.0,90.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25019493,17,,,0,,False,0,train,2
18,0.0,93.772545,94.02274,0.8,"[20.0, 20.0]",null,null,4.0,-20.0,40.0,45.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25019493,18,,,0,,False,0,train,1
19,0.0,94.02274,94.272935,0.8,"[20.0, 20.0]",null,null,4.0,30.0,40.0,90.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25019493,19,,,0,,False,0,train,2
20,0.0,94.272935,94.52313,0.8,"[20.0, 20.0]",null,null,4.0,20.0,30.0,90.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25019493,20,,,0,,False,0,train,2
21,0.0,94.52313,94.77335,0.8,"[20.0, 20.0]",null,null,4.0,-40.0,-40.0,45.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25022007,21,,,0,,False,0,train,1
22,0.0,94.77335,95.02357,0.8,"[20.0, 20.0]",null,null,4.0,10.0,40.0,45.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25022007,22,,,0,,False,0,train,1
23,0.0,95.02357,95.27379,0.8,"[20.0, 20.0]",null,null,4.0,10.0,30.0,45.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25022007,23,,,0,,False,0,train,1
24,0.0,95.27379,95.52401,0.8,"[20.0, 20.0]",null,null,4.0,10.0,-10.0,45.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25022007,24,,,0,,False,0,train,1
25,0.0,95.52401,95.77421,0.8,"[20.0, 20.0]",null,null,4.0,0.0,30.0,45.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25019993,25,,,0,,False,0,train,1
26,0.0,95.77421,96.02441,0.8,"[20.0, 20.0]",null,null,4.0,-40.0,-20.0,45.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25019993,26,,,0,,False,0,train,1
27,0.0,96.02441,96.27461,0.8,"[20.0, 20.0]",null,null,4.0,40.0,10.0,0.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25019993,27,,,0,,False,0,train,0
28,0.0,96.27461,96.52481,0.8,"[20.0, 20.0]",null,null,4.0,30.0,30.0,0.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25019993,28,,,0,,False,0,train,0
29,0.0,96.52481,96.775025,0.8,"[20.0, 20.0]",null,null,4.0,-30.0,20.0,45.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25021507,29,,,0,,False,0,train,1
30,0.0,96.775025,97.02524,0.8,"[20.0, 20.0]",null,null,4.0,20.0,-10.0,90.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25021507,30,,,0,,False,0,train,2
31,0.0,97.02524,97.275455,0.8,"[20.0, 20.0]",null,null,4.0,0.0,40.0,45.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25021507,5,,,0,,False,1,train,1
32,0.0,97.275455,97.52567,0.8,"[20.0, 20.0]",null,null,4.0,-20.0,-10.0,45.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25021507,11,,,0,,False,1,train,1
33,0.0,97.52567,97.775873,0.8,"[20.0, 20.0]",null,null,4.0,40.0,10.0,0.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25020243,27,,,0,,False,1,train,0
34,0.0,97.775873,98.026075,0.8,"[20.0, 20.0]",null,null,4.0,-10.0,-10.0,90.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25020243,31,,,0,,False,0,train,2
35,0.0,98.026075,98.276278,0.8,"[20.0, 20.0]",null,null,4.0,-30.0,-10.0,0.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25020243,32,,,0,,False,0,train,0
36,0.0,98.276278,98.52648,0.8,"[20.0, 20.0]",null,null,4.0,-20.0,30.0,45.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25020243,33,,,0,,False,0,train,1
37,0.0,98.52648,98.776703,0.8,"[20.0, 20.0]",null,null,4.0,10.0,30.0,0.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25022257,34,,,0,,False,0,train,0
38,0.0,98.776703,99.026925,0.8,"[20.0, 20.0]",null,null,4.0,10.0,-10.0,0.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25022257,35,,,0,,False,0,train,0
39,0.0,99.026925,99.277148,0.8,"[20.0, 20.0]",null,null,4.0,-10.0,0.0,45.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25022257,36,,,0,,False,0,train,1
40,0.0,99.277148,99.52737,0.8,"[20.0, 20.0]",null,null,4.0,10.0,-30.0,90.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25022257,37,,,0,,False,0,train,2
41,0.0,99.52737,99.777565,0.8,"[20.0, 20.0]",null,null,4.0,-40.0,0.0,90.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25019493,38,,,0,,False,0,train,2
42,0.0,99.777565,100.02776,0.8,"[20.0, 20.0]",null,null,4.0,40.0,-40.0,0.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25019493,6,,,0,,False,1,train,0
43,0.0,100.02776,100.27796,0.8,"[20.0, 20.0]",null,null,4.0,40.0,20.0,90.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25019493,39,,,0,,False,0,train,2
44,0.0,100.27796,100.52815,0.8,"[20.0, 20.0]",null,null,4.0,-30.0,40.0,45.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25019493,40,,,0,,False,0,train,1
