stimulus_presentation_id,stimulus_block,start_time,stop_time,frame,Dir,contrast,Speed,orientation,temporal_frequency,color,phase,coherence,spatial_frequency,x_position,size,stimulus_name,y_position,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1,0.0,75.310203,75.543733,null,null,0.8,null,90.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,10.0,"[20.0, 20.0]",gabors,10.0,0.23353022,1,,,0,,False,0,train,2
2,0.0,75.543733,75.793944,null,null,0.8,null,45.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,40.0,"[20.0, 20.0]",gabors,-40.0,0.25021095,2,,,0,,False,0,train,1
3,0.0,75.793944,76.044155,null,null,0.8,null,45.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,10.0,"[20.0, 20.0]",gabors,30.0,0.25021095,3,,,0,,False,0,train,1
4,0.0,76.044155,76.294366,null,null,0.8,null,0.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,-20.0,"[20.0, 20.0]",gabors,-40.0,0.25021095,4,,,0,,False,0,train,0
5,0.0,76.294366,76.544585,null,null,0.8,null,90.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,-40.0,"[20.0, 20.0]",gabors,20.0,0.25021923,5,,,0,,False,0,train,2
6,0.0,76.544585,76.794805,null,null,0.8,null,90.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,0.0,"[20.0, 20.0]",gabors,0.0,0.25021923,6,,,0,,False,0,train,2
7,0.0,76.794805,77.045024,null,null,0.8,null,90.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,10.0,"[20.0, 20.0]",gabors,40.0,0.25021923,7,,,0,,False,0,train,2
8,0.0,77.045024,77.295243,null,null,0.8,null,0.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,0.0,"[20.0, 20.0]",gabors,-30.0,0.25021923,8,,,0,,False,0,train,0
9,0.0,77.295243,77.545444,null,null,0.8,null,0.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,-30.0,"[20.0, 20.0]",gabors,10.0,0.25020077,9,,,0,,False,0,train,0
10,0.0,77.545444,77.795645,null,null,0.8,null,90.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,20.0,"[20.0, 20.0]",gabors,40.0,0.25020077,10,,,0,,False,0,train,2
11,0.0,77.795645,78.045845,null,null,0.8,null,0.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,30.0,"[20.0, 20.0]",gabors,40.0,0.25020077,11,,,0,,False,0,train,0
12,0.0,78.045845,78.296046,null,null,0.8,null,0.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,-10.0,"[20.0, 20.0]",gabors,-30.0,0.25020077,12,,,0,,False,0,train,0
13,0.0,78.296046,78.54626,null,null,0.8,null,45.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,10.0,"[20.0, 20.0]",gabors,40.0,0.25021423,13,,,0,,False,0,train,1
14,0.0,78.54626,78.796475,null,null,0.8,null,0.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,20.0,"[20.0, 20.0]",gabors,0.0,0.25021423,14,,,0,,False,0,train,0
15,0.0,78.796475,79.046689,null,null,0.8,null,90.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,30.0,"[20.0, 20.0]",gabors,-20.0,0.25021423,15,,,0,,False,0,train,2
16,0.0,79.046689,79.296903,null,null,0.8,null,90.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,-10.0,"[20.0, 20.0]",gabors,-40.0,0.25021423,16,,,0,,False,0,train,2
17,0.0,79.296903,79.547106,null,null,0.8,null,90.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,-30.0,"[20.0, 20.0]",gabors,-10.0,0.25020327,17,,,0,,False,0,train,2
