stimulus_presentation_id,stimulus_block,start_time,stop_time,orientation,size,spatial_frequency,phase,temporal_frequency,contrast,color,Speed,y_position,frame,coherence,stimulus_name,x_position,Dir,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1,0.0,68.983371,69.2169,90.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-10.0,null,null,gabors,20.0,null,0.23352899,1,,,0,,False,0,train,2
2,0.0,69.2169,69.46711,90.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,40.0,null,null,gabors,0.0,null,0.25020964,2,,,0,,False,0,train,2
3,0.0,69.46711,69.717319,45.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-20.0,null,null,gabors,20.0,null,0.25020964,3,,,0,,False,0,train,1
4,0.0,69.717319,69.967529,0.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,30.0,null,null,gabors,-40.0,null,0.25020964,4,,,0,,False,0,train,0
5,0.0,69.967529,70.217752,0.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-30.0,null,null,gabors,10.0,null,0.25022302,5,,,0,,False,0,train,0
6,0.0,70.217752,70.467975,45.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,10.0,null,null,gabors,30.0,null,0.25022302,6,,,0,,False,0,train,1
7,0.0,70.467975,70.718198,0.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,0.0,null,null,gabors,0.0,null,0.25022302,7,,,0,,False,0,train,0
8,0.0,70.718198,70.968421,90.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-10.0,null,null,gabors,20.0,null,0.25022302,1,,,0,,False,1,train,2
9,0.0,70.968421,71.218615,90.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-10.0,null,null,gabors,20.0,null,0.25019448,1,,,0,,False,2,test,2
10,0.0,71.218615,71.46881,90.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-20.0,null,null,gabors,-10.0,null,0.25019448,8,,,0,,False,0,train,2
11,0.0,71.46881,71.719004,90.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-20.0,null,null,gabors,40.0,null,0.25019448,9,,,0,,False,0,train,2
12,0.0,71.719004,71.969199,45.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-20.0,null,null,gabors,-20.0,null,0.25019448,10,,,0,,False,0,train,1
13,0.0,71.969199,72.219419,45.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-40.0,null,null,gabors,0.0,null,0.25022052,11,,,0,,False,0,train,1
14,0.0,72.219419,72.46964,0.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,20.0,null,null,gabors,0.0,null,0.25022052,12,,,0,,False,0,train,0
15,0.0,72.46964,72.71986,90.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,30.0,null,null,gabors,20.0,null,0.25022052,13,,,0,,False,0,train,2
16,0.0,72.71986,72.970081,90.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-30.0,null,null,gabors,20.0,null,0.25022052,14,,,0,,False,0,train,2
17,0.0,72.970081,73.22028,90.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-10.0,null,null,gabors,-40.0,null,0.25019948,15,,,0,,False,0,train,2
18,0.0,73.22028,73.47048,90.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-10.0,null,null,gabors,10.0,null,0.25019948,16,,,0,,False,0,train,2
19,0.0,73.47048,73.720679,0.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-40.0,null,null,gabors,30.0,null,0.25019948,17,,,0,,False,0,train,0
20,0.0,73.720679,73.970879,45.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,40.0,null,null,gabors,40.0,null,0.25019948,18,,,0,,False,0,train,1
21,0.0,73.970879,74.221094,90.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,20.0,null,null,gabors,30.0,null,0.25021552,19,,,0,,False,0,train,2
22,0.0,74.221094,74.47131,90.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,10.0,null,null,gabors,0.0,null,0.25021552,20,,,0,,False,0,train,2
23,0.0,74.47131,74.721525,45.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-10.0,null,null,gabors,10.0,null,0.25021552,21,,,0,,False,0,train,1
24,0.0,74.721525,74.971741,0.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,20.0,null,null,gabors,-40.0,null,0.25021552,22,,,0,,False,0,train,0
25,0.0,74.971741,75.221945,90.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,0.0,null,null,gabors,-10.0,null,0.25020448,23,,,0,,False,0,train,2
26,0.0,75.221945,75.47215,0.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-20.0,null,null,gabors,-10.0,null,0.25020448,24,,,0,,False,0,train,0
27,0.0,75.47215,75.722354,0.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,40.0,null,null,gabors,-30.0,null,0.25020448,25,,,0,,False,0,train,0
28,0.0,75.722354,75.972559,90.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,10.0,null,null,gabors,40.0,null,0.25020448,26,,,0,,False,0,train,2
29,0.0,75.972559,76.222774,0.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,40.0,null,null,gabors,-20.0,null,0.25021552,27,,,0,,False,0,train,0
30,0.0,76.222774,76.47299,90.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,30.0,null,null,gabors,0.0,null,0.25021552,28,,,0,,False,0,train,2
31,0.0,76.47299,76.723205,0.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,20.0,null,null,gabors,30.0,null,0.25021552,29,,,0,,False,0,train,0
32,0.0,76.723205,76.973421,45.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-20.0,null,null,gabors,-20.0,null,0.25021552,10,,,0,,False,1,train,1
33,0.0,76.973421,77.22362,0.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-30.0,null,null,gabors,-10.0,null,0.25019948,30,,,0,,False,0,train,0
34,0.0,77.22362,77.47382,0.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,10.0,null,null,gabors,10.0,null,0.25019948,31,,,0,,False,0,train,0
35,0.0,77.47382,77.724019,45.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,10.0,null,null,gabors,20.0,null,0.25019948,32,,,0,,False,0,train,1
36,0.0,77.724019,77.974219,0.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-40.0,null,null,gabors,10.0,null,0.25019948,33,,,0,,False,0,train,0
37,0.0,77.974219,78.224442,90.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-40.0,null,null,gabors,0.0,null,0.25022302,34,,,0,,False,0,train,2
38,0.0,78.224442,78.474665,45.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-20.0,null,null,gabors,-20.0,null,0.25022302,10,,,0,,False,2,test,1
39,0.0,78.474665,78.724888,0.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-10.0,null,null,gabors,-40.0,null,0.25022302,35,,,0,,False,0,train,0
40,0.0,78.724888,78.975111,45.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,30.0,null,null,gabors,40.0,null,0.25022302,36,,,0,,False,0,train,1
41,0.0,78.975111,79.225305,90.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-10.0,null,null,gabors,10.0,null,0.25019448,16,,,0,,False,1,train,2
42,0.0,79.225305,79.4755,0.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,20.0,null,null,gabors,-20.0,null,0.25019448,37,,,0,,False,0,train,0
43,0.0,79.4755,79.725694,90.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-10.0,null,null,gabors,30.0,null,0.25019448,38,,,0,,False,0,train,2
44,0.0,79.725694,79.975889,45.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,10.0,null,null,gabors,-30.0,null,0.25019448,39,,,0,,False,0,train,1
45,0.0,79.975889,80.226099,90.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,30.0,null,null,gabors,0.0,null,0.25021052,28,,,0,,False,1,train,2
46,0.0,80.226099,80.47631,0.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,40.0,null,null,gabors,-40.0,null,0.25021052,40,,,0,,False,0,train,0
47,0.0,80.47631,80.72652,0.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-40.0,null,null,gabors,-20.0,null,0.25021052,41,,,0,,False,0,train,0
48,0.0,80.72652,80.976731,90.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-10.0,null,null,gabors,-40.0,null,0.25021052,15,,,0,,False,1,train,2
49,0.0,80.976731,81.226938,90.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,30.0,null,null,gabors,-40.0,null,0.25020698,42,,,0,,False,0,train,2
50,0.0,81.226938,81.477145,90.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-30.0,null,null,gabors,10.0,null,0.25020698,43,,,0,,False,0,train,2
51,0.0,81.477145,81.727352,45.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,0.0,null,null,gabors,10.0,null,0.25020698,44,,,0,,False,0,train,1
52,0.0,81.727352,81.977559,90.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,30.0,null,null,gabors,0.0,null,0.25020698,28,,,0,,False,2,test,2
53,0.0,81.977559,82.227774,45.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,20.0,null,null,gabors,0.0,null,0.25021552,45,,,0,,False,0,train,1
54,0.0,82.227774,82.47799,90.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,20.0,null,null,gabors,10.0,null,0.25021552,46,,,0,,False,0,train,2
55,0.0,82.47799,82.728205,0.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-40.0,null,null,gabors,0.0,null,0.25021552,47,,,0,,False,0,train,0
56,0.0,82.728205,82.978421,90.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-20.0,null,null,gabors,10.0,null,0.25021552,48,,,0,,False,0,train,2
57,0.0,82.978421,83.228623,90.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,0.0,null,null,gabors,10.0,null,0.25020198,49,,,0,,False,0,train,2
58,0.0,83.228623,83.478825,90.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,10.0,null,null,gabors,20.0,null,0.25020198,50,,,0,,False,0,train,2
59,0.0,83.478825,83.729027,90.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-20.0,null,null,gabors,10.0,null,0.25020198,48,,,0,,False,1,train,2
60,0.0,83.729027,83.979229,45.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,30.0,null,null,gabors,10.0,null,0.25020198,51,,,0,,False,0,train,1
61,0.0,83.979229,84.229439,45.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,40.0,null,null,gabors,-40.0,null,0.25021052,52,,,0,,False,0,train,1
62,0.0,84.229439,84.47965,45.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,10.0,null,null,gabors,10.0,null,0.25021052,53,,,0,,False,0,train,1
63,0.0,84.47965,84.72986,90.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-40.0,null,null,gabors,30.0,null,0.25021052,54,,,0,,False,0,train,2
64,0.0,84.72986,84.980071,90.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-10.0,null,null,gabors,-40.0,null,0.25021052,15,,,0,,False,2,test,2
65,0.0,84.980071,85.230278,45.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-20.0,null,null,gabors,-10.0,null,0.25020698,55,,,0,,False,0,train,1
66,0.0,85.230278,85.480485,90.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-20.0,null,null,gabors,-40.0,null,0.25020698,56,,,0,,False,0,train,2
67,0.0,85.480485,85.730692,90.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-30.0,null,null,gabors,30.0,null,0.25020698,57,,,0,,False,0,train,2
68,0.0,85.730692,85.980899,90.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-30.0,null,null,gabors,-40.0,null,0.25020698,58,,,0,,False,0,train,2
69,0.0,85.980899,86.231114,0.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,20.0,null,null,gabors,10.0,null,0.25021552,59,,,0,,False,0,train,0
70,0.0,86.231114,86.48133,90.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,10.0,null,null,gabors,0.0,null,0.25021552,20,,,0,,False,1,train,2
71,0.0,86.48133,86.731545,0.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,30.0,null,null,gabors,10.0,null,0.25021552,60,,,0,,False,0,train,0
72,0.0,86.731545,86.981761,45.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,-30.0,null,null,gabors,0.0,null,0.25021552,61,,,0,,False,0,train,1
73,0.0,86.981761,87.231965,45.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,40.0,null,null,gabors,-10.0,null,0.25020448,62,,,0,,False,0,train,1
74,0.0,87.231965,87.48217,0.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,10.0,null,null,gabors,-30.0,null,0.25020448,63,,,0,,False,0,train,0
75,0.0,87.48217,87.732374,0.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,40.0,null,null,gabors,-10.0,null,0.25020448,64,,,0,,False,0,train,0
76,0.0,87.732374,87.982579,90.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,30.0,null,null,gabors,20.0,null,0.25020448,13,,,0,,False,1,train,2
77,0.0,87.982579,88.232794,45.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,40.0,null,null,gabors,-10.0,null,0.25021552,62,,,0,,False,1,train,1
78,0.0,88.232794,88.48301,45.0,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,null,0.0,null,null,gabors,30.0,null,0.25021552,65,,,0,,False,0,train,1
