stimulus_presentation_id,stimulus_block,start_time,stop_time,temporal_frequency,phase,x_position,contrast,stimulus_name,Dir,frame,orientation,spatial_frequency,Speed,color,coherence,size,y_position,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1,0.0,75.345259,75.578784,4.0,"[3644.93333333, 3644.93333333]",-30.0,0.8,gabors,null,null,45.0,0.08,null,null,null,"[20.0, 20.0]",-40.0,0.23352531,1,,,0,,False,0,train,1
2,0.0,75.578784,75.82899,4.0,"[3644.93333333, 3644.93333333]",10.0,0.8,gabors,null,null,0.0,0.08,null,null,null,"[20.0, 20.0]",-20.0,0.25020569,2,,,0,,False,0,train,0
3,0.0,75.82899,76.079195,4.0,"[3644.93333333, 3644.93333333]",-20.0,0.8,gabors,null,null,45.0,0.08,null,null,null,"[20.0, 20.0]",10.0,0.25020569,3,,,0,,False,0,train,1
4,0.0,76.079195,76.329401,4.0,"[3644.93333333, 3644.93333333]",20.0,0.8,gabors,null,null,90.0,0.08,null,null,null,"[20.0, 20.0]",30.0,0.25020569,4,,,0,,False,0,train,2
5,0.0,76.329401,76.579613,4.0,"[3644.93333333, 3644.93333333]",-30.0,0.8,gabors,null,null,0.0,0.08,null,null,null,"[20.0, 20.0]",-20.0,0.25021191,5,,,0,,False,0,train,0
6,0.0,76.579613,76.829825,4.0,"[3644.93333333, 3644.93333333]",10.0,0.8,gabors,null,null,90.0,0.08,null,null,null,"[20.0, 20.0]",10.0,0.25021191,6,,,0,,False,0,train,2
7,0.0,76.829825,77.080037,4.0,"[3644.93333333, 3644.93333333]",-40.0,0.8,gabors,null,null,0.0,0.08,null,null,null,"[20.0, 20.0]",-40.0,0.25021191,7,,,0,,False,0,train,0
8,0.0,77.080037,77.330249,4.0,"[3644.93333333, 3644.93333333]",-30.0,0.8,gabors,null,null,0.0,0.08,null,null,null,"[20.0, 20.0]",40.0,0.25021191,8,,,0,,False,0,train,0
9,0.0,77.330249,77.580454,4.0,"[3644.93333333, 3644.93333333]",-20.0,0.8,gabors,null,null,45.0,0.08,null,null,null,"[20.0, 20.0]",40.0,0.25020559,9,,,0,,False,0,train,1
10,0.0,77.580454,77.83066,4.0,"[3644.93333333, 3644.93333333]",40.0,0.8,gabors,null,null,0.0,0.08,null,null,null,"[20.0, 20.0]",30.0,0.25020559,10,,,0,,False,0,train,0
