stimulus_presentation_id,stimulus_block,start_time,stop_time,phase,color,orientation,frame,temporal_frequency,size,coherence,y_position,spatial_frequency,x_position,stimulus_name,Dir,Speed,contrast,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1,0.0,75.462746,75.69627,"[3644.93333333, 3644.93333333]",null,0.0,null,4.0,"[20.0, 20.0]",null,40.0,0.08,20.0,gabors,null,null,0.8,0.23352398,1,,,0,,False,0,train,0
2,0.0,75.69627,75.946475,"[3644.93333333, 3644.93333333]",null,90.0,null,4.0,"[20.0, 20.0]",null,-10.0,0.08,-40.0,gabors,null,null,0.8,0.25020426,2,,,0,,False,0,train,2
3,0.0,75.946475,76.196679,"[3644.93333333, 3644.93333333]",null,90.0,null,4.0,"[20.0, 20.0]",null,-30.0,0.08,40.0,gabors,null,null,0.8,0.25020426,3,,,0,,False,0,train,2
4,0.0,76.196679,76.446883,"[3644.93333333, 3644.93333333]",null,0.0,null,4.0,"[20.0, 20.0]",null,-40.0,0.08,-30.0,gabors,null,null,0.8,0.25020426,4,,,0,,False,0,train,0
5,0.0,76.446883,76.697106,"[3644.93333333, 3644.93333333]",null,45.0,null,4.0,"[20.0, 20.0]",null,0.0,0.08,0.0,gabors,null,null,0.8,0.25022331,5,,,0,,False,0,train,1
6,0.0,76.697106,76.94733,"[3644.93333333, 3644.93333333]",null,45.0,null,4.0,"[20.0, 20.0]",null,10.0,0.08,-30.0,gabors,null,null,0.8,0.25022331,6,,,0,,False,0,train,1
7,0.0,76.94733,77.197553,"[3644.93333333, 3644.93333333]",null,90.0,null,4.0,"[20.0, 20.0]",null,30.0,0.08,0.0,gabors,null,null,0.8,0.25022331,7,,,0,,False,0,train,2
8,0.0,77.197553,77.447776,"[3644.93333333, 3644.93333333]",null,0.0,null,4.0,"[20.0, 20.0]",null,0.0,0.08,0.0,gabors,null,null,0.8,0.25022331,8,,,0,,False,0,train,0
9,0.0,77.447776,77.697973,"[3644.93333333, 3644.93333333]",null,45.0,null,4.0,"[20.0, 20.0]",null,-20.0,0.08,10.0,gabors,null,null,0.8,0.25019669,9,,,0,,False,0,train,1
10,0.0,77.697973,77.94817,"[3644.93333333, 3644.93333333]",null,0.0,null,4.0,"[20.0, 20.0]",null,-30.0,0.08,30.0,gabors,null,null,0.8,0.25019669,10,,,0,,False,0,train,0
