stimulus_presentation_id,stimulus_block,start_time,stop_time,color,spatial_frequency,stimulus_name,contrast,phase,temporal_frequency,size,frame,y_position,x_position,orientation,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1,0.0,89.295798,89.529328,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-40.0,10.0,90.0,0.2335307,1,,,0,,False,0,train,2
2,0.0,89.529328,89.77954,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,40.0,-40.0,0.0,0.25021147,2,,,0,,False,0,train,0
3,0.0,89.77954,90.029751,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-20.0,-40.0,90.0,0.25021147,3,,,0,,False,0,train,2
4,0.0,90.029751,90.279963,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-30.0,-20.0,45.0,0.25021147,4,,,0,,False,0,train,1
5,0.0,90.279963,90.530181,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,10.0,40.0,90.0,0.25021872,5,,,0,,False,0,train,2
6,0.0,90.530181,90.7804,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,0.0,-10.0,45.0,0.25021872,6,,,0,,False,0,train,1
7,0.0,90.7804,91.030619,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,10.0,10.0,0.0,0.25021872,7,,,0,,False,0,train,0
8,0.0,91.030619,91.280838,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-20.0,10.0,90.0,0.25021872,8,,,0,,False,0,train,2
9,0.0,91.280838,91.531039,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-20.0,-30.0,0.0,0.25020128,9,,,0,,False,0,train,0
10,0.0,91.531039,91.78124,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-40.0,30.0,45.0,0.25020128,10,,,0,,False,0,train,1
11,0.0,91.78124,92.031441,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,30.0,40.0,90.0,0.25020128,11,,,0,,False,0,train,2
12,0.0,92.031441,92.281643,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,40.0,-20.0,90.0,0.25020128,12,,,0,,False,0,train,2
13,0.0,92.281643,92.531861,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,40.0,10.0,90.0,0.25021872,13,,,0,,False,0,train,2
14,0.0,92.531861,92.78208,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,30.0,-40.0,45.0,0.25021872,14,,,0,,False,0,train,1
15,0.0,92.78208,93.032299,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-40.0,-10.0,0.0,0.25021872,15,,,0,,False,0,train,0
16,0.0,93.032299,93.282518,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-20.0,-20.0,0.0,0.25021872,16,,,0,,False,0,train,0
17,0.0,93.282518,93.532714,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,10.0,30.0,45.0,0.25019628,17,,,0,,False,0,train,1
18,0.0,93.532714,93.78291,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,0.0,-10.0,45.0,0.25019628,6,,,0,,False,1,train,1
19,0.0,93.78291,94.033106,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,30.0,30.0,90.0,0.25019628,18,,,0,,False,0,train,2
20,0.0,94.033106,94.283303,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,20.0,-10.0,0.0,0.25019628,19,,,0,,False,0,train,0
21,0.0,94.283303,94.533526,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-20.0,-40.0,45.0,0.25022372,20,,,0,,False,0,train,1
22,0.0,94.533526,94.78375,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-10.0,0.0,90.0,0.25022372,21,,,0,,False,0,train,2
23,0.0,94.78375,95.033974,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,0.0,10.0,45.0,0.25022372,22,,,0,,False,0,train,1
24,0.0,95.033974,95.284198,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,40.0,10.0,0.0,0.25022372,23,,,0,,False,0,train,0
25,0.0,95.284198,95.534391,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,10.0,0.0,0.0,0.25019378,24,,,0,,False,0,train,0
26,0.0,95.534391,95.784585,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,0.0,-30.0,90.0,0.25019378,25,,,0,,False,0,train,2
27,0.0,95.784585,96.034779,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,0.0,0.0,45.0,0.25019378,26,,,0,,False,0,train,1
28,0.0,96.034779,96.284973,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,10.0,-20.0,45.0,0.25019378,27,,,0,,False,0,train,1
29,0.0,96.284973,96.535191,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,20.0,40.0,90.0,0.25021872,28,,,0,,False,0,train,2
30,0.0,96.535191,96.78541,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-30.0,40.0,45.0,0.25021872,29,,,0,,False,0,train,1
31,0.0,96.78541,97.035629,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-20.0,-30.0,45.0,0.25021872,30,,,0,,False,0,train,1
32,0.0,97.035629,97.285848,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-30.0,-30.0,90.0,0.25021872,31,,,0,,False,0,train,2
33,0.0,97.285848,97.536046,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,0.0,40.0,90.0,0.25019878,32,,,0,,False,0,train,2
34,0.0,97.536046,97.786245,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-30.0,0.0,45.0,0.25019878,33,,,0,,False,0,train,1
35,0.0,97.786245,98.036444,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,40.0,-30.0,0.0,0.25019878,34,,,0,,False,0,train,0
36,0.0,98.036444,98.286643,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-30.0,30.0,0.0,0.25019878,35,,,0,,False,0,train,0
37,0.0,98.286643,98.536854,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-40.0,-30.0,0.0,0.25021122,36,,,0,,False,0,train,0
38,0.0,98.536854,98.787065,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-40.0,-20.0,45.0,0.25021122,37,,,0,,False,0,train,1
39,0.0,98.787065,99.037276,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-10.0,20.0,90.0,0.25021122,38,,,0,,False,0,train,2
40,0.0,99.037276,99.287488,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,30.0,0.0,45.0,0.25021122,39,,,0,,False,0,train,1
41,0.0,99.287488,99.537696,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-40.0,-30.0,0.0,0.25020878,36,,,0,,False,1,train,0
42,0.0,99.537696,99.787905,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,0.0,20.0,0.0,0.25020878,40,,,0,,False,0,train,0
43,0.0,99.787905,100.03811,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-40.0,-30.0,90.0,0.25020878,41,,,0,,False,0,train,2
44,0.0,100.03811,100.28832,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,0.0,10.0,0.0,0.25020878,42,,,0,,False,0,train,0
45,0.0,100.28832,100.53854,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,40.0,-40.0,45.0,0.25021872,43,,,0,,False,0,train,1
46,0.0,100.53854,100.78876,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,30.0,20.0,0.0,0.25021872,44,,,0,,False,0,train,0
47,0.0,100.78876,101.03898,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,0.0,-30.0,90.0,0.25021872,25,,,0,,False,1,train,2
48,0.0,101.03898,101.2892,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-40.0,10.0,0.0,0.25021872,45,,,0,,False,0,train,0
49,0.0,101.2892,101.5394,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-10.0,20.0,0.0,0.25020128,46,,,0,,False,0,train,0
50,0.0,101.5394,101.7896,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,0.0,-40.0,45.0,0.25020128,47,,,0,,False,0,train,1
51,0.0,101.7896,102.0398,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-40.0,10.0,45.0,0.25020128,48,,,0,,False,0,train,1
52,0.0,102.0398,102.29,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-20.0,-40.0,0.0,0.25020128,49,,,0,,False,0,train,0
53,0.0,102.29,102.54021,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,0.0,-40.0,45.0,0.25020872,47,,,0,,False,1,train,1
54,0.0,102.54021,102.79042,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,20.0,0.0,0.0,0.25020872,50,,,0,,False,0,train,0
55,0.0,102.79042,103.04063,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,40.0,10.0,45.0,0.25020872,51,,,0,,False,0,train,1
56,0.0,103.04063,103.29084,null,0.08,gabors,0.8,"[3644.93333333, 3644.93333333]",4.0,"[20.0, 20.0]",null,-30.0,-10.0,45.0,0.25020872,52,,,0,,False,0,train,1
