stimulus_presentation_id,stimulus_block,start_time,stop_time,size,contrast,phase,orientation,stimulus_name,x_position,y_position,temporal_frequency,color,frame,spatial_frequency,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1,0.0,84.942787,85.176306,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",90.0,gabors,20.0,-10.0,4.0,null,null,0.08,0.23351928,1,,,0,,False,0,train,2
2,0.0,85.176306,85.426505,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",0.0,gabors,30.0,40.0,4.0,null,null,0.08,0.25019923,2,,,0,,False,0,train,0
3,0.0,85.426505,85.676704,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",45.0,gabors,40.0,-30.0,4.0,null,null,0.08,0.25019923,3,,,0,,False,0,train,1
4,0.0,85.676704,85.926904,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",90.0,gabors,0.0,-40.0,4.0,null,null,0.08,0.25019923,4,,,0,,False,0,train,2
5,0.0,85.926904,86.177122,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",45.0,gabors,-40.0,10.0,4.0,null,null,0.08,0.25021826,5,,,0,,False,0,train,1
6,0.0,86.177122,86.42734,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",0.0,gabors,30.0,30.0,4.0,null,null,0.08,0.25021826,6,,,0,,False,0,train,0
7,0.0,86.42734,86.677558,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",90.0,gabors,-10.0,0.0,4.0,null,null,0.08,0.25021826,7,,,0,,False,0,train,2
8,0.0,86.677558,86.927777,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",45.0,gabors,-10.0,0.0,4.0,null,null,0.08,0.25021826,8,,,0,,False,0,train,1
9,0.0,86.927777,87.177973,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",45.0,gabors,-30.0,10.0,4.0,null,null,0.08,0.25019674,9,,,0,,False,0,train,1
10,0.0,87.177973,87.42817,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",90.0,gabors,30.0,20.0,4.0,null,null,0.08,0.25019674,10,,,0,,False,0,train,2
11,0.0,87.42817,87.678367,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",0.0,gabors,30.0,-20.0,4.0,null,null,0.08,0.25019674,11,,,0,,False,0,train,0
12,0.0,87.678367,87.928564,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",0.0,gabors,-40.0,-30.0,4.0,null,null,0.08,0.25019674,12,,,0,,False,0,train,0
13,0.0,87.928564,88.178779,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",90.0,gabors,-30.0,40.0,4.0,null,null,0.08,0.25021576,13,,,0,,False,0,train,2
14,0.0,88.178779,88.428995,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",0.0,gabors,20.0,40.0,4.0,null,null,0.08,0.25021576,14,,,0,,False,0,train,0
15,0.0,88.428995,88.679211,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",0.0,gabors,10.0,-40.0,4.0,null,null,0.08,0.25021576,15,,,0,,False,0,train,0
16,0.0,88.679211,88.929427,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",0.0,gabors,-30.0,30.0,4.0,null,null,0.08,0.25021576,16,,,0,,False,0,train,0
17,0.0,88.929427,89.179633,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",90.0,gabors,0.0,10.0,4.0,null,null,0.08,0.25020674,17,,,0,,False,0,train,2
18,0.0,89.179633,89.42984,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",90.0,gabors,20.0,-20.0,4.0,null,null,0.08,0.25020674,18,,,0,,False,0,train,2
19,0.0,89.42984,89.680047,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",0.0,gabors,30.0,30.0,4.0,null,null,0.08,0.25020674,6,,,0,,False,1,train,0
20,0.0,89.680047,89.930254,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",90.0,gabors,40.0,0.0,4.0,null,null,0.08,0.25020674,19,,,0,,False,0,train,2
21,0.0,89.930254,90.180477,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",0.0,gabors,10.0,-40.0,4.0,null,null,0.08,0.25022326,15,,,0,,False,1,train,0
22,0.0,90.180477,90.4307,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",90.0,gabors,10.0,10.0,4.0,null,null,0.08,0.25022326,20,,,0,,False,0,train,2
23,0.0,90.4307,90.680923,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",45.0,gabors,-30.0,10.0,4.0,null,null,0.08,0.25022326,9,,,0,,False,1,train,1
24,0.0,90.680923,90.931147,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",90.0,gabors,-40.0,40.0,4.0,null,null,0.08,0.25022326,21,,,0,,False,0,train,2
25,0.0,90.931147,91.181338,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",90.0,gabors,-10.0,-40.0,4.0,null,null,0.08,0.25019174,22,,,0,,False,0,train,2
26,0.0,91.181338,91.43153,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",45.0,gabors,-20.0,10.0,4.0,null,null,0.08,0.25019174,23,,,0,,False,0,train,1
27,0.0,91.43153,91.681722,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",45.0,gabors,20.0,0.0,4.0,null,null,0.08,0.25019174,24,,,0,,False,0,train,1
28,0.0,91.681722,91.931914,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",90.0,gabors,-20.0,-20.0,4.0,null,null,0.08,0.25019174,25,,,0,,False,0,train,2
29,0.0,91.931914,92.182139,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",0.0,gabors,10.0,-40.0,4.0,null,null,0.08,0.25022576,15,,,0,,False,2,test,0
30,0.0,92.182139,92.432365,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",90.0,gabors,-10.0,-30.0,4.0,null,null,0.08,0.25022576,26,,,0,,False,0,train,2
31,0.0,92.432365,92.682591,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",90.0,gabors,-40.0,30.0,4.0,null,null,0.08,0.25022576,27,,,0,,False,0,train,2
32,0.0,92.682591,92.932817,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",0.0,gabors,20.0,-10.0,4.0,null,null,0.08,0.25022576,28,,,0,,False,0,train,0
33,0.0,92.932817,93.183011,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",90.0,gabors,-30.0,40.0,4.0,null,null,0.08,0.25019424,13,,,0,,False,1,train,2
34,0.0,93.183011,93.433205,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",90.0,gabors,40.0,-10.0,4.0,null,null,0.08,0.25019424,29,,,0,,False,0,train,2
35,0.0,93.433205,93.683399,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",90.0,gabors,-10.0,20.0,4.0,null,null,0.08,0.25019424,30,,,0,,False,0,train,2
36,0.0,93.683399,93.933594,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",45.0,gabors,-10.0,10.0,4.0,null,null,0.08,0.25019424,31,,,0,,False,0,train,1
37,0.0,93.933594,94.183809,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",90.0,gabors,-10.0,-10.0,4.0,null,null,0.08,0.25021576,32,,,0,,False,0,train,2
38,0.0,94.183809,94.434025,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",0.0,gabors,40.0,-20.0,4.0,null,null,0.08,0.25021576,33,,,0,,False,0,train,0
39,0.0,94.434025,94.684241,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",90.0,gabors,-40.0,-20.0,4.0,null,null,0.08,0.25021576,34,,,0,,False,0,train,2
40,0.0,94.684241,94.934457,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",0.0,gabors,40.0,-20.0,4.0,null,null,0.08,0.25021576,33,,,0,,False,1,train,0
41,0.0,94.934457,95.184658,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",0.0,gabors,-20.0,10.0,4.0,null,null,0.08,0.25020174,35,,,0,,False,0,train,0
42,0.0,95.184658,95.43486,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",45.0,gabors,-40.0,30.0,4.0,null,null,0.08,0.25020174,36,,,0,,False,0,train,1
43,0.0,95.43486,95.685062,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",90.0,gabors,0.0,30.0,4.0,null,null,0.08,0.25020174,37,,,0,,False,0,train,2
44,0.0,95.685062,95.935264,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",45.0,gabors,10.0,0.0,4.0,null,null,0.08,0.25020174,38,,,0,,False,0,train,1
45,0.0,95.935264,96.185479,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",45.0,gabors,40.0,-10.0,4.0,null,null,0.08,0.25021576,39,,,0,,False,0,train,1
46,0.0,96.185479,96.435695,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",90.0,gabors,10.0,30.0,4.0,null,null,0.08,0.25021576,40,,,0,,False,0,train,2
47,0.0,96.435695,96.685911,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",45.0,gabors,-10.0,10.0,4.0,null,null,0.08,0.25021576,31,,,0,,False,1,train,1
48,0.0,96.685911,96.936127,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",45.0,gabors,-10.0,-30.0,4.0,null,null,0.08,0.25021576,41,,,0,,False,0,train,1
49,0.0,96.936127,97.186328,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",0.0,gabors,30.0,20.0,4.0,null,null,0.08,0.25020174,42,,,0,,False,0,train,0
50,0.0,97.186328,97.43653,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",0.0,gabors,10.0,-30.0,4.0,null,null,0.08,0.25020174,43,,,0,,False,0,train,0
51,0.0,97.43653,97.686732,"[20.0, 20.0]",0.8,"[3644.93333333, 3644.93333333]",90.0,gabors,-20.0,-30.0,4.0,null,null,0.08,0.25020174,44,,,0,,False,0,train,2
