stimulus_presentation_id,stimulus_block,start_time,stop_time,color,size,Speed,stimulus_name,x_position,y_position,frame,temporal_frequency,Dir,phase,contrast,spatial_frequency,orientation,coherence,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1,0.0,68.496455,68.729985,null,"[20.0, 20.0]",null,gabors,-20.0,30.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,0.0,null,0.23352957,1,,,0,,False,0,train,0
2,0.0,68.729985,68.980195,null,"[20.0, 20.0]",null,gabors,-10.0,-10.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,45.0,null,0.25021025,2,,,0,,False,0,train,1
3,0.0,68.980195,69.230405,null,"[20.0, 20.0]",null,gabors,-20.0,20.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,45.0,null,0.25021025,3,,,0,,False,0,train,1
4,0.0,69.230405,69.480616,null,"[20.0, 20.0]",null,gabors,40.0,-10.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,0.0,null,0.25021025,4,,,0,,False,0,train,0
5,0.0,69.480616,69.730826,null,"[20.0, 20.0]",null,gabors,40.0,-40.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,45.0,null,0.25020992,5,,,0,,False,0,train,1
6,0.0,69.730826,69.981036,null,"[20.0, 20.0]",null,gabors,30.0,10.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,45.0,null,0.25020992,6,,,0,,False,0,train,1
7,0.0,69.981036,70.231245,null,"[20.0, 20.0]",null,gabors,-40.0,-40.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,0.0,null,0.25020992,7,,,0,,False,0,train,0
8,0.0,70.231245,70.481455,null,"[20.0, 20.0]",null,gabors,-10.0,40.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,45.0,null,0.25020992,8,,,0,,False,0,train,1
9,0.0,70.481455,70.73166,null,"[20.0, 20.0]",null,gabors,-10.0,20.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,90.0,null,0.25020508,9,,,0,,False,0,train,2
10,0.0,70.73166,70.981866,null,"[20.0, 20.0]",null,gabors,20.0,20.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,0.0,null,0.25020508,10,,,0,,False,0,train,0
11,0.0,70.981866,71.232071,null,"[20.0, 20.0]",null,gabors,10.0,10.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,0.0,null,0.25020508,11,,,0,,False,0,train,0
12,0.0,71.232071,71.482276,null,"[20.0, 20.0]",null,gabors,40.0,-30.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,0.0,null,0.25020508,12,,,0,,False,0,train,0
13,0.0,71.482276,71.732493,null,"[20.0, 20.0]",null,gabors,10.0,40.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,90.0,null,0.25021742,13,,,0,,False,0,train,2
14,0.0,71.732493,71.982711,null,"[20.0, 20.0]",null,gabors,20.0,-20.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,90.0,null,0.25021742,14,,,0,,False,0,train,2
15,0.0,71.982711,72.232928,null,"[20.0, 20.0]",null,gabors,-10.0,-10.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,45.0,null,0.25021742,2,,,0,,False,1,train,1
16,0.0,72.232928,72.483145,null,"[20.0, 20.0]",null,gabors,10.0,40.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,0.0,null,0.25021742,15,,,0,,False,0,train,0
17,0.0,72.483145,72.733345,null,"[20.0, 20.0]",null,gabors,0.0,-10.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,90.0,null,0.25020008,16,,,0,,False,0,train,2
18,0.0,72.733345,72.983546,null,"[20.0, 20.0]",null,gabors,10.0,0.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,90.0,null,0.25020008,17,,,0,,False,0,train,2
19,0.0,72.983546,73.233746,null,"[20.0, 20.0]",null,gabors,-30.0,20.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,90.0,null,0.25020008,18,,,0,,False,0,train,2
20,0.0,73.233746,73.483946,null,"[20.0, 20.0]",null,gabors,40.0,30.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,90.0,null,0.25020008,19,,,0,,False,0,train,2
21,0.0,73.483946,73.734158,null,"[20.0, 20.0]",null,gabors,-20.0,-30.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,0.0,null,0.25021242,20,,,0,,False,0,train,0
22,0.0,73.734158,73.984371,null,"[20.0, 20.0]",null,gabors,-40.0,-40.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,0.0,null,0.25021242,7,,,0,,False,1,train,0
23,0.0,73.984371,74.234583,null,"[20.0, 20.0]",null,gabors,20.0,40.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,90.0,null,0.25021242,21,,,0,,False,0,train,2
24,0.0,74.234583,74.484795,null,"[20.0, 20.0]",null,gabors,-20.0,-10.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,90.0,null,0.25021242,22,,,0,,False,0,train,2
25,0.0,74.484795,74.735,null,"[20.0, 20.0]",null,gabors,0.0,10.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,0.0,null,0.25020508,23,,,0,,False,0,train,0
26,0.0,74.735,74.985206,null,"[20.0, 20.0]",null,gabors,-30.0,-40.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,45.0,null,0.25020508,24,,,0,,False,0,train,1
27,0.0,74.985206,75.235411,null,"[20.0, 20.0]",null,gabors,-10.0,10.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,0.0,null,0.25020508,25,,,0,,False,0,train,0
28,0.0,75.235411,75.485616,null,"[20.0, 20.0]",null,gabors,-10.0,-40.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,90.0,null,0.25020508,26,,,0,,False,0,train,2
29,0.0,75.485616,75.735833,null,"[20.0, 20.0]",null,gabors,10.0,0.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,90.0,null,0.25021742,17,,,0,,False,1,train,2
30,0.0,75.735833,75.986051,null,"[20.0, 20.0]",null,gabors,40.0,30.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,45.0,null,0.25021742,27,,,0,,False,0,train,1
31,0.0,75.986051,76.236268,null,"[20.0, 20.0]",null,gabors,-40.0,30.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,45.0,null,0.25021742,28,,,0,,False,0,train,1
32,0.0,76.236268,76.486485,null,"[20.0, 20.0]",null,gabors,40.0,-30.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,0.0,null,0.25021742,12,,,0,,False,1,train,0
33,0.0,76.486485,76.736685,null,"[20.0, 20.0]",null,gabors,-40.0,10.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,0.0,null,0.25020008,29,,,0,,False,0,train,0
34,0.0,76.736685,76.986886,null,"[20.0, 20.0]",null,gabors,-30.0,-10.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,0.0,null,0.25020008,30,,,0,,False,0,train,0
35,0.0,76.986886,77.237086,null,"[20.0, 20.0]",null,gabors,-10.0,20.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,45.0,null,0.25020008,31,,,0,,False,0,train,1
36,0.0,77.237086,77.487286,null,"[20.0, 20.0]",null,gabors,-20.0,-20.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,0.0,null,0.25020008,32,,,0,,False,0,train,0
37,0.0,77.487286,77.737501,null,"[20.0, 20.0]",null,gabors,30.0,-40.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,0.0,null,0.25021492,33,,,0,,False,0,train,0
38,0.0,77.737501,77.987716,null,"[20.0, 20.0]",null,gabors,10.0,-40.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,90.0,null,0.25021492,34,,,0,,False,0,train,2
