stimulus_presentation_id,stimulus_block,start_time,stop_time,x_position,frame,y_position,stimulus_name,Speed,spatial_frequency,size,contrast,orientation,coherence,color,Dir,phase,temporal_frequency,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1,0.0,68.961709,69.195215,30.0,null,-20.0,gabors,null,0.08,"[20.0, 20.0]",0.8,45.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.23350636,1,,,0,,False,0,train,1
2,0.0,69.195215,69.4454,40.0,null,-20.0,gabors,null,0.08,"[20.0, 20.0]",0.8,0.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25018539,2,,,0,,False,0,train,0
3,0.0,69.4454,69.695586,-40.0,null,40.0,gabors,null,0.08,"[20.0, 20.0]",0.8,45.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25018539,3,,,0,,False,0,train,1
4,0.0,69.695586,69.945771,0.0,null,-20.0,gabors,null,0.08,"[20.0, 20.0]",0.8,0.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25018539,4,,,0,,False,0,train,0
5,0.0,69.945771,70.195976,0.0,null,-30.0,gabors,null,0.08,"[20.0, 20.0]",0.8,45.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25020437,5,,,0,,False,0,train,1
6,0.0,70.195976,70.44618,30.0,null,10.0,gabors,null,0.08,"[20.0, 20.0]",0.8,90.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25020437,6,,,0,,False,0,train,2
7,0.0,70.44618,70.696384,-10.0,null,20.0,gabors,null,0.08,"[20.0, 20.0]",0.8,0.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25020437,7,,,0,,False,0,train,0
8,0.0,70.696384,70.946589,-20.0,null,-30.0,gabors,null,0.08,"[20.0, 20.0]",0.8,90.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25020437,8,,,0,,False,0,train,2
9,0.0,70.946589,71.196804,-10.0,null,40.0,gabors,null,0.08,"[20.0, 20.0]",0.8,45.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25021563,9,,,0,,False,0,train,1
10,0.0,71.196804,71.44702,-40.0,null,-10.0,gabors,null,0.08,"[20.0, 20.0]",0.8,0.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25021563,10,,,0,,False,0,train,0
