stimulus_presentation_id,stimulus_block,start_time,stop_time,temporal_frequency,size,contrast,coherence,frame,spatial_frequency,orientation,color,phase,y_position,stimulus_name,x_position,Speed,Dir,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1,0.0,68.998794,69.232324,4.0,"[20.0, 20.0]",0.8,null,null,0.08,90.0,null,"[3644.93333333, 3644.93333333]",40.0,gabors,-10.0,null,null,0.23352986,1,,,0,,False,0,train,2
2,0.0,69.232324,69.482534,4.0,"[20.0, 20.0]",0.8,null,null,0.08,45.0,null,"[3644.93333333, 3644.93333333]",-20.0,gabors,0.0,null,null,0.25021056,2,,,0,,False,0,train,1
3,0.0,69.482534,69.732745,4.0,"[20.0, 20.0]",0.8,null,null,0.08,45.0,null,"[3644.93333333, 3644.93333333]",0.0,gabors,-30.0,null,null,0.25021056,3,,,0,,False,0,train,1
4,0.0,69.732745,69.982955,4.0,"[20.0, 20.0]",0.8,null,null,0.08,0.0,null,"[3644.93333333, 3644.93333333]",20.0,gabors,30.0,null,null,0.25021056,4,,,0,,False,0,train,0
5,0.0,69.982955,70.233173,4.0,"[20.0, 20.0]",0.8,null,null,0.08,0.0,null,"[3644.93333333, 3644.93333333]",0.0,gabors,0.0,null,null,0.25021711,5,,,0,,False,0,train,0
6,0.0,70.233173,70.48339,4.0,"[20.0, 20.0]",0.8,null,null,0.08,0.0,null,"[3644.93333333, 3644.93333333]",30.0,gabors,30.0,null,null,0.25021711,6,,,0,,False,0,train,0
7,0.0,70.48339,70.733607,4.0,"[20.0, 20.0]",0.8,null,null,0.08,0.0,null,"[3644.93333333, 3644.93333333]",-40.0,gabors,0.0,null,null,0.25021711,7,,,0,,False,0,train,0
8,0.0,70.733607,70.983824,4.0,"[20.0, 20.0]",0.8,null,null,0.08,45.0,null,"[3644.93333333, 3644.93333333]",-40.0,gabors,0.0,null,null,0.25021711,8,,,0,,False,0,train,1
9,0.0,70.983824,71.234019,4.0,"[20.0, 20.0]",0.8,null,null,0.08,0.0,null,"[3644.93333333, 3644.93333333]",40.0,gabors,10.0,null,null,0.25019539,9,,,0,,False,0,train,0
10,0.0,71.234019,71.484215,4.0,"[20.0, 20.0]",0.8,null,null,0.08,90.0,null,"[3644.93333333, 3644.93333333]",-20.0,gabors,30.0,null,null,0.25019539,10,,,0,,False,0,train,2
