session_id,ecephys_unit_id,group,ecephys_structure_acronym,unit_split,spatial_model,released_azimuth_rf_deg,released_elevation_rf_deg,released_area_rf_deg2,released_width_rf_deg,released_height_rf_deg,axis_center_x_deg,axis_center_y_deg,axis_sigma_x_deg,axis_sigma_y_deg,axis_area_deg2,axis_train_deviance,axis_test_deviance,axis_optimizer_nfev,axis_censored,axis_edge_distance_deg,rotation_center_x_deg,rotation_center_y_deg,rotation_sigma_major_deg,rotation_sigma_minor_deg,rotation_angle_deg,rotation_axis_ratio,rotation_area_deg2,rotation_train_deviance,rotation_test_deviance,rotation_optimizer_nfev,rotation_test_gain,rotation_train_gain,rotation_sigma_lower_bound,rotation_sigma_upper_bound,axis_parameters,rotation_parameters,model_elapsed_seconds
797828357,951085734,HVA,VISam,calibration,aperture,33.333,46.667,300,1153.9789,102.85925,-1.75685541,36.8094783,14.9837487,2,130.513612,2.00614596,2.1273179,24,True,3.19052168,11.3813228,39.5881435,23.1576553,2,84.7381429,11.5788277,201.711153,2.00303473,2.13181035,86,-0.00449244896,0.00311122861,True,False,"[2.003117205078348, 0.9416345879332814, 0.9912762395563832, 0.8799153204078904, -1.7568554139616528, 36.80947832186573, 14.983748740861977, 2.000000002363121]","[2.0063235571232316, 1.4997551001147134, 1.4401246311852653, 0.3426946120319642, 11.381322818108154, 39.588143533240405, 23.157655327935522, 2.0000000000787836, 1.4789595953069403]",8.36797393
797828357,951085734,HVA,VISam,calibration,point,33.333,46.667,300,1153.9789,102.85925,-1.8213677,35.5237539,15.979664,4.22896849,294.311628,2.00619406,2.12699436,30,False,4.47624612,13.8564073,39.1949494,25.1513323,4.68397021,77.2335434,5.36966102,513.07452,2.00305197,2.13099908,30,-0.00400472324,0.00314209124,False,False,"[2.002679188953117, 1.5415647571357434, 1.637523904959103, 1.4526425059437926, -1.8213677002618602, 35.52375388392361, 15.979663987119723, 4.228968487680074]","[2.012228460276338, 1.7989316156433344, 1.6350222074198117, 0.29855464920194996, 13.856407342951135, 39.19494942397159, 25.151332252589537, 4.683970206953345, 1.3479796261476151]",0.346419223
797828357,951085760,HVA,VISam,evaluation,aperture,82,34,500,48.127511,77.693874,28.9835602,20.4084622,11.9776289,2,104.329272,1.77205301,1.69245866,15,True,11.0164398,24.9270845,18.0314152,41.0229697,5.3799327,29.4586599,7.6251827,961.190055,1.73990543,1.69915285,20,-0.00669418765,0.0321475823,False,False,"[0.5443708071116867, 1.1261356621628822, 1.0528879482808924, 1.7648555702035527, 28.983560216974915, 20.4084621865689, 11.977628913156442, 2.000000000176014]","[0.4628489123854533, 1.184119158713847, 0.7937809921460828, 0.8640226117763042, 24.92708453668929, 18.031415172791657, 41.02296972212414, 5.379932696140256, 0.5141506088132104]",3.07773097
797828357,951085760,HVA,VISam,evaluation,point,82,34,500,48.127511,77.693874,28.995622,20.7697309,13.2525005,5.94128372,342.912608,1.77194332,1.69188874,14,False,11.004378,25.0323536,18.1161706,41.7225426,7.67188771,29.403399,5.43836722,1394.04995,1.74001107,1.69800962,21,-0.00612087789,0.0319322521,False,False,"[0.5441863696808429, 1.1498346319062807, 1.0723910493542623, 1.8134997742172498, 28.995621968842556, 20.769730878086353, 13.252500549239501, 5.941283722493899]","[0.4597920894168928, 1.19849331336542, 0.8054332685391826, 0.8776527497583878, 25.03235359618256, 18.116170587440067, 41.72254261832742, 7.671887707830227, 0.5131861240974409]",0.183944751
797828357,951085764,HVA,VISam,evaluation,aperture,75,40,1200,480.22665,117.20285,36.3662256,26.3166907,29.3280435,10.152808,1296.80475,1.27397058,1.28383222,13,False,3.63377441,35.9411715,27.9130775,29.400488,7.8546468,15.0560664,3.74306939,1005.74187,1.27227618,1.28562302,18,-0.00179079905,0.00169440239,False,False,"[0.48780500835879737, 0.5056123264216417, 0.4421715709255214, 0.42454523640421576, 36.36622558652999, 26.316690655631216, 29.328043455112997, 10.152808005030245]","[0.4904466066231878, 0.5069807621931993, 0.5205267818565474, 0.4985479116161944, 35.94117147779936, 27.913077547701974, 29.400488016876704, 7.854646798675663, 0.2627779309874827]",2.93169333
797828357,951085764,HVA,VISam,evaluation,point,75,40,1200,480.22665,117.20285,36.2585532,26.3073948,29.7192635,11.416523,1477.66922,1.27398747,1.28381965,16,False,3.74144681,35.9311866,27.754875,29.6687546,9.25109455,15.168269,3.20705344,1195.35737,1.27226594,1.28547915,23,-0.00165950319,0.0017215355,False,False,"[0.48764696147353126, 0.5053968889572067, 0.4423524609602779, 0.4244007717394862, 36.25855318615811, 26.30739479424876, 29.7192634894924, 11.416522987099547]","[0.49101313055897133, 0.5132620898546216, 0.5304971702259975, 0.5061641964264703, 35.93118658330931, 27.754875043812664, 29.668754574548828, 9.251094554544737, 0.2647362357986207]",0.197245243
797828357,951085868,HVA,VISam,calibration,aperture,50,10,1100,40.521057,47.450347,-4.51324539,-0.541147507,18.1214341,11.8185048,932.739633,1.29941487,1.4292371,19,False,35.4867546,-6.11059976,-0.919364496,20.6795561,8.65999326,23.0094625,2.38794136,779.945209,1.29677675,1.42656435,19,0.00267274906,0.00263812242,False,False,"[0.20627270247764384, 0.33514172142810256, 0.38137175183689237, 0.3950181387961839, -4.51324539412113, -0.5411475074836973, 18.12143409956998, 11.818504834812135]","[0.21054544233008116, 0.3971479101831904, 0.39420127030511537, 0.39942289142257426, -6.110599763415865, -0.91936449576507, 20.679556056992908, 8.659993256688994, 0.4015908796690031]",2.98137016
797828357,951085868,HVA,VISam,calibration,point,50,10,1100,40.521057,47.450347,-4.54527744,-0.569034046,18.8749008,12.9274509,1062.68097,1.29939776,1.42928515,20,False,35.4547226,-6.10836518,-0.923297819,21.3106649,10.1339726,23.0492027,2.10289348,940.550359,1.29679519,1.42665068,17,0.00263447514,0.00260257658,False,False,"[0.20586114696510746, 0.3359487905007714, 0.3811186859132994, 0.3947479171699438, -4.545277439582122, -0.569034046433462, 18.874900774162274, 12.92745086574594]","[0.21012568903105464, 0.39882632240688054, 0.3953228562460052, 0.4007653678100511, -6.108365182366374, -0.9232978194852782, 21.31066485867581, 10.13397258551144, 0.40228447727369376]",0.190042067
797828357,951085878,HVA,VISam,calibration,aperture,75,45,800,187.75355,39.774433,22.9312404,35.2214077,20.2717072,11.6443925,1028.04586,1.05450622,1.04844576,8,False,4.77859227,20.8082376,34.6970204,22.313235,10.8839721,-17.1975122,2.05010035,1057.68243,1.04702798,1.04629636,14,0.00214939925,0.00747824184,False,False,"[0.2414396746655274, 2.078070966977205, 1.5318737874250865, 1.601347398296089, 22.93124039472084, 35.221407730038045, 20.271707239842787, 11.644392465218422]","[0.24063568111172207, 2.0414450902064654, 1.5216435831434658, 1.6039493061182655, 20.808237579099348, 34.69702039691941, 22.313234997587163, 10.883972116375883, -0.30015321153168006]",1.68926118
797828357,951085878,HVA,VISam,calibration,point,75,45,800,187.75355,39.774433,22.9371238,35.2296861,20.9170334,12.7351083,1160.13375,1.05459298,1.04846197,9,False,4.7703139,20.821824,34.7198088,22.8984916,12.0678709,-17.1654715,1.89747569,1203.49103,1.0472124,1.04634872,7,0.00211325431,0.00738057729,False,False,"[0.241133058249084, 2.0789630133573116, 1.5334153123211018, 1.6021646551055164, 22.937123815338314, 35.22968609793442, 20.91703336556934, 12.735108265287874]","[0.24021694320811066, 2.0421419467810953, 1.522886848894623, 1.6044534842379292, 20.821823967291646, 34.71980881953451, 22.898491596120834, 12.067870857305177, -0.2995939949539128]",0.111314367
