session_id,group,spatial_model,units,median_rotation_test_gain,fraction_rotation_gain_positive,median_rotation_area_ratio,axis_censored_fraction,rotation_bound_fraction,fit_model_seconds,maximum_model_seconds
715093703,HVA,aperture,311,0.000253140472,0.591639871,1.00021401,0.15755627,0.173633441,710.466772,9.56949655
715093703,HVA,point,311,0.000200673734,0.575562701,0.999967109,0.0514469453,0.0482315113,56.9003197,2.96438771
715093703,V1,aperture,93,0.000678383632,0.655913978,0.996841613,0.172043011,0.193548387,239.72126,10.0811635
715093703,V1,point,93,0.000651804211,0.655913978,0.997534572,0.0107526882,0.0215053763,16.086701,0.928028724
719161530,HVA,aperture,179,2.35435265e-05,0.530726257,1.00000121,0.134078212,0.162011173,377.359271,18.3725028
719161530,HVA,point,179,4.13747109e-07,0.502793296,0.999615763,0.0670391061,0.0558659218,26.7885656,1.16500456
719161530,V1,aperture,83,-3.98407297e-06,0.457831325,0.998382491,0.192771084,0.204819277,175.168426,5.9635638
719161530,V1,point,83,-0.000192368361,0.409638554,0.998111416,0.0240963855,0.0361445783,12.8011759,1.27229798
721123822,HVA,aperture,286,0.00043703217,0.58041958,0.999591,0.132867133,0.146853147,682.872928,20.8239866
721123822,HVA,point,286,0.000315017447,0.548951049,0.999461716,0.0594405594,0.0314685315,47.0371842,1.59447268
721123822,V1,aperture,58,-5.0523964e-05,0.448275862,0.997476367,0.275862069,0.379310345,162.658152,8.84666734
721123822,V1,point,58,-0.000723665615,0.362068966,0.99655864,0.0517241379,0.0862068966,11.612002,0.698939693
732592105,HVA,aperture,296,0.000307438277,0.591216216,0.999999928,0.327702703,0.222972973,762.851875,17.6114253
732592105,HVA,point,296,0.000243999736,0.557432432,1.00234249,0.199324324,0.0810810811,56.9211639,1.52231097
732592105,V1,aperture,154,1.87990315e-05,0.525974026,0.998783062,0.194805195,0.246753247,515.037649,115.260156
732592105,V1,point,154,4.668951e-05,0.525974026,0.99711536,0.025974026,0.0519480519,31.6902996,1.23446385
737581020,HVA,aperture,129,0.000320019654,0.581395349,0.999183497,0.302325581,0.279069767,400.060093,55.817832
737581020,HVA,point,129,8.70037869e-05,0.550387597,0.999112431,0.201550388,0.139534884,23.2466681,0.928686166
737581020,V1,aperture,85,0.000480908171,0.658823529,0.996807517,0.223529412,0.329411765,225.386262,11.5346229
737581020,V1,point,85,0.00041420877,0.6,0.995382968,0.0117647059,0.0235294118,16.9903314,0.999800397
739448407,HVA,aperture,184,0.000201929879,0.614130435,0.997413409,0.239130435,0.22826087,590.127073,164.503739
739448407,HVA,point,184,0.000173195197,0.576086957,0.999965842,0.14673913,0.125,34.6689484,2.70766741
739448407,V1,aperture,40,-0.00013441315,0.475,0.996598539,0.05,0.1,91.6835242,10.6660416
739448407,V1,point,40,-0.00020908029,0.45,0.99735454,0,0.025,5.50308156,0.427948538
742951821,HVA,aperture,245,0.000640713281,0.620408163,0.999416183,0.204081633,0.191836735,646.385348,41.5679848
742951821,HVA,point,245,0.000649557463,0.587755102,0.999225937,0.146938776,0.0897959184,46.4023517,5.45697785
742951821,V1,aperture,81,-1.79511247e-06,0.49382716,0.994751576,0.135802469,0.209876543,182.165899,7.17034989
742951821,V1,point,81,4.61118631e-05,0.50617284,0.997845968,0.012345679,0.012345679,14.5823872,2.24773295
743475441,HVA,aperture,220,3.63388247e-05,0.540909091,0.999298423,0.272727273,0.222727273,557.827719,9.05911984
743475441,HVA,point,220,2.83179289e-05,0.527272727,0.995488865,0.136363636,0.0363636364,45.500001,3.38183744
744228101,HVA,aperture,130,0.000605382701,0.607692308,1.00126538,0.238461538,0.169230769,287.181024,8.30583868
744228101,HVA,point,130,0.000626033141,0.576923077,1.00154024,0.153846154,0.0692307692,27.8239582,5.69156176
744228101,V1,aperture,56,1.26052736e-05,0.553571429,0.997211965,0.214285714,0.267857143,138.18503,12.3542978
744228101,V1,point,56,-0.000394726101,0.428571429,0.994454332,0.0178571429,0.0178571429,8.8279366,0.353423163
746083955,HVA,aperture,273,0.00034005708,0.586080586,1.00063213,0.194139194,0.216117216,853.364082,60.8885469
746083955,HVA,point,273,0.000263371029,0.586080586,1.00050002,0.113553114,0.0879120879,55.1530641,3.36034133
746083955,V1,aperture,45,-0.000163230488,0.422222222,1,0.266666667,0.288888889,106.613855,11.2074135
746083955,V1,point,45,-0.000448357804,0.333333333,1.00109253,0.0444444444,0.0888888889,7.90950724,0.692416785
750332458,HVA,aperture,299,0.00037205826,0.575250836,0.998601686,0.190635452,0.173913043,746.475488,50.0234253
750332458,HVA,point,299,0.000372998991,0.598662207,1.00072877,0.0836120401,0.0568561873,51.2380931,0.951264007
750332458,V1,aperture,103,8.69076046e-06,0.533980583,0.995215543,0.213592233,0.252427184,249.313443,9.02025314
750332458,V1,point,103,-1.21183136e-05,0.495145631,0.993900132,0.0194174757,0.0388349515,18.6472289,0.749085614
750749662,HVA,aperture,240,0.000130035841,0.55,0.999811519,0.2375,0.191666667,583.886842,10.8008148
750749662,HVA,point,240,7.82175999e-05,0.541666667,1.00062288,0.158333333,0.0916666667,44.3021853,2.66199423
750749662,V1,aperture,92,-0.000132463678,0.434782609,0.998512097,0.184782609,0.27173913,281.92611,51.4745204
750749662,V1,point,92,-7.61671177e-05,0.434782609,0.999550344,0.0108695652,0.0434782609,19.5838723,2.54016507
751348571,HVA,aperture,284,0.000473334293,0.61971831,1.00005011,0.207746479,0.207746479,767.077536,24.3784443
751348571,HVA,point,284,0.000585900996,0.61971831,1.00050551,0.10915493,0.13028169,55.5451434,3.54427039
751348571,V1,aperture,74,0.000295695178,0.594594595,0.997812922,0.189189189,0.243243243,187.040298,9.65522143
751348571,V1,point,74,0.000149449939,0.540540541,0.997925299,0.027027027,0.0405405405,13.6635381,0.701032616
754312389,HVA,aperture,214,0.00053193967,0.574766355,1.00239667,0.163551402,0.191588785,497.040293,11.3402393
754312389,HVA,point,214,0.000378524257,0.560747664,1.0021478,0.102803738,0.102803738,35.2905574,0.643491788
754312389,V1,aperture,144,0.000247722465,0.604166667,1.00042118,0.236111111,0.319444444,356.1743,16.0127907
754312389,V1,point,144,0.00030627825,0.590277778,0.998611946,0.0138888889,0.0347222222,28.7027291,3.78253787
754829445,HVA,aperture,119,0.000208738936,0.588235294,0.999061881,0.394957983,0.302521008,340.219218,11.9751689
754829445,HVA,point,119,0.000210108901,0.579831933,0.996960765,0.285714286,0.159663866,24.5261048,0.960585519
754829445,V1,aperture,141,0.000364638341,0.588652482,1.00368448,0.290780142,0.340425532,496.746188,118.791792
754829445,V1,point,141,0.000235013828,0.553191489,1.00085065,0.0638297872,0.085106383,29.6397548,1.09601526
755434585,HVA,aperture,337,0.000345573047,0.578635015,1.00032218,0.192878338,0.189910979,789.676589,14.7075023
755434585,HVA,point,337,0.00034678296,0.56379822,1.0028786,0.103857567,0.0949554896,57.6505135,0.925655261
755434585,V1,aperture,142,0.00017347986,0.591549296,0.999580082,0.246478873,0.288732394,346.754294,13.1776972
755434585,V1,point,142,0.00036872524,0.563380282,0.995173527,0.014084507,0.0352112676,25.411923,1.08080294
756029989,HVA,aperture,335,0.000434086196,0.594029851,1,0.208955224,0.220895522,798.214621,10.5224182
756029989,HVA,point,335,0.000428256932,0.579104478,0.999956785,0.110447761,0.0835820896,60.8974097,1.22177597
756029989,V1,aperture,90,-9.21727384e-05,0.444444444,0.999776185,0.266666667,0.288888889,208.898878,8.21017247
756029989,V1,point,90,-0.000184935689,0.444444444,0.993242333,0,0.0111111111,19.4420681,2.44679965
757216464,HVA,aperture,289,0.000415460811,0.577854671,1.00202991,0.249134948,0.224913495,741.320795,19.3680859
757216464,HVA,point,289,0.000312998312,0.557093426,1.00247555,0.121107266,0.0968858131,53.4843066,3.42397575
757216464,V1,aperture,150,2.95457978e-06,0.546666667,0.999998442,0.3,0.36,419.878952,16.9287172
757216464,V1,point,150,-4.61436951e-05,0.466666667,0.992338183,0.0133333333,0.0466666667,45.0128551,12.6333475
757970808,HVA,aperture,236,0.000241347832,0.588983051,1.00041968,0.233050847,0.224576271,574.112399,15.1197994
757970808,HVA,point,236,0.000218055521,0.580508475,1.00146261,0.131355932,0.0974576271,42.5168608,0.991995206
757970808,V1,aperture,150,-1.53775008e-06,0.473333333,0.997534822,0.206666667,0.253333333,390.973691,22.4175199
757970808,V1,point,150,1.0123665e-06,0.506666667,0.998233581,0.0266666667,0.0533333333,28.5691522,3.0529537
758798717,HVA,aperture,221,0.000248673189,0.574660633,0.997222336,0.190045249,0.20361991,560.538306,20.7677544
758798717,HVA,point,221,0.000284555662,0.583710407,0.996610277,0.0995475113,0.0950226244,39.9385588,1.10298756
758798717,V1,aperture,83,0.000572122434,0.638554217,0.985531626,0.168674699,0.21686747,206.211508,6.7417417
758798717,V1,point,83,0.000674872604,0.674698795,0.997613835,0.0120481928,0.0240963855,14.1700733,0.416455211
759883607,HVA,aperture,219,0.000431874737,0.602739726,1.00106066,0.187214612,0.191780822,513.089406,15.2271748
759883607,HVA,point,219,0.000371979503,0.611872146,1.00092412,0.0776255708,0.0639269406,40.1895558,1.69604774
