ecephys_unit_id,group,ecephys_structure_acronym,unit_split,candidate,gain_x,gain_y,control,shuffle,success,optimizer_status,center_bound,sigma_upper_bound,censored,baseline_spikes,mean_amplitude_spikes,peak_spikes,center_x_deg,center_y_deg,sigma_x_deg,sigma_y_deg,major_sigma_deg,halfmax_area_deg2,train_poisson_deviance,test_poisson_deviance,train_anscombe_rmse,test_anscombe_rmse,nominal_test_poisson_deviance,nominal_test_anscombe_rmse,nominal_halfmax_area_deg2,nominal_mean_amplitude_spikes,test_deviance_improvement,test_anscombe_rmse_improvement,log2_area_ratio,log2_amplitude_ratio,fit_scope
951868526,HVA,VISal,evaluation,gain_x_0_gain_y_0,0,0,False,False,True,2,False,False,False,0.066885307,0.12641303,0.24645637,-23.967908,22.545183,21.238349,21.292215,21.292215,1969.4589,0.70956408,0.65401306,0.45688728,0.43561357,0.65401306,0.43561357,1969.4589,0.12641303,0,0,0,0,gain_sweep_qc
951868526,HVA,VISal,evaluation,gain_x_0_gain_y_0.5,0,0.5,False,False,True,2,False,False,False,0.066606023,0.1259405,0.24415812,-23.918455,22.324255,21.345809,21.52868,21.52868,2001.4067,0.70959238,0.65463484,0.45691614,0.43576844,0.65401306,0.43561357,1969.4589,0.12641303,-0.00062177562,-0.00015487859,0.023215049,-0.0054028574,gain_sweep_qc
951868545,HVA,VISal,evaluation,gain_x_0_gain_y_0,0,0,False,False,True,2,False,True,True,0.34775648,0.61148171,1.1714633,-30.206723,50.747887,50,17.669459,50,3847.6769,1.4753423,1.3565433,0.84035063,0.80092181,1.3565433,0.80092181,3847.6769,0.61148171,0,0,0,0,gain_sweep_qc
951868545,HVA,VISal,evaluation,gain_x_0_gain_y_0.5,0,0.5,False,False,True,2,False,True,True,0.34888925,0.54787466,1.0883474,-30.944526,46.106715,50,15.55907,50,3388.1215,1.4747018,1.3576415,0.84026209,0.80137601,1.3565433,0.80092181,3847.6769,0.61148171,-0.0010982696,-0.00045419974,-0.18350206,-0.1584632,gain_sweep_qc
951868575,HVA,VISal,evaluation,gain_x_0_gain_y_0,0,0,False,False,True,2,False,False,False,1.298742,0.80568049,2.2305084,47.999844,-22.151718,46.789269,17.540843,46.789269,3574.391,2.486579,2.3904624,1.3391971,1.3034265,2.3904624,1.3034265,3574.391,0.80568049,0,0,0,0,gain_sweep_qc
951868575,HVA,VISal,evaluation,gain_x_0_gain_y_0.5,0,0.5,False,False,True,2,False,False,False,1.3051588,0.80770178,2.2480404,48.122386,-21.623826,45.911619,17.000436,45.911619,3399.2883,2.4874949,2.3897939,1.3394383,1.3031564,2.3904624,1.3034265,3574.391,0.80568049,0.00066849702,0.00027009695,-0.072464726,0.0036149011,gain_sweep_qc
951868604,HVA,VISal,calibration,gain_x_0_gain_y_0,0,0,False,False,True,2,True,False,True,3.5944679,2.836958,6.8487964,15.10529,60,35.932075,23.289445,35.932075,3644.574,0.67499443,0.6865674,0.78151313,0.79417557,0.6865674,0.79417557,3644.574,2.836958,0,0,0,0,gain_sweep_qc
951868604,HVA,VISal,calibration,gain_x_0_gain_y_0.5,0,0.5,False,False,True,2,True,False,True,3.5956989,2.7712409,6.7820436,15.31968,60,35.739136,23.702468,35.739136,3689.2914,0.67688159,0.68775814,0.78264165,0.79485407,0.6865674,0.79417557,3644.574,2.836958,-0.0011907311,-0.00067849599,0.01759353,-0.033812646,gain_sweep_qc
951868614,HVA,VISal,evaluation,gain_x_0_gain_y_0,0,0,False,False,True,2,False,False,False,1.277798,1.6517265,3.3234958,-33.845983,-17.960318,6.4110797,5.9098029,6.4110797,165.00971,2.8694841,2.943612,1.4108162,1.4287564,2.943612,1.4287564,165.00971,1.6517265,0,0,0,0,gain_sweep_qc
951868614,HVA,VISal,evaluation,gain_x_0_gain_y_0.5,0,0.5,False,False,True,2,False,False,False,1.2750879,1.5324759,3.1484037,-33.765297,-18.662178,6.7199831,6.4443971,6.7199831,188.60613,2.8698084,2.9443938,1.4108311,1.428933,2.943612,1.4287564,165.00971,1.6517265,-0.0007818105,-0.00017658075,0.19282565,-0.10811031,gain_sweep_qc
