stimulus_presentation_id,color,contrast,frame,orientation,phase,size,spatial_frequency,start_time,stimulus_block,stimulus_name,stop_time,temporal_frequency,x_position,y_position,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1,null,0.8,null,90.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.08,94.853334,0.0,gabors,95.086848,4.0,40.0,20.0,0.23351358,1,0.56446328,-0.051154756,7,0.33011299,True,0,train,2
2,null,0.8,null,45.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.08,95.086848,0.0,gabors,95.337041,4.0,0.0,-10.0,0.25019312,2,0.71115657,-0.04687379,7,0.34080079,True,0,train,1
3,null,0.8,null,0.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.08,95.337041,0.0,gabors,95.587234,4.0,10.0,-20.0,0.25019312,3,0.76547844,0.20717733,8,0.27982914,True,0,train,0
4,null,0.8,null,45.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.08,95.587234,0.0,gabors,95.837427,4.0,20.0,-40.0,0.25019312,4,0.6359102,0.037848314,7,0.77069787,True,0,train,1
5,null,0.8,null,0.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.08,95.837427,0.0,gabors,96.087641,4.0,0.0,0.0,0.25021426,5,0.3274578,4.4257446,8,0.54702817,True,0,train,0
6,null,0.8,null,0.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.08,96.087641,0.0,gabors,96.337856,4.0,30.0,-30.0,0.25021426,6,0.20834407,4.7194728,7,0.36706713,True,0,train,0
7,null,0.8,null,0.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.08,96.337856,0.0,gabors,96.58807,4.0,0.0,10.0,0.25021426,7,-0.10191602,4.1270534,8,0.5994307,True,0,train,0
8,null,0.8,null,90.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.08,96.58807,0.0,gabors,96.838284,4.0,-40.0,-30.0,0.25021426,8,-0.18326927,2.4390368,7,0.11522676,True,0,train,2
9,null,0.8,null,45.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.08,96.838284,0.0,gabors,97.088487,4.0,10.0,10.0,0.25020324,9,-0.42298055,2.340306,8,1.0524573,True,0,train,1
10,null,0.8,null,0.0,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.08,97.088487,0.0,gabors,97.338691,4.0,30.0,-40.0,0.25020324,10,-0.42753156,1.564476,7,0.91161565,True,0,train,0
