candidate,gain_x,gain_y,control,calibration_units,median_test_deviance_improvement,fraction_test_deviance_improved,median_test_rmse_improvement,median_log2_area_ratio,median_log2_amplitude_ratio,failure_or_censored_fraction
gain_x_0_gain_y_0.5,0,0.5,False,158,0.00010967351,0.53797468,3.7098887e-05,0.001596817,0.0016008107,0.10759494
gain_x_0_gain_y_0,0,0,False,158,0,0,0,0,0,0.10759494
gain_x_0_gain_y_1,0,1,False,158,-0.00019669066,0.46202532,-2.2170823e-05,1.1623995e-05,0.00024653544,0.10126582
gain_x_0.5_gain_y_0,0.5,0,False,158,-0.00027045376,0.34810127,-0.00010044028,-0.001036824,0.00085492099,0.11392405
gain_x_0.5_gain_y_0.5,0.5,0.5,False,158,-0.00041877287,0.36708861,-8.7319027e-05,0.0027173715,0.00049472626,0.11392405
gain_x_0_gain_y_1.5,0,1.5,False,158,-0.00053932658,0.42405063,-0.00021799433,0.0060789026,-0.0027089641,0.10759494
gain_x_1_gain_y_0,1,0,False,158,-0.00067191645,0.34810127,-0.00025358094,0.00112044,-0.0019737319,0.094936709
sign_reversed,-1,-1,True,158,-0.00082101053,0.36708861,-0.00035776543,0.008368639,-0.012657704,0.10759494
gain_x_0.5_gain_y_1,0.5,1,False,158,-0.00086207668,0.34810127,-0.0002320919,0.0031905424,0.00059276383,0.10759494
gain_x_1_gain_y_0.5,1,0.5,False,158,-0.00093354426,0.35443038,-0.00025282121,0.0063559022,-0.0036886124,0.094936709
gain_x_1_gain_y_1,1,1,False,158,-0.0012458455,0.33544304,-0.00043770294,0.0041133517,-0.0047472398,0.088607595
gain_x_1.5_gain_y_0,1.5,0,False,158,-0.0012732742,0.32278481,-0.00048107782,0.0068333098,-0.0055845099,0.094936709
time_shuffled,1,1,True,158,-0.0012799435,0.3164557,-0.00036571257,0.015647095,-0.0095748303,0.12025316
gain_x_0.5_gain_y_1.5,0.5,1.5,False,158,-0.0014162279,0.32911392,-0.00051580259,0.0088465577,-0.0033027457,0.10126582
gain_x_1.5_gain_y_0.5,1.5,0.5,False,158,-0.001472234,0.3164557,-0.00048348641,0.014014834,-0.0091942774,0.094936709
gain_x_1_gain_y_1.5,1,1.5,False,158,-0.0018492219,0.32278481,-0.00071587648,0.0075623001,-0.0067116606,0.10126582
gain_x_1.5_gain_y_1,1.5,1,False,158,-0.0018811942,0.29113924,-0.0006136148,0.011398567,-0.0087014553,0.088607595
gain_x_1.5_gain_y_1.5,1.5,1.5,False,158,-0.0024583321,0.27848101,-0.0010289681,0.018186604,-0.013962115,0.10126582
