stimulus_presentation_id,stimulus_block,start_time,stop_time,size,x_position,color,contrast,spatial_frequency,y_position,stimulus_name,temporal_frequency,orientation,phase,frame,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1,0.0,84.653957,84.887484,"[20.0, 20.0]",10.0,null,0.8,0.08,40.0,gabors,4.0,45.0,"[3644.93333333, 3644.93333333]",null,0.23352616,1,0.11418814,-4.1246565,7,0.16997959,True,0,train,1
2,0.0,84.887484,85.13769,"[20.0, 20.0]",0.0,null,0.8,0.08,-10.0,gabors,4.0,45.0,"[3644.93333333, 3644.93333333]",null,0.2502066,2,-0.053383288,-3.9244535,7,0.2266925,True,0,train,1
3,0.0,85.13769,85.387897,"[20.0, 20.0]",20.0,null,0.8,0.08,10.0,gabors,4.0,90.0,"[3644.93333333, 3644.93333333]",null,0.2502066,3,-0.24638193,-3.7917084,7,0.28987887,True,0,train,2
4,0.0,85.387897,85.638103,"[20.0, 20.0]",20.0,null,0.8,0.08,10.0,gabors,4.0,90.0,"[3644.93333333, 3644.93333333]",null,0.2502066,3,-0.3995011,-3.827417,7,0.23915195,True,1,train,2
5,0.0,85.638103,85.888314,"[20.0, 20.0]",0.0,null,0.8,0.08,-30.0,gabors,4.0,45.0,"[3644.93333333, 3644.93333333]",null,0.25021101,4,-0.74298972,-4.1157409,8,0.19383832,True,0,train,1
6,0.0,85.888314,86.138525,"[20.0, 20.0]",10.0,null,0.8,0.08,10.0,gabors,4.0,0.0,"[3644.93333333, 3644.93333333]",null,0.25021101,5,-0.43938347,-3.8641909,7,0.29754847,True,0,train,0
7,0.0,86.138525,86.388736,"[20.0, 20.0]",-20.0,null,0.8,0.08,20.0,gabors,4.0,90.0,"[3644.93333333, 3644.93333333]",null,0.25021101,6,-0.27521085,-3.930211,8,0.19814616,True,0,train,2
8,0.0,86.388736,86.638947,"[20.0, 20.0]",10.0,null,0.8,0.08,40.0,gabors,4.0,90.0,"[3644.93333333, 3644.93333333]",null,0.25021101,7,-0.80336047,-4.1026551,7,0.24974246,True,0,train,2
9,0.0,86.638947,86.889154,"[20.0, 20.0]",-40.0,null,0.8,0.08,-30.0,gabors,4.0,90.0,"[3644.93333333, 3644.93333333]",null,0.25020649,8,,,1,,False,0,train,2
10,0.0,86.889154,87.13936,"[20.0, 20.0]",30.0,null,0.8,0.08,30.0,gabors,4.0,45.0,"[3644.93333333, 3644.93333333]",null,0.25020649,9,0.21393721,2.7146841,6,0.21647615,True,0,train,1
11,0.0,87.13936,87.389567,"[20.0, 20.0]",-30.0,null,0.8,0.08,0.0,gabors,4.0,45.0,"[3644.93333333, 3644.93333333]",null,0.25020649,10,0.0063893832,2.4842128,8,0.15516226,True,0,train,1
12,0.0,87.389567,87.639773,"[20.0, 20.0]",0.0,null,0.8,0.08,10.0,gabors,4.0,45.0,"[3644.93333333, 3644.93333333]",null,0.25020649,11,,,0,,False,0,train,1
13,0.0,87.639773,87.889989,"[20.0, 20.0]",-10.0,null,0.8,0.08,-40.0,gabors,4.0,90.0,"[3644.93333333, 3644.93333333]",null,0.25021601,12,,,0,,False,0,train,2
14,0.0,87.889989,88.140205,"[20.0, 20.0]",40.0,null,0.8,0.08,20.0,gabors,4.0,90.0,"[3644.93333333, 3644.93333333]",null,0.25021601,13,,,0,,False,0,train,2
15,0.0,88.140205,88.390421,"[20.0, 20.0]",30.0,null,0.8,0.08,-20.0,gabors,4.0,90.0,"[3644.93333333, 3644.93333333]",null,0.25021601,14,0.2419919,1.935657,3,0.26800794,True,0,train,2
16,0.0,88.390421,88.640637,"[20.0, 20.0]",20.0,null,0.8,0.08,20.0,gabors,4.0,45.0,"[3644.93333333, 3644.93333333]",null,0.25021601,15,,,0,,False,0,train,1
17,0.0,88.640637,88.890841,"[20.0, 20.0]",10.0,null,0.8,0.08,-10.0,gabors,4.0,45.0,"[3644.93333333, 3644.93333333]",null,0.25020399,16,,,0,,False,0,train,1
18,0.0,88.890841,89.141045,"[20.0, 20.0]",10.0,null,0.8,0.08,40.0,gabors,4.0,90.0,"[3644.93333333, 3644.93333333]",null,0.25020399,7,,,0,,False,1,train,2
19,0.0,89.141045,89.391249,"[20.0, 20.0]",30.0,null,0.8,0.08,10.0,gabors,4.0,90.0,"[3644.93333333, 3644.93333333]",null,0.25020399,17,,,0,,False,0,train,2
20,0.0,89.391249,89.641453,"[20.0, 20.0]",0.0,null,0.8,0.08,30.0,gabors,4.0,45.0,"[3644.93333333, 3644.93333333]",null,0.25020399,18,,,0,,False,0,train,1
21,0.0,89.641453,89.891659,"[20.0, 20.0]",-40.0,null,0.8,0.08,30.0,gabors,4.0,45.0,"[3644.93333333, 3644.93333333]",null,0.25020601,19,,,0,,False,0,train,1
22,0.0,89.891659,90.141865,"[20.0, 20.0]",-20.0,null,0.8,0.08,-30.0,gabors,4.0,45.0,"[3644.93333333, 3644.93333333]",null,0.25020601,20,-0.046164994,1.8958656,4,0.23859407,True,0,train,1
23,0.0,90.141865,90.392071,"[20.0, 20.0]",-30.0,null,0.8,0.08,40.0,gabors,4.0,90.0,"[3644.93333333, 3644.93333333]",null,0.25020601,21,,,1,,False,0,train,2
24,0.0,90.392071,90.642277,"[20.0, 20.0]",-10.0,null,0.8,0.08,-40.0,gabors,4.0,0.0,"[3644.93333333, 3644.93333333]",null,0.25020601,22,0.26200204,4.7962439,7,0.19366358,True,0,train,0
25,0.0,90.642277,90.892486,"[20.0, 20.0]",-20.0,null,0.8,0.08,-10.0,gabors,4.0,90.0,"[3644.93333333, 3644.93333333]",null,0.25020899,23,,,1,,False,0,train,2
26,0.0,90.892486,91.142695,"[20.0, 20.0]",40.0,null,0.8,0.08,30.0,gabors,4.0,90.0,"[3644.93333333, 3644.93333333]",null,0.25020899,24,-0.61723972,-5.4703711,7,0.40900351,True,0,train,2
27,0.0,91.142695,91.392904,"[20.0, 20.0]",0.0,null,0.8,0.08,30.0,gabors,4.0,0.0,"[3644.93333333, 3644.93333333]",null,0.25020899,25,-0.47559431,-5.2809175,8,0.30884736,True,0,train,0
28,0.0,91.392904,91.643113,"[20.0, 20.0]",0.0,null,0.8,0.08,20.0,gabors,4.0,45.0,"[3644.93333333, 3644.93333333]",null,0.25020899,26,,,2,,False,0,train,1
29,0.0,91.643113,91.893337,"[20.0, 20.0]",30.0,null,0.8,0.08,-10.0,gabors,4.0,0.0,"[3644.93333333, 3644.93333333]",null,0.25022351,27,,,2,,False,0,train,0
30,0.0,91.893337,92.14356,"[20.0, 20.0]",-10.0,null,0.8,0.08,-20.0,gabors,4.0,0.0,"[3644.93333333, 3644.93333333]",null,0.25022351,28,,,0,,False,0,train,0
31,0.0,92.14356,92.393784,"[20.0, 20.0]",30.0,null,0.8,0.08,20.0,gabors,4.0,90.0,"[3644.93333333, 3644.93333333]",null,0.25022351,29,,,0,,False,0,train,2
32,0.0,92.393784,92.644007,"[20.0, 20.0]",-40.0,null,0.8,0.08,-20.0,gabors,4.0,0.0,"[3644.93333333, 3644.93333333]",null,0.25022351,30,,,0,,False,0,train,0
33,0.0,92.644007,92.894204,"[20.0, 20.0]",0.0,null,0.8,0.08,10.0,gabors,4.0,45.0,"[3644.93333333, 3644.93333333]",null,0.25019649,11,,,1,,False,1,train,1
34,0.0,92.894204,93.1444,"[20.0, 20.0]",-20.0,null,0.8,0.08,0.0,gabors,4.0,90.0,"[3644.93333333, 3644.93333333]",null,0.25019649,31,,,0,,False,0,train,2
35,0.0,93.1444,93.394597,"[20.0, 20.0]",-30.0,null,0.8,0.08,0.0,gabors,4.0,45.0,"[3644.93333333, 3644.93333333]",null,0.25019649,10,,,0,,False,1,train,1
36,0.0,93.394597,93.644793,"[20.0, 20.0]",-10.0,null,0.8,0.08,30.0,gabors,4.0,45.0,"[3644.93333333, 3644.93333333]",null,0.25019649,32,,,0,,False,0,train,1
37,0.0,93.644793,93.895007,"[20.0, 20.0]",-20.0,null,0.8,0.08,-30.0,gabors,4.0,90.0,"[3644.93333333, 3644.93333333]",null,0.25021351,33,,,1,,False,0,train,2
38,0.0,93.895007,94.14522,"[20.0, 20.0]",40.0,null,0.8,0.08,-30.0,gabors,4.0,90.0,"[3644.93333333, 3644.93333333]",null,0.25021351,34,,,0,,False,0,train,2
39,0.0,94.14522,94.395434,"[20.0, 20.0]",20.0,null,0.8,0.08,40.0,gabors,4.0,45.0,"[3644.93333333, 3644.93333333]",null,0.25021351,35,,,0,,False,0,train,1
40,0.0,94.395434,94.645647,"[20.0, 20.0]",30.0,null,0.8,0.08,-40.0,gabors,4.0,0.0,"[3644.93333333, 3644.93333333]",null,0.25021351,36,,,0,,False,0,train,0
41,0.0,94.645647,94.895851,"[20.0, 20.0]",40.0,null,0.8,0.08,30.0,gabors,4.0,45.0,"[3644.93333333, 3644.93333333]",null,0.25020399,37,,,0,,False,0,train,1
42,0.0,94.895851,95.146055,"[20.0, 20.0]",-10.0,null,0.8,0.08,-20.0,gabors,4.0,0.0,"[3644.93333333, 3644.93333333]",null,0.25020399,28,-0.18102813,2.7931452,3,0.25882029,True,1,train,0
