stimulus_presentation_id,stimulus_block,start_time,stop_time,color,orientation,contrast,spatial_frequency,frame,stimulus_name,size,temporal_frequency,x_position,y_position,phase,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1,0.0,78.836334,79.069855,null,45.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,10.0,-10.0,"[3644.93333333, 3644.93333333]",0.23352042,1,,,2,,False,0,train,1
2,0.0,79.069855,79.320055,null,0.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,-40.0,-30.0,"[3644.93333333, 3644.93333333]",0.25020045,2,,,1,,False,0,train,0
3,0.0,79.320055,79.570255,null,45.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,-10.0,-40.0,"[3644.93333333, 3644.93333333]",0.25020045,3,,,1,,False,0,train,1
4,0.0,79.570255,79.820456,null,45.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,0.0,-10.0,"[3644.93333333, 3644.93333333]",0.25020045,4,-0.43354329,-0.27543921,4,0.12264764,True,0,train,1
5,0.0,79.820456,80.070673,null,45.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,30.0,-10.0,"[3644.93333333, 3644.93333333]",0.25021706,5,-0.67901679,-2.1523646,4,0.21044194,True,0,train,1
6,0.0,80.070673,80.32089,null,0.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,-10.0,40.0,"[3644.93333333, 3644.93333333]",0.25021706,6,-0.84777789,-2.0079293,3,0.087980003,True,0,train,0
7,0.0,80.32089,80.571107,null,45.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,10.0,30.0,"[3644.93333333, 3644.93333333]",0.25021706,7,-0.66120575,-1.8462123,7,0.16865903,True,0,train,1
8,0.0,80.571107,80.821324,null,0.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,-20.0,-40.0,"[3644.93333333, 3644.93333333]",0.25021706,8,,,2,,False,0,train,0
9,0.0,80.821324,81.071527,null,0.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,30.0,-30.0,"[3644.93333333, 3644.93333333]",0.25020294,9,-0.85834916,-1.9603177,6,0.22028888,True,0,train,0
10,0.0,81.071527,81.32173,null,45.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,-30.0,40.0,"[3644.93333333, 3644.93333333]",0.25020294,10,-0.79387507,-1.8617836,8,0.14504203,True,0,train,1
