ecephys_unit_id,L_ratio,age_in_days,amplitude_cutoff,anterior_posterior_ccf_coordinate,area_rf,azimuth_rf,c50_dg,cumulative_drift,d_prime,date_of_acquisition,dorsal_ventral_ccf_coordinate,ecephys_channel_id,ecephys_probe_id,ecephys_session_id,ecephys_structure_acronym,ecephys_structure_id,elevation_rf,f1_f0_dg,fano_dg,fano_dm,fano_fl,fano_ns,fano_rf,fano_sg,firing_rate,firing_rate_dg,firing_rate_dm,firing_rate_fl,firing_rate_ns,firing_rate_rf,firing_rate_sg,g_dsi_dg,g_osi_dg,g_osi_sg,genotype,has_lfp_data,height_rf,image_selectivity_ns,isi_violations,isolation_distance,left_right_ccf_coordinate,lfp_sampling_rate,lifetime_sparseness_dg,lifetime_sparseness_dm,lifetime_sparseness_fl,lifetime_sparseness_ns,lifetime_sparseness_rf,lifetime_sparseness_sg,local_index,max_drift,mod_idx_dg,name,nn_hit_rate,nn_miss_rate,on_off_ratio_fl,on_screen_rf,p_value_rf,phase,pref_dir_dm,pref_dir_multi_dm,pref_image_ns,pref_images_multi_ns,pref_ori_dg,pref_ori_multi_dg,pref_ori_multi_sg,pref_ori_sg,pref_phase_multi_sg,pref_phase_sg,pref_sf_multi_sg,pref_sf_sg,pref_speed_dm,pref_speed_multi_dm,pref_tf_dg,pref_tf_multi_dg,presence_ratio,probe_horizontal_position,probe_vertical_position,published_at,quality,run_mod_dg,run_mod_dm,run_mod_fl,run_mod_ns,run_mod_rf,run_mod_sg,run_pval_dg,run_pval_dm,run_pval_fl,run_pval_ns,run_pval_rf,run_pval_sg,sampling_rate,session_type,sex,silhouette_score,snr,specimen_id,sustained_idx_fl,time_to_peak_dm,time_to_peak_fl,time_to_peak_ns,time_to_peak_rf,time_to_peak_sg,waveform_PT_ratio,waveform_amplitude,waveform_duration,waveform_halfwidth,waveform_recovery_slope,waveform_repolarization_slope,waveform_spread,waveform_velocity_above,waveform_velocity_below,width_rf,time_to_first_spike_fl,cortical_depth,cortical_layer,area,session,timescale_ac,err_ac,spike_count_ac,timescale_it,err_it,spike_count_it,group,published_like_qc,unit_split
951768700,0.0076849387,110,0.5,,0,,,210.52,3.8119217,2018-10-26T19:59:23Z,,850084704,769322833,760693773,VISrl,417,,1.1214592,6.7087719,,0.97333333,1.7195745,0.86666667,5.3769883,1.2582597,0.93668366,,0.053289467,2.1534935,0.0745618,1.9570304,0.14870548,0.03841653,0.092759167,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,True,38.061033,0.11584746,0.024428551,50.209955,,1250.0018,0.12426307,,1,0.078246184,0.77666273,0.067821287,263,10,0.99949587,probeF,0.98674242,0.00010179153,,False,0.78,3a,,,4972,False,225,False,False,30,False,0.25,False,0.32,,,4,False,0.99,27,2640,2019-10-03T00:00:00Z,good,0.25,,1,-0.071428571,,-0.16666667,0.67038533,,0.15887819,0.85669997,,0.77556065,30000.043,brain_observatory_1.1,F,0.072041028,3.2995724,738651054,0.0080321285,,0.1055,0.0475,0.0865,0.0365,0.17437075,133.10817,0.28844221,0.096147404,-0.050727431,0.4768886,20,,-1.3735343,1397.9824,0.132,0,0,,,,,,,,,HVA,False,descriptive
951768732,0.014260246,110,0.5,,500,22,,795.03,4.5724696,2018-10-26T19:59:23Z,,850084716,769322833,760693773,VISrl,417,-24,0.32808298,3.9171171,,0.80666667,7.4788235,0.84348607,3.0192357,6.9036086,5.5025532,,2.7444076,5.1385606,19.238041,5.2789196,0.10975307,0.098819954,0.18831002,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,True,26.650151,0.56815254,0.097379418,92.246629,,1250.0018,0.06839987,,0.00018850141,0.13639902,0.45541366,0.15244376,269,35.76,0.374646,probeF,0.82933333,0.027421652,,False,0,3a,,,4967,False,225,False,False,60,False,0.75,False,0.08,,,2,False,0.99,11,2700,2019-10-03T00:00:00Z,good,0.18677043,,0.61142857,-0.37209302,,0.3677686,0.28612122,,0.056243436,0.22560245,,0.11231133,30000.043,brain_observatory_1.1,F,0.11406839,1.4096136,738651054,0.10441767,,0.0085,0.1255,0.1515,0.0545,10.051337,111.90231,0.43953099,0.17855946,-0.025500159,0.4376945,30,0,1.3735343,77.78317,0.135,0,0,VISrl,7.6069377e+08,1000,5847.0495,99,1.0000001,0,354,HVA,True,calibration
951768775,0.0040682205,110,0.0064903469,,100,40,,271.16,4.5500356,2018-10-26T19:59:23Z,,850084718,769322833,760693773,VISrl,417,20,1.1702909,2.8300469,,1.7873139,1.5582609,9.3333333,0.95265152,0.57960017,0.5591509,,5.6220388,0.78052385,0.24232585,0.2258112,0.1420974,0.16574645,0.11292763,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,True,48.0908,0.57283051,0.11512808,52.221021,,1250.0018,0.35451979,,0.95148489,0.4697965,0.73822668,0.45714286,270,26.37,0.10874403,probeF,0.74631268,0.0011125721,,True,0.22,3a,,,4910,False,90,False,False,120,False,0.25,False,0.02,,,1,False,0.99,59,2720,2019-10-03T00:00:00Z,good,0.2,,0.29166667,-0.2097561,1,0.73076923,0.56488972,,0.39655745,0.62447602,0.3388007,0.081016824,30000.043,brain_observatory_1.1,F,0.15741699,3.0388832,738651054,0.091477019,,0.0625,0.0865,0.1185,0.1605,0.44042975,121.52926,0.75544389,0.15108878,-0.044927269,0.36734506,50,0.61809045,-0.68676717,46.732756,0.066,0,0,,,,,,,,,HVA,False,descriptive
951768787,5.4095169e-05,110,0.052935516,,0,,,1228.04,6.0615138,2018-10-26T19:59:23Z,,850084718,769322833,760693773,VISrl,417,,0.52542359,1.7793651,,0.97333333,1.7971429,0.86666667,1.4967105,1.0334156,2.8338784,,0.079934201,0.71738337,0.016447456,1.7125681,0.044044036,0.16251451,0.13390468,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,True,28.491714,0.35501695,0.036214975,77.843443,,1250.0018,0.20456046,,0.2,0.31422768,0.94944093,0.25616708,270,79.17,1.1879505,probeF,1,0.00013487086,,True,0.535,3a,,,5021,False,135,False,False,150,False,0.25,False,0.02,,,15,False,0.97,59,2720,2019-10-03T00:00:00Z,good,-0.29545455,,-0.89705882,-0.89602054,,-0.62941176,0.33662682,,0.40588461,0.0011046962,,0.00017916266,30000.043,brain_observatory_1.1,F,0.043805142,3.3729515,738651054,0.0080321285,,0.1125,0.2065,0.1525,0.1015,1.4683001,124.98193,0.13735343,0.096147404,-0.14956405,0.37999147,40,0,0,,0.117,0,0,,,,,,,,,HVA,False,descriptive
951768798,0.015522576,110,0.067546467,,300,63.333,,1316.12,4.5684448,2018-10-26T19:59:23Z,,850084718,769322833,760693773,VISrl,417,3.333,0.84938116,3.9904762,,1.0086275,1.66,1.3333333,1.9695238,0.95808929,1.1781352,,0.63947361,1.1110038,0.57895044,1.0284734,0.25184569,0.45494831,0.34940328,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,True,146.27773,0.68383051,0.42133378,42.923491,,1250.0018,0.43744257,,0.29585799,0.25999524,0.40785894,0.24779292,270,38.35,6.3379889,probeF,0.92248062,0.00020261372,,False,0.291,3a,,,4980,False,180,False,False,30,False,0,False,0.04,,,2,False,0.99,59,2720,2019-10-03T00:00:00Z,good,,,-0.51960784,0.26984127,,0.87195122,,,0.32428628,0.64705201,,0.0012018837,30000.043,brain_observatory_1.1,F,0.098064116,2.1083837,738651054,0.034136546,,0.0895,0.1035,0.0085,0.0045,3.946069,83.54034,0.61809045,0.096147404,-0.014269448,-0.029501084,30,-11.675042,11.675042,69.501877,0.091,0,0,,,,,,,,,HVA,False,descriptive
951768826,0.0018147877,110,0.0019022179,,300,13.333,,141.91,5.3800501,2018-10-26T19:59:23Z,,850084720,769322833,760693773,VISrl,417,-16.667,0.29831243,4.4434261,,1.025641,0.86112994,0.47816092,0.99404762,4.5728255,4.5690465,,2.7710523,3.9590427,5.9353386,2.8989096,0.083340905,0.63555072,0.41926314,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,True,707.45326,0.56227119,0.0073982496,74.219612,,1250.0018,0.54803824,,0.11764706,0.23913012,0.11346266,0.4298721,271,13.54,3.6954343,probeF,0.98666667,0.00087811732,,False,0,3a,,,4963,False,90,False,False,90,False,0,False,0.16,,,2,False,0.99,27,2720,2019-10-03T00:00:00Z,good,,,0.84821429,0.55324675,,-0.046439628,,,0.00051633072,1.2378183e-07,,0.85279055,30000.043,brain_observatory_1.1,F,0.11717837,2.0784813,738651054,0.087014726,,0.2165,0.1275,0.2035,0.0945,0.37587939,109.99716,1.0301508,0.23350084,-0.010837894,0.2579343,70,1.2361809,0.34338358,171.41152,0.139,0,0,VISrl,7.6069377e+08,300.7269,576.84017,97,1.0000134,2053.3132,747,HVA,True,calibration
951768838,0.03443275,110,0.5,,900,36.667,,463.65,2.8831789,2018-10-26T19:59:23Z,,850084724,769322833,760693773,VISrl,417,-21.111,1.1707821,5.8040161,,0.95619048,1.7522034,0.78095238,1.1388781,1.1445478,0.77412748,,0.50624994,1.1701141,2.0712829,1.1736853,0.07838505,0.50707207,0.32771855,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,True,26.198331,0.61042373,0.11809469,37.098003,,1250.0018,0.48744151,,0.36651584,0.18915362,0.41763495,0.30981712,273,21.08,0.92885267,probeF,0.64360587,0.0013548759,,True,0,3a,,,5013,False,135,False,False,150,False,0.25,False,0.02,,,8,False,0.99,11,2740,2019-10-03T00:00:00Z,good,0.044776119,,1,0.74269006,,0.44294004,0.90686298,,0.00027832111,0.0055118797,,0.07697146,30000.043,brain_observatory_1.1,F,,2.1979799,738651054,0.02811245,,0.2235,0.1345,0.0845,0.0905,0.21232227,68.50584,0.65929648,0.23350084,-0.0068496853,0.20306882,80,0.75544389,0.20603015,30.227072,0.073,0,0,VISrl,7.6069377e+08,60.503105,35.954108,23,1,0,52,HVA,True,evaluation
951768847,0.01251659,110,0.029409686,,1100,82.727,,98.27,4.477343,2018-10-26T19:59:23Z,,850084724,769322833,760693773,VISrl,417,34.545,0.64950371,8.26621,,1.7524432,3.7790057,9.5666667,3.7783784,12.872035,14.627409,,14.654603,16.579751,7.5493822,13.318864,0.10191944,0.15491419,0.076727935,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,True,1015.7302,0.55761017,0.14588943,74.354099,,1250.0018,0.17655217,,0.20131052,0.10106902,0.1529305,0.16519487,273,5.36,0.54599954,probeF,0.974,0.012893773,,False,0,3a,,,5013,False,135,False,False,120,False,0.75,False,0.32,,,8,False,0.99,11,2740,2019-10-03T00:00:00Z,good,0.52490421,,0.53236715,0.78346457,,0.70567986,0.30676052,,0.00046263854,1.8962424e-09,,2.2922836e-08,30000.043,brain_observatory_1.1,F,0.15538358,2.6275408,738651054,0.20998279,,0.2295,0.0935,0.0435,0.1685,0.35606928,84.81174,0.6318258,0.20603015,-0.033680302,0.27454657,50,1.7169179,-0.34338358,97.905789,0.064,0,0,VISrl,7.6069377e+08,151.004,51.237483,560,54.20604,13.486779,2121,HVA,True,calibration
951768856,0.015601177,110,0.28853399,,200,10,,213.92,3.5201981,2018-10-26T19:59:23Z,,850084724,769322833,760693773,VISrl,417,-5,0.52720036,1.9076923,,0.60787879,0.82120301,0.4,0.63187412,4.2938085,2.7428046,,7.6470385,4.8833119,5.023053,4.2844178,0.1158423,0.15706174,0.036138881,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,True,1107.2251,0.22771186,0.018879715,55.460208,,1250.0018,0.16932561,,0.097581819,0.20748625,0.10346445,0.21094738,273,10.73,3.5797641,probeF,0.90866667,0.0057016424,,False,0,3a,,,4927,False,180,False,False,0,False,0.75,False,0.02,,,1,False,0.99,11,2740,2019-10-03T00:00:00Z,good,,,0.16455696,0.11698718,0.26315789,0.17259211,,,0.3036313,0.47357339,0.34194391,0.1307395,30000.043,brain_observatory_1.1,F,0.0434439,2.3339695,738651054,0.078090138,,0.0645,0.0755,0.0975,0.0795,0.31690435,70.785975,0.83785595,0.28844221,-0.011443719,0.1495935,60,1.2361809,0,95.484337,0.063,0,0,VISrl,7.6069377e+08,29.116559,2.8849936,288,1.2131663,24728.354,514,HVA,True,calibration
951768865,0.0012815811,110,0.0016893972,,900,83.333,,132.84,6.1963633,2018-10-26T19:59:23Z,,850084728,769322833,760693773,VISrl,417,24.444,0.47700437,4.4699725,,1.0042276,0.98181818,13.253333,0.70952381,2.1940606,2.9704892,,3.5703943,3.3202491,1.3245684,3.186669,0.12599378,0.13365208,0.41187745,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,True,334.02958,0.48364407,0.00803417,66.39168,,1250.0018,0.25515934,,0.095460331,0.11750188,0.3635951,0.23516534,275,16.12,0.021882606,probeF,0.97777778,0.00061760165,,False,0,3a,,,4942,False,0,False,False,0,False,0.75,False,0.08,,,1,False,0.99,27,2760,2019-10-03T00:00:00Z,good,0.6199095,,0.62393162,0.25396825,,0.52046784,0.027079451,,0.067367189,0.48975625,,0.031685822,30000.043,brain_observatory_1.1,F,0.12979244,3.6721226,738651054,0.10977242,,0.0825,0.1085,0.0825,0.1225,0.43346656,162.115,0.35711893,0.15108878,-0.11979991,0.64852514,40,0,0.34338358,35.908155,0.092,0,0,VISrl,7.6069377e+08,61.549488,11.360029,154,1.0000005,0,43,HVA,True,calibration
