stimulus_presentation_id,stimulus_block,start_time,stop_time,contrast,phase,size,spatial_frequency,orientation,y_position,color,stimulus_name,x_position,frame,temporal_frequency,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1,0.0,84.942787,85.176306,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.08,90.0,-10.0,null,gabors,20.0,null,4.0,0.23351928,1,-0.22111805,0.57660857,7,0.12328026,True,0,train,2
2,0.0,85.176306,85.426505,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.08,0.0,40.0,null,gabors,30.0,null,4.0,0.25019923,2,-0.40646723,0.58797016,8,0.091402024,True,0,train,0
3,0.0,85.426505,85.676704,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.08,45.0,-30.0,null,gabors,40.0,null,4.0,0.25019923,3,-0.46333548,0.56837704,7,0.10229572,True,0,train,1
4,0.0,85.676704,85.926904,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.08,90.0,-40.0,null,gabors,0.0,null,4.0,0.25019923,4,-0.42578399,0.73200674,8,0.19598107,True,0,train,2
5,0.0,85.926904,86.177122,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.08,45.0,10.0,null,gabors,-40.0,null,4.0,0.25021826,5,-0.69889771,0.88897364,7,0.14819022,True,0,train,1
6,0.0,86.177122,86.42734,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.08,0.0,30.0,null,gabors,30.0,null,4.0,0.25021826,6,-0.66243987,0.52071276,8,0.13913342,True,0,train,0
7,0.0,86.42734,86.677558,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.08,90.0,0.0,null,gabors,-10.0,null,4.0,0.25021826,7,-0.5354367,0.73321601,7,0.13020623,True,0,train,2
8,0.0,86.677558,86.927777,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.08,45.0,0.0,null,gabors,-10.0,null,4.0,0.25021826,8,-0.48361508,0.70890851,8,0.05914648,True,0,train,1
9,0.0,86.927777,87.177973,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.08,45.0,10.0,null,gabors,-30.0,null,4.0,0.25019674,9,-0.57257961,0.64761142,7,0.1100101,True,0,train,1
10,0.0,87.177973,87.42817,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.08,90.0,20.0,null,gabors,30.0,null,4.0,0.25019674,10,-0.4681094,0.69695405,8,0.08421615,True,0,train,2
