ecephys_unit_id,group,ecephys_structure_acronym,unit_split,spatial_model,rotation_test_gain,rotation_train_gain,axis_test_poisson_deviance,axis_train_poisson_deviance,axis_area_deg2,rotation_log2_area_ratio,parameter_baseline,parameter_amplitude_0,parameter_amplitude_45,parameter_amplitude_90,success,optimizer_nfev,best_train_anscombe_mse,second_best_train_anscombe_mse,multistart_mse_gap,train_poisson_deviance,test_poisson_deviance,baseline_spikes,mean_amplitude_spikes,center_x_deg,center_y_deg,sigma_major_deg,sigma_minor_deg,major_axis_angle_deg,axis_ratio,latent_halfmax_area_deg2,sigma_lower_bound,sigma_upper_bound
951868526,HVA,VISal,evaluation,aperture,-0.00027876387,0.00417046194,0.654009589,0.709564176,1855.90264,0.585711832,0.0569872236,0.144575989,0.088231149,0.184754416,True,18,0.20828456,0.20828456,8.14187051e-11,0.705393714,0.654288353,0.0569872236,0.139187185,-27.9921586,29.8093909,37.1475986,17.2161464,-47.2039031,2.15771857,2785.30026,False,False
951868526,HVA,VISal,evaluation,point,-0.000274346939,0.00416983148,0.654013061,0.709564081,1969.45829,0.574733802,0.0569549232,0.144614439,0.0882933227,0.184796365,True,18,0.208284692,0.208284692,5.16177656e-11,0.70539425,0.654287408,0.0569549232,0.139234709,-28.00049,29.8332231,37.516044,17.9529795,-47.2290518,2.08968344,2933.31634,False,False
951868545,HVA,VISal,evaluation,aperture,-0.000684227889,0.000116550851,1.35652269,1.47533604,3691.87471,-0.356856061,0.352430439,0.693120418,0.555299575,0.285145048,True,17,0.70616585,0.70616585,6.43920472e-11,1.47521949,1.35720692,0.352430439,0.511188347,-22.6615738,43.9582898,50,13.2387579,5.11484955,3.77678935,2882.85352,False,True
951868545,HVA,VISal,evaluation,point,-0.0007018721,0.000120415865,1.35654328,1.4753423,3847.6803,-0.328444289,0.352493893,0.691041083,0.55368978,0.284364904,True,33,0.706167089,0.706167089,6.12096152e-10,1.47522188,1.35724515,0.352493893,0.509698589,-22.3470898,43.7907329,50,14.0718781,5.20051812,3.55318599,3064.27259,False,True
951868575,HVA,VISal,evaluation,aperture,-0.00157689698,0.000270652466,2.39050849,2.48654345,3343.8633,0.0263258388,1.30292195,0.644844982,0.888225058,0.953155426,True,93,1.79320078,1.79320231,1.53419689e-06,2.4862728,2.39208539,1.30292195,0.828741822,51.1092636,-18.2624255,48.8429345,16.0090774,6.75618989,3.05095248,3405.44117,False,False
951868575,HVA,VISal,evaluation,point,-0.00170311494,0.000338542,2.39038995,2.48662243,3679.77936,-0.0383416545,1.30295116,0.643983559,0.887337878,0.952358318,True,125,1.79321895,1.79321937,4.16554803e-07,2.48628389,2.39209306,1.30295116,0.827893252,50.9322448,-18.3295938,48.940825,16.8113727,6.70140643,2.91117364,3583.27212,False,False
951868604,HVA,VISal,calibration,aperture,9.88507736e-05,0.000972546208,0.686565842,0.674995768,3525.01482,-0.100637529,3.61051171,3.08863342,2.70666287,2.46396477,True,18,0.609628078,0.609628078,1.97194039e-10,0.674023222,0.686466991,3.61051171,2.75308702,-9.64449937,60,42.9846009,17.5609418,-25.2101207,2.44773892,3287.50205,False,False
951868604,HVA,VISal,calibration,point,0.000103831067,0.000972762583,0.686567404,0.674994429,3644.57377,-0.0822351903,3.61042543,3.09056411,2.70827641,2.46548872,True,18,0.609627077,0.609627077,1.02838738e-10,0.674021666,0.686463573,3.61042543,2.75477641,-9.68852403,60,43.2916007,18.2592322,-25.2132177,2.3709431,3442.63901,False,False
951868614,HVA,VISal,evaluation,aperture,-0.00041882148,0.0007127513,2.94112188,2.86891191,17.4206887,1.3675577,1.27432844,1.05442167,1.49147071,1.30030308,True,21,1.98961322,1.98961322,7.89526222e-10,2.86819916,2.9415407,1.27432844,1.28206515,-33.0031424,-18.1243769,5.16066755,2,44.264511,2.58033377,44.9511915,True,False
951868614,HVA,VISal,evaluation,point,0.00878462733,0.00324345179,2.94361202,2.86948406,165.009671,-0.460026221,1.28001449,1.87241267,2.54991967,2.20102449,True,16,1.98873461,1.98873461,1.19668786e-09,2.86624061,2.93482739,1.28001449,2.20778561,-32.7738543,-17.2858442,7.81748378,3.52334677,37.2060115,2.2187665,119.957583,False,False
951868634,HVA,VISal,evaluation,aperture,0.00580873686,0.00131350309,1.32099156,1.15272924,459.717078,-0.0912251103,2.25171988,0.546042199,0.715013281,0.834981517,True,1119,0.974078338,0.975444625,0.00136628678,1.15141574,1.31518282,2.25171988,0.698678999,17.3791528,44.6564857,49.5443138,2,8.37597366,24.7721569,431.548035,True,False
951868634,HVA,VISal,evaluation,point,7.6071066e-06,-1.1122382e-06,1.32098864,1.15272786,435.525911,0.0109108351,2.26737023,1.35442624,2.71079234,3.07560382,True,18,0.975445233,0.975445234,4.68831862e-10,1.15272897,1.32098103,2.26737023,2.38027413,22.9271786,43.4025292,49.9999999,2.0152232,-2.52126481e-05,24.8111474,438.832199,False,True
951868644,HVA,VISal,evaluation,aperture,0.00628219791,3.05792445e-05,1.80646641,1.97713249,213.536299,0.556300133,4.07963801,1.47217397,3.31419688,2.05532415,True,38,1.74207434,1.74207435,7.60367969e-09,1.97710191,1.80018421,4.07963801,2.280565,46.2151895,59.9999778,26.4808154,2.72268911,72.2838431,9.72597835,314.00368,False,False
951868644,HVA,VISal,evaluation,point,0.00460263684,0.0019377771,1.80687415,1.97708886,229.578263,0.662131571,4.06053254,12.5889355,27.8531603,17.7816802,True,34,1.7411354,1.7411354,1.03668274e-09,1.97515108,1.80227151,4.06053254,19.4079253,36.3303182,60,41.7077637,2,88.2230976,20.8538819,363.288985,True,False
951868664,HVA,VISal,evaluation,aperture,0.00368559326,0.000399122452,1.5859405,1.54637791,60.2038371,1.05544502,1.67547647,2.55286977,2.75854522,5.7345574,True,28,1.21044084,1.21044084,2.42988296e-10,1.54597879,1.58225491,1.67547647,3.68199079,-13.7594388,-59.999345,14.3651266,2,52.688968,7.18256328,125.125199,True,False
951868664,HVA,VISal,evaluation,point,0.00299153521,0.000377727342,1.58679434,1.54651999,124.077642,0.975958276,1.67547243,0.877036727,1.16600066,2.14876255,True,18,1.21049361,1.21049363,2.04862942e-08,1.54614226,1.5838028,1.67547243,1.39726665,-6.31911569,-44.6398512,11.2984393,4.95978057,37.5237727,2.27801192,244.054178,False,False
951868685,HVA,VISal,calibration,aperture,0.00099581294,0.000614863603,1.81934067,1.7220364,91.0153357,1.68587155,6.11199842,6.36848803,8.99291514,7.85394966,True,50,1.60579624,1.60579627,2.62915187e-08,1.72142154,1.81834486,6.11199842,7.73845094,-59.9999455,56.6718237,33.618409,2,-14.4615198,16.8092045,292.827919,True,False
