spatial_model,unit_split,group,units,median_rotation_test_gain,fraction_rotation_test_gain_positive,median_rotation_train_gain,median_log2_area_change,sigma_lower_bound_fraction,sigma_upper_bound_fraction,informative_angle_units,median_abs_angle_informative_deg
aperture,calibration,HVA,136,0.000105807467,0.558823529,0.000847988095,0.000302691906,0.169117647,0.0441176471,106,22.6360393
aperture,calibration,V1,22,-0.000356070133,0.454545455,0.000809795551,-0.000227375007,0.0909090909,0.0909090909,20,11.5928157
aperture,calibration,all,158,8.45280265e-05,0.544303797,0.000847988095,0.000164978129,0.158227848,0.0506329114,126,20.5096823
aperture,evaluation,HVA,137,0.000405897,0.569343066,0.00132570098,1.85749949e-09,0.138686131,0.0802919708,109,23.351623
aperture,evaluation,V1,23,8.03479282e-05,0.565217391,0.000423113443,0.00412776196,0.304347826,0.130434783,16,12.7608707
aperture,evaluation,all,160,0.000215384118,0.56875,0.00114341205,0.000291402581,0.1625,0.0875,125,22.861035
point,calibration,HVA,136,0.000107251927,0.595588235,0.000959847687,-0.00151064487,0.0220588235,0.0441176471,125,23.4898789
point,calibration,V1,22,-0.00108514804,0.318181818,0.00096204573,0.00315193587,0,0.0454545455,21,12.1311307
point,calibration,all,158,4.76528253e-05,0.556962025,0.00096204573,-0.000111613217,0.0189873418,0.0443037975,146,21.2353723
point,evaluation,HVA,137,0.000329281551,0.605839416,0.00172282224,0.000553104649,0.0145985401,0.0802919708,126,24.0471399
point,evaluation,V1,23,-0.000468444885,0.47826087,0.000397397485,-0.00256583535,0.0434782609,0.0869565217,21,22.9241312
point,evaluation,all,160,0.000247235038,0.5875,0.0014095136,0.000186738954,0.01875,0.08125,147,23.7788578
