configuration,v1_radius_deg,hva_radius_deg,ring_weight_pixel_equivalents,full_map_median_sigma_ratio_to_no_ring,full_map_median_rmse_increase,intact_fits,intact_median_abs_log2_sigma_error,intact_q90_center_error_deg,intact_failure_or_bound_fraction,censored_peak_retained_fits,censored_peak_retained_median_abs_log2_sigma_error,censored_peak_retained_q90_center_error_deg,censored_peak_retained_failure_or_bound_fraction,peak_removed_fits,peak_removed_median_abs_log2_sigma_error,peak_removed_q90_center_error_deg,peak_removed_failure_or_bound_fraction
ring V1/HVA 40/50 deg; weight 16,40,50,16,0.99496748,0.0014944752,48,0.020799933,1.599293,0,7,0.20337972,5.0383966,0.14285714,9,0.2613128,16.997026,0.33333333
ring V1/HVA 30/40 deg; weight 4,30,40,4,0.98883241,0.007826029,48,0.015830228,1.3561694,0,7,0.20335961,5.3892613,0.14285714,9,0.28536119,16.58477,0.22222222
ring V1/HVA 30/40 deg; weight 1,30,40,1,0.99687532,0.00061977228,48,0.020803569,1.753822,0,7,0.21220966,5.8406981,0.14285714,9,0.29149766,16.387231,0.22222222
ring V1/HVA 40/50 deg; weight 4,40,50,4,0.99863024,0.00011026387,48,0.021116094,1.8545298,0,7,0.20933326,5.8935553,0.14285714,9,0.28461751,16.611701,0.33333333
ring V1/HVA 30/40 deg; weight 16,30,40,16,0.96748054,0.046453083,48,0.013388231,1.0872403,0,7,0.20329978,5.904781,0.14285714,9,0.27039015,17.006518,0.33333333
ring V1/HVA 50/60 deg; weight 16,50,60,16,0.99966696,6.3015087e-06,48,0.021116116,1.9482921,0,7,0.20337971,6.2595058,0.14285714,9,0.28501004,15.534775,0.33333333
ring V1/HVA 40/50 deg; weight 1,40,50,1,0.99964944,7.2535578e-06,48,0.021116157,1.9593714,0,7,0.20337971,7.3039524,0.14285714,9,0.29573614,14.73116,0.33333333
ring V1/HVA 50/60 deg; weight 4,50,60,4,0.99991602,4.1056791e-07,48,0.021116166,1.9685637,0,7,0.20337971,7.35396,0.14285714,9,0.29695139,13.741915,0.33333333
ring V1/HVA 50/60 deg; weight 1,50,60,1,0.99997896,2.8292372e-08,48,0.021116177,1.9744287,0,7,0.20337971,8.2298592,0.14285714,9,0.30474481,11.807444,0.33333333
no ring,,,0,1,0,48,0.02111618,1.9764711,0,7,0.20337971,9.832819,0.14285714,9,0.42747139,17.128969,0.44444444
