crop_stratum,model,crop_fits,median_absolute_log2_sigma_error,q90_absolute_log2_sigma_error,median_center_error_deg,q90_center_error_deg,failure_or_bound_fraction
component intact,Allen no baseline,48,0.060858204,0.45815347,0.44399154,3.8271781,0
component intact,Baseline screen-bounded,48,0.020852086,0.11803077,0.11909431,1.9764738,0.041666667
component intact,Baseline extended,48,0.02111618,0.11802602,0.11909077,1.9764711,0
component intact,Baseline + DC ring,48,0.021116094,0.10927465,0.11641917,1.8545298,0
component censored; peak retained,Allen no baseline,7,0.23889164,1.6549618,6.7333008,155.77137,0
component censored; peak retained,Baseline screen-bounded,7,0.21107564,0.42640519,4.3431625,6.4002166,0.57142857
component censored; peak retained,Baseline extended,7,0.20337971,0.55090899,2.5851076,9.832819,0.14285714
component censored; peak retained,Baseline + DC ring,7,0.20933326,0.35784078,2.7256595,5.8935553,0.14285714
original peak removed,Allen no baseline,9,2.4243337,2.7384773,568.07955,836.98591,0.77777778
original peak removed,Baseline screen-bounded,9,0.29285548,0.6660638,9.8148427,17.058673,0.88888889
original peak removed,Baseline extended,9,0.42747139,0.66951748,6.9112255,17.128969,0.44444444
original peak removed,Baseline + DC ring,9,0.28461751,0.66371466,7.8239364,16.611701,0.33333333
