ecephys_unit_id,ecephys_session_id,ecephys_structure_acronym,group,p_value_rf,snr,firing_rate_dg,released_area_rf_deg2,released_width_rf_deg,released_height_rf_deg,map_mean,map_max,threshold_azimuth_deg,threshold_elevation_deg,threshold_area_deg2,threshold_component_touches_edge,allen_success,allen_center_azimuth_deg,allen_center_elevation_deg,allen_sigma_x_deg,allen_sigma_y_deg,allen_rmse,corrected_success,corrected_at_bound,corrected_sigma_upper_bound,corrected_center_bound,corrected_baseline,corrected_center_azimuth_deg,corrected_center_elevation_deg,corrected_sigma_x_deg,corrected_sigma_y_deg,corrected_rmse,fit_exception,allen_major_sigma_deg,allen_halfmax_area_deg2,corrected_major_sigma_deg,corrected_halfmax_area_deg2,published_like_qc,allen_finite,corrected_censored
951858327,737581020,VISrl,HVA,,4.0485088,0.18585254,,,,0,0,,,0,False,False,,,,,,True,True,False,False,6.0233993e-09,-1.7561634,-41.756163,10.110895,10.110895,6.8422588e-06,,,,10.110895,445.2301,False,False,False
951858388,737581020,VISrl,HVA,0,1.9078073,6.0288235,3000,116.20062,207.26227,172.41975,218,73,8.667,3000,True,True,60.585385,119.48025,116.20062,207.26227,19.467829,True,True,True,False,141.37697,89.179412,14.108961,50,44.394479,15.81093,,207.26227,104889.98,50,9667.2801,False,True,True
951858398,737581020,VISrl,HVA,0,1.6488913,4.223777,200,31.280724,428.06595,17.148148,55,10,5,200,True,False,52.760637,-1918.3745,31.280724,428.06629,12.884301,True,True,False,True,13.935857,-10,8.0180355,25.806418,10.512952,5.649025,,428.06629,58316.729,25.806418,1181.5653,True,True,True
951858408,737581020,VISrl,HVA,0,2.339667,1.1283526,200,39.563988,531.66547,14.802469,80,10,5,200,True,False,49.880623,-2523.4584,39.56398,531.66549,11.442001,True,False,False,False,12.798592,13.715259,6.5917585,2.9937439,7.0152899,3.6628404,,531.66549,91610.188,7.0152899,91.467246,True,True,False
951858337,737581020,VISrl,HVA,0.653,2.7779191,2.8190283,200,398.30584,249.34758,1.2592593,5,11.667,-13.333,600,True,False,-504.21334,-845.41197,395.2828,249.8365,1.295752,True,False,False,False,1.0067731,11.11991,-2.4321297,10.05596,21.108467,1.1754377,,395.2828,430099.7,21.108467,924.4545,False,True,False
951858347,737581020,VISrl,HVA,0.198,2.6308625,4.5038796,600,2469.0385,2676.3345,12.839506,24,10,-5,600,True,False,2731.7289,-8254.845,2469.1334,2676.3952,4.0585622,True,True,True,False,12.232465,0.97128493,-17.715451,5.5744431,50,3.6022,,2676.3952,28780618,50,1213.883,False,True,True
951858361,737581020,VISrl,HVA,0,0.87858568,17.265754,300,40.730323,308.51939,39.641975,146,10,10,300,True,False,46.620912,-1678.666,40.730323,308.51902,30.168614,True,True,False,True,30.596628,-10,5.8084372,17.045274,19.037043,7.8112037,,308.51902,54727.44,19.037043,1413.2168,False,True,True
951858370,737581020,VISrl,HVA,0,1.8108744,23.024006,400,179.73392,2012.7099,231.02469,315,10,5,400,True,False,-19.555364,-6089.0991,179.73312,2015.5331,24.080267,True,True,False,True,224.54039,-10,6.2457132,14.740824,16.827569,21.514901,,2015.5331,1577696.2,16.827569,1080.3102,True,True,True
951858380,737581020,VISrl,HVA,0.006,0.77968721,18.97708,300,143.52094,2681.1094,299.61728,400,13.333,6.667,300,True,False,67.889007,-6870.6091,143.52094,2681.5666,38.572914,True,False,False,False,295.67456,13.575303,5.6744321,11.445812,4.0962685,30.681683,,2681.5666,1676135.7,11.445812,204.19276,False,True,False
951858430,737581020,VISrl,HVA,0,1.1581698,7.738561,3200,15245.252,62.465135,88.17284,126,76.364,9.091,3300,True,True,-32139.236,40.804685,14971.538,62.465136,29.903409,True,True,True,False,63.787974,75.279404,1.1011431,25.686837,50,15.91033,,14971.538,4072953.4,50,5593.53,False,True,True
