population,group,metric,unit,units,sessions,mean,std,minimum,q25,median,q75,q90,q95,q97_5,q99,maximum
trusted + Gaussian center on screen,V1,width_sigma_magnitude_deg,deg sigma,2400,31,24.81967,21.30735,0.0612041,9.77059,18.28832,33.95802,49.00964,62.17494,75.44033,98.07591,291.6199
trusted + Gaussian center on screen,V1,height_sigma_magnitude_deg,deg sigma,2400,31,28.93401,22.19603,2.704193,12.05068,22.79355,39.79727,56.15008,70.65578,83.66807,108.1694,196.4277
trusted + Gaussian center on screen,V1,major_sigma_magnitude_deg,deg sigma,2400,31,30.51982,25.26794,2.95872,12.39219,22.96738,41.24788,60.74544,76.65035,94.99767,121.2689,291.6199
trusted + Gaussian center on screen,V1,minor_sigma_magnitude_deg,deg sigma,2400,31,23.23386,17.03266,0.0612041,9.486992,18.14697,32.82849,47.01686,56.24583,66.42312,74.83737,122.7789
trusted + Gaussian center on screen,V1,major_fwhm_deg,deg FWHM,2400,31,71.86869,59.50146,6.967253,29.18138,54.08406,97.13134,143.0446,180.4978,223.7024,285.5664,686.7123
trusted + Gaussian center on screen,V1,minor_fwhm_deg,deg FWHM,2400,31,54.71155,40.10886,0.1441246,22.34016,42.73286,77.30519,110.7162,132.4488,156.4145,176.2285,289.1221
trusted + Gaussian center on screen,V1,gaussian_fwhm_area_deg2,deg2 at half maximum,2400,31,4786.508,7829.957,3.316916,502.3035,1841.942,5912.02,12260.16,18616.03,25634.04,39167.5,97774.35
trusted + Gaussian center on screen,HVA pooled,width_sigma_magnitude_deg,deg sigma,1560,31,31.25138,20.897,2.838574,15.86093,26.95204,40.56358,56.90437,67.55041,77.23141,102.619,225.0035
trusted + Gaussian center on screen,HVA pooled,height_sigma_magnitude_deg,deg sigma,1560,31,37.85761,25.12331,2.597651,20.11408,32.26552,48.82001,66.62216,84.04147,104.4858,122.9614,224.8605
trusted + Gaussian center on screen,HVA pooled,major_sigma_magnitude_deg,deg sigma,1560,31,40.05069,27.4657,3.149251,20.40161,33.47188,51.31056,71.50195,92.95933,109.3823,144.4937,225.0035
