ecephys_unit_id,L_ratio,age_in_days,amplitude_cutoff,anterior_posterior_ccf_coordinate,area_rf,azimuth_rf,c50_dg,cumulative_drift,d_prime,date_of_acquisition,dorsal_ventral_ccf_coordinate,ecephys_channel_id,ecephys_probe_id,ecephys_session_id,ecephys_structure_acronym,ecephys_structure_id,elevation_rf,f1_f0_dg,fano_dg,fano_dm,fano_fl,fano_ns,fano_rf,fano_sg,firing_rate,firing_rate_dg,firing_rate_dm,firing_rate_fl,firing_rate_ns,firing_rate_rf,firing_rate_sg,g_dsi_dg,g_osi_dg,g_osi_sg,genotype,has_lfp_data,height_rf,image_selectivity_ns,isi_violations,isolation_distance,left_right_ccf_coordinate,lfp_sampling_rate,lifetime_sparseness_dg,lifetime_sparseness_dm,lifetime_sparseness_fl,lifetime_sparseness_ns,lifetime_sparseness_rf,lifetime_sparseness_sg,local_index,max_drift,mod_idx_dg,name,nn_hit_rate,nn_miss_rate,on_off_ratio_fl,on_screen_rf,p_value_rf,phase,pref_dir_dm,pref_dir_multi_dm,pref_image_ns,pref_images_multi_ns,pref_ori_dg,pref_ori_multi_dg,pref_ori_multi_sg,pref_ori_sg,pref_phase_multi_sg,pref_phase_sg,pref_sf_multi_sg,pref_sf_sg,pref_speed_dm,pref_speed_multi_dm,pref_tf_dg,pref_tf_multi_dg,presence_ratio,probe_horizontal_position,probe_vertical_position,published_at,quality,run_mod_dg,run_mod_dm,run_mod_fl,run_mod_ns,run_mod_rf,run_mod_sg,run_pval_dg,run_pval_dm,run_pval_fl,run_pval_ns,run_pval_rf,run_pval_sg,sampling_rate,session_type,sex,silhouette_score,snr,specimen_id,sustained_idx_fl,time_to_peak_dm,time_to_peak_fl,time_to_peak_ns,time_to_peak_rf,time_to_peak_sg,waveform_PT_ratio,waveform_amplitude,waveform_duration,waveform_halfwidth,waveform_recovery_slope,waveform_repolarization_slope,waveform_spread,waveform_velocity_above,waveform_velocity_below,width_rf,time_to_first_spike_fl,cortical_depth,cortical_layer,area,session,timescale_ac,err_ac,spike_count_ac,timescale_it,err_it,spike_count_it,distance_to_nearest_grid_edge_deg,equivalent_circle_diameter_deg,width_sigma_magnitude_deg,height_sigma_magnitude_deg,major_sigma_magnitude_deg,minor_sigma_magnitude_deg,major_fwhm_deg,minor_fwhm_deg,gaussian_fwhm_area_deg2,pooled_group
915957986,0.005037964,100,0.4897465,,900,56.667,,342.5,3.21545,2019-01-09T00:26:20Z,,850229893,733744647,732592105,VISpm,533,-1.111,1.023129,4.170667,,0.6041176,0.966789,1.548259,1.713333,3.226735,2.468896,,17.98508,4.271339,5.646959,2.342042,0.1200015,0.09639275,0.05665311,wt/wt,True,30.07529,0.2331695,0.3441393,55.95737,,1249.996,0.1556514,,0.0836204,0.07937457,0.2627998,0.1131664,240,15.44,0.3722018,probeB,0.8642951,0.003727643,,True,0,3a,,,4991,False,315,False,False,30,False,0.25,False,0.02,,,1,False,0.99,43,2420,2019-10-03T00:00:00Z,good,0.3969595,,-0.1732523,0.5633874,0.4912281,0.2806122,0.1896529,,0.1807844,4.121454e-06,0.05447185,0.4059892,29999.92,brain_observatory_1.1,M,0.06672035,1.379812,717038288,0.1024096,,0.0525,0.1395,0.0925,0.0085,0.6196292,54.10119,0.5906198,0.2747069,-0.01523875,0.1378382,140,1.671133,0.6867672,23.71729,0.049,0,0,PM,7.325921e+08,59.88011,10.80996,697,82.09165,30.96258,120,28.889,33.85138,23.71729,30.07529,30.07529,23.71729,70.82189,55.84996,3106.564,HVA pooled
915958015,0.0001439925,100,0.001176981,,2700,67.778,,68.14,6.545846,2019-01-09T00:26:20Z,,850229897,733744647,732592105,VISpm,533,-9.63,0.1711601,2.92881,,1.301421,0.7371429,1.757214,0.8374782,13.96828,9.539883,,2.584523,18.76394,10.41453,20.07322,0.01045407,0.1838417,0.08525674,wt/wt,True,67.65654,0.1912373,0.008365964,105.8651,,1249.996,0.1204407,,0.1245764,0.02506076,0.08921662,0.04724216,242,13.75,1.173064,probeB,0.998,0.0008203445,,True,0,3a,,,5011,False,0,False,False,0,False,0,False,0.08,,,1,False,0.99,59,2440,2019-10-03T00:00:00Z,good,0.299763,,-0.5917065,0.2587065,-0.2735849,0.2629179,0.009843952,,0.01496696,0.0008312289,0.4121303,0.0006654106,29999.92,brain_observatory_1.1,M,0.1244082,2.826111,717038288,0.08165997,,0.0475,0.0355,0.0145,0.0955,0.5358838,135.4837,0.2884422,0.1236181,-0.09233229,0.6011685,40,0.6867672,0,49.51033,0.065,0,0,PM,,,,,,,,20.37,58.6323,49.51033,67.65654,67.65654,49.51033,159.319,116.5879,14588.51,HVA pooled
915958058,0.00426361,100,0.006545357,,3200,44.688,,222.17,5.251667,2019-01-09T00:26:20Z,,850229905,733744647,732592105,VISpm,533,-3.125,0.2010712,1.733147,,1.388986,2.184051,2.680702,2.981439,3.305974,6.887732,,0.9059153,2.691501,1.576763,5.24295,0.03573747,0.2497671,0.6222614,wt/wt,True,75.33307,0.7609153,0.05828265,55.09565,,1249.996,0.3189611,,0.2215385,0.5689861,0.2842662,0.4761562,246,33.83,7.32192,probeB,0.9084967,0.0013611,,True,0.001,3a,,,4990,False,270,False,False,90,False,0.75,False,0.02,,,8,False,0.99,59,2480,2019-10-03T00:00:00Z,good,0.2332332,,0.3137255,0.3161046,0.6363636,0.5408764,0.00234391,,0.5539691,0.04757096,0.384708,0.0005247899,29999.92,brain_observatory_1.1,M,0.08002343,2.186371,717038288,0.04618474,,0.2205,0.1515,0.1825,0.1205,0.4632717,86.31792,0.3571189,0.1510888,-0.03104269,0.3504124,60,1.039962,,53.46369,0.114,0,0,PM,,,,,,,,26.875,63.83076,53.46369,75.33307,75.33307,53.46369,177.3958,125.8974,17540.82,HVA pooled
915958067,0.004282469,100,0.01749821,,800,50,,117.2,3.719015,2019-01-09T00:26:20Z,,850229905,733744647,732592105,VISpm,533,3.75,0.3660688,6.739991,,2.208172,0.8498446,1.866667,1.530605,7.054884,9.531384,,7.194033,8.346542,4.010986,8.762674,0.0395674,0.4013301,0.2546164,wt/wt,True,34.87461,0.08352542,0.04239497,70.76149,,1249.996,0.2335327,,0.2497839,0.09778795,0.292196,0.167216,246,28.07,4.726194,probeB,0.962,0.003777778,,True,0,3a,,,4987,False,180,False,False,30,False,0.25,False,0.04,,,4,False,0.99,59,2480,2019-10-03T00:00:00Z,good,0.4146689,,0.7416759,0.184,0.5769231,0.2849462,0.002592177,,7.458652e-07,0.1640247,0.2342298,0.03542362,29999.92,brain_observatory_1.1,M,0.08510285,1.656485,717038288,0.1477912,,0.0935,0.1185,0.0415,0.1095,0.7130865,75.98897,0.439531,0.2197655,-0.05030562,0.2045435,40,0.1373534,,24.89914,0.079,0,0,PM,7.325921e+08,74.27718,15.70255,300,36.0435,8.214566,613,33.75,31.91538,24.89914,34.87461,34.87461,24.89914,82.12342,58.63298,3781.803,HVA pooled
915958094,0.008601533,100,0.1683429,,600,38.333,,316.65,3.406577,2019-01-09T00:26:20Z,,850229913,733744647,732592105,VISpm,533,8.333,0.8294079,4.318519,,1.21697,1.190526,2.342857,2.119971,1.647464,1.741188,,0.4529577,2.176979,3.973705,1.057782,0.03807965,0.1415194,0.08511169,wt/wt,True,45.19604,0.4346949,0.2346964,45.4151,,1249.996,0.1470096,,0.1592357,0.141079,0.1825295,0.1207691,250,16.84,0.4109283,probeB,0.8448845,0.001010203,,True,0,3a,,,4952,False,90,False,False,90,False,0.25,False,0.02,,,4,False,0.99,59,2520,2019-10-03T00:00:00Z,good,0.4971429,,0.8764706,0.3352827,0.07692308,0.4124424,0.114519,,0.1328292,0.1234635,0.776243,0.2947171,29999.92,brain_observatory_1.1,M,0.07362545,2.065583,717038288,0.04417671,,0.0045,0.0405,0.0625,0.0705,0.4935327,81.27152,0.6592965,0.2060302,-0.02097737,0.2337572,100,0.735822,-0.5494137,39.59041,0.05,0,0,PM,7.325921e+08,128.1783,122.8846,20,1.000001,0.002911371,67,28.333,27.63953,39.59041,45.19604,45.19604,39.59041,106.4285,93.2283,7792.839,HVA pooled
915958104,0.0008206109,100,0.000427781,,2600,65.769,,102.14,4.754994,2019-01-09T00:26:20Z,,850229915,733744647,732592105,VISpm,533,-5.385,0.2382192,12.31882,,0.8822764,1.292959,1.271795,2.448612,6.876329,13.06316,,4.236486,3.804508,4.078969,11.73419,0.06305427,0.2862471,0.3163719,wt/wt,True,64.45622,0.711339,0.0008419861,85.10035,,1249.996,0.2293655,,0.001975816,0.3645546,0.1520719,0.28963,251,26.93,0.8874179,probeB,0.9661836,0.0002742356,,True,0,3a,,,5016,False,45,False,False,60,False,0.25,False,0.08,,,1,False,0.99,27,2520,2019-10-03T00:00:00Z,good,0.3475836,,0.1650327,0.3532582,0.275,0.4165121,0.1549998,,0.513405,0.001281291,0.6431031,8.680659e-05,29999.92,brain_observatory_1.1,M,0.1827758,3.418774,717038288,0.08232932,,0.0545,0.0965,0.1255,0.1035,0.2825076,151.6301,0.6867672,0.1648241,-0.04041825,0.4687833,80,1.059584,0,52.94401,0.057,0,0,PM,,,,,,,,24.231,57.53627,52.94401,64.45622,64.45622,52.94401,151.7828,124.6736,14862.33,HVA pooled
915958147,0.001023251,100,0.0001318817,,1200,36.667,,120.63,5.340157,2019-01-09T00:26:20Z,,850229925,733744647,732592105,VISpm,533,28.333,0.1820696,3.265353,,1.561905,0.8739073,1.333333,1.218149,6.181441,9.259423,,1.731897,9.612697,1.850887,8.969834,0.04315805,0.2299999,0.3236002,wt/wt,True,44.45293,0.384678,0.01250317,74.3452,,1249.996,0.3082741,,0.01176471,0.1634041,0.2689831,0.2827662,256,28.35,2.992374,probeB,0.9454277,0.001057227,,True,0,3a,,,4946,False,270,False,False,90,False,0,False,0.08,,,15,False,0.99,43,2580,2019-10-03T00:00:00Z,good,0.3643003,,0.7091346,0.3885918,0,0.4444444,0.0001211655,,0.0781909,2.4418e-06,1,1.513239e-07,29999.92,brain_observatory_1.1,M,0.117822,3.601383,717038288,0.07028112,,0.0175,0.0825,0.0085,0.0785,0.5666439,196.4124,0.6318258,0.1922948,-0.09685792,0.5052376,130,1.167504,0,146.7571,0.11,0,0,PM,7.325921e+08,411.6371,811.5642,59,1,1266.518,139,21.667,39.0882,146.7571,44.45293,146.7571,44.45293,345.5867,104.6787,28412.21,HVA pooled
915958167,0.0006644553,100,3.563025e-06,,900,48.889,,158.75,5.328632,2019-01-09T00:26:20Z,,850229925,733744647,732592105,VISpm,533,21.111,0.2532689,4.304762,,0.8266667,0.3925926,0.6807018,1.041356,7.714719,6.265196,,1.092427,10.3341,1.617333,9.278909,0.0582888,0.08961114,0.1489268,wt/wt,True,35.28679,0.3681695,0.002675704,92.26242,,1249.996,0.1235388,,0.09194098,0.08974497,0.2660823,0.05406286,256,29.79,0.6528287,probeB,0.9799054,0.0008575153,,True,0,3a,,,4947,False,225,False,False,30,False,0.25,False,0.02,,,2,False,0.99,43,2580,2019-10-03T00:00:00Z,good,0.5138889,,-0.7575758,0.1074332,0.08333333,0.4570425,0.0001395035,,0.02011001,0.1586016,0.838515,2.077958e-06,29999.92,brain_observatory_1.1,M,0.2196079,4.337584,717038288,0.0502008,,0.0165,0.0885,0.0245,0.1055,0.5449805,263.2092,0.5631491,0.2197655,-0.1024076,0.6440001,110,0.8666348,0,48.68841,0.046,0,0,PM,7.325921e+08,31.14083,4.972317,38,1,0,354,28.889,33.85138,48.68841,35.28679,48.68841,35.28679,114.6524,83.09403,7482.436,HVA pooled
915958151,0.001465474,100,0.001776372,,1200,65.833,,135.14,4.771342,2019-01-09T00:26:20Z,,850229923,733744647,732592105,VISpm,533,-0.833,0.2927404,63.16487,,2.581241,3.066083,4.008427,4.813861,32.74395,35.20089,,38.28824,20.83344,51.46518,25.56196,0.07133029,0.08747414,0.1126831,wt/wt,True,45.93011,0.4764576,0.009134752,82.80976,,1249.996,0.1295362,,0.03330479,0.1795009,0.1143398,0.08032638,255,20.27,0.7194822,probeB,0.988,0.0003188776,,True,0,3a,,,4991,False,0,False,False,30,False,0.25,False,0.08,,,1,False,0.99,27,2560,2019-10-03T00:00:00Z,good,0.4449458,,0.04775706,0.3035141,0.3091398,0.5603217,0.1123658,,0.7476988,0.0009775753,0.05566098,1.552485e-07,29999.92,brain_observatory_1.1,M,0.04738076,2.78256,717038288,0.2499228,,0.0525,0.0865,0.0765,0.0925,0.5158617,156.4048,0.2060302,0.0961474,-0.183184,0.6508574,60,0.2747069,0,36.72417,0.044,0,0,PM,7.325921e+08,34.12043,1.273969,1547,36.19402,4.201609,6949,24.167,39.0882,36.72417,45.93011,45.93011,36.72417,108.1571,86.47881,7346.066,HVA pooled
915958157,4.771643e-07,100,0.000121554,,600,68.333,,76.23,6.75472,2019-01-09T00:26:20Z,,850229927,733744647,732592105,VISpm,533,11.667,0.2452153,1.999027,,0.8603509,2.633296,1.163218,1.314657,11.46034,8.970995,,7.806858,11.96969,9.563646,8.720709,0.06177412,0.04228953,0.06898395,wt/wt,True,42.62562,0.4332373,0.001515631,125.5511,,1249.996,0.07668779,,0.0544136,0.1164281,0.1911,0.03403103,257,26.64,1.198765,probeB,0.9977064,0.0001045588,,True,0,3a,,,4976,False,90,False,False,90,False,0.5,False,0.02,,,8,False,0.99,11,2580,2019-10-03T00:00:00Z,good,0.2403409,,-0.06593407,0.5533448,0.12,0.3666667,0.04849866,,0.7661186,1.691656e-06,0.5392661,0.02677006,29999.92,brain_observatory_1.1,M,0.255338,6.448671,717038288,0.1676707,,0.0525,0.0665,0.0735,0.0575,0.3914539,443.0447,0.5631491,0.1648241,-0.2084909,1.359335,60,0.480737,0.3433836,34.65298,0.061,0,0,PM,7.325921e+08,35.31893,4.058689,313,1.000003,0,1577,21.667,27.63953,34.65298,42.62562,42.62562,34.65298,100.3757,81.60153,6433.046,HVA pooled
