pooled_group,area_rf,units
HVA pooled,100.0,22
HVA pooled,200.0,43
HVA pooled,300.0,63
HVA pooled,400.0,189
HVA pooled,500.0,167
HVA pooled,600.0,205
HVA pooled,700.0,201
HVA pooled,800.0,151
HVA pooled,900.0,108
HVA pooled,1000.0,76
HVA pooled,1100.0,71
HVA pooled,1200.0,52
HVA pooled,1300.0,56
HVA pooled,1400.0,47
HVA pooled,1500.0,35
HVA pooled,1600.0,27
HVA pooled,1700.0,32
HVA pooled,1800.0,14
HVA pooled,1900.0,18
HVA pooled,2000.0,13
HVA pooled,2100.0,14
HVA pooled,2200.0,7
HVA pooled,2300.0,13
HVA pooled,2400.0,9
V1,100.0,71
V1,200.0,231
V1,300.0,333
V1,400.0,710
V1,500.0,295
V1,600.0,312
V1,700.0,145
V1,800.0,103
V1,900.0,67
V1,1000.0,46
V1,1100.0,30
V1,1200.0,23
V1,1300.0,24
V1,1400.0,17
V1,1500.0,10
V1,1600.0,6
V1,1700.0,4
V1,1800.0,8
V1,1900.0,6
V1,2000.0,4
V1,2100.0,5
V1,2200.0,5
V1,2300.0,1
V1,2400.0,1
