dataset,profile,group_type,group,units,sessions
Allen,common_qc,area,AL,3303,44
Allen,common_qc,area,AM,3233,50
Allen,common_qc,area,LGd,1333,32
Allen,common_qc,area,LM,2283,42
Allen,common_qc,area,LP,2556,42
Allen,common_qc,area,PM,2014,36
Allen,common_qc,area,RL,2830,50
Allen,common_qc,area,V1,4121,56
MouseV2,common_qc,site_probe,site2_A,318,1
MouseV2,common_qc,site_probe,site2_B,350,1
MouseV2,common_qc,site_probe,site2_C,431,1
MouseV2,common_qc,site_probe,site2_E,230,1
MouseV2,common_qc,site_probe,site3_A,341,1
MouseV2,common_qc,site_probe,site3_B,341,1
MouseV2,common_qc,site_probe,site3_C,365,1
MouseV2,common_qc,site_probe,site3_E,362,1
MouseV2,common_qc,site_probe,site4_A,345,1
MouseV2,common_qc,site_probe,site4_B,349,1
MouseV2,common_qc,site_probe,site4_C,230,1
MouseV2,common_qc,site_probe,site4_E,252,1
MouseV2,common_qc,site_probe,site5_A,358,1
MouseV2,common_qc,site_probe,site5_B,441,1
MouseV2,common_qc,site_probe,site5_C,516,1
MouseV2,common_qc,site_probe,site5_E,396,1
MouseV2,common_qc,site_probe,site6_A,320,1
MouseV2,common_qc,site_probe,site6_B,334,1
MouseV2,common_qc,site_probe,site6_C,275,1
MouseV2,common_qc,site_probe,site6_E,280,1
MouseV2,common_qc,site_probe,site7_A,321,1
MouseV2,common_qc,site_probe,site7_B,321,1
MouseV2,common_qc,site_probe,site7_C,538,1
MouseV2,common_qc,site_probe,site7_E,359,1
MouseV2,common_qc,site_probe,site8_A,359,1
MouseV2,common_qc,site_probe,site8_B,286,1
MouseV2,common_qc,site_probe,site8_C,380,1
MouseV2,common_qc,site_probe,site8_E,307,1
MouseV2,common_qc,site_probe,site9_A,323,1
MouseV2,common_qc,site_probe,site9_B,378,1
MouseV2,common_qc,site_probe,site9_C,411,1
MouseV2,common_qc,site_probe,site9_E,425,1
