dataset,stage,units,available,rule
Allen,all unit_table,99180.0,True,all released table rows
Allen,target Figure 3 regions,43861.0,True,"LGd, V1, LM, RL, LP, AL, PM, AM"
Allen,common_qc in target regions,21673.0,True,amplitude_cutoff < 0.1; presence_ratio > 0.8; ISI violations ratio < 0.5
Allen,published_like in target regions,24134.0,True,p_value_rf < 0.01; area_rf < 2500 deg^2; snr > 1; firing_rate_dg > 0.1 Hz
Allen,common_qc ∩ published_like,13079.0,True,amplitude_cutoff < 0.1; presence_ratio > 0.8; ISI violations ratio < 0.5; p_value_rf < 0.01; area_rf < 2500 deg^2; snr > 1; firing_rate_dg > 0.1 Hz
MouseV2,all targeted units,20374.0,True,eight NWB unit tables
MouseV2,common_qc,11242.0,True,amplitude_cutoff < 0.1; presence_ratio > 0.8; ISI violations ratio < 0.5
MouseV2,Pilot RF diagnostic QC,4807.0,True,snr > 5; d_prime > 2; rp_contamination < 0.1; default_qc
MouseV2,common_qc ∩ Pilot RF QC,4807.0,True,diagnostic intersection; not a published-like RF filter
MouseV2,published_like,,False,unavailable: no validated all-session p_value_rf/area_rf export
