site,session_num,subject_id,probe,time_to_first_spike_fl,time_to_first_spike_fl_n,mod_idx_dg,mod_idx_dg_n,timescale_ac,timescale_ac_n,n_units_total,n_units_pilot_qc,n_units_default_qc,n_units_used,rf_center_x_deg,rf_center_x_ci_low_deg,rf_center_x_ci_high_deg,rf_center_y_deg,rf_center_y_ci_low_deg,rf_center_y_ci_high_deg,rf_peak_value_median,rf_grid_edge_fraction,rf_center_x_all_units_deg,rf_center_y_all_units_deg,rf_center_x_default_qc_deg,rf_center_y_default_qc_deg,qc_rule,rf_method,gaze_correction,bootstrap_iterations
site2,2,816305,A,74.1822429906542,214,-0.10753077090715046,318,48.658765988839455,33,743,143,318,143,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,1.5,0.3006993006993007,-10.0,-10.0,-10.0,-10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site2,2,816305,B,69.98564593301435,209,-0.09417354608694292,350,49.596857923092145,82,641,160,350,160,10.0,10.0,20.0,15.0,10.0,20.0,1.0166666666666666,0.34375,10.0,20.0,10.0,20.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site2,2,816305,C,70.63245033112582,302,-0.15569948653879778,431,49.334445380773005,99,855,175,431,175,0.0,-10.0,0.0,10.0,0.0,20.0,1.1,0.5028571428571429,-10.0,10.0,-10.0,10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site2,2,816305,E,72.75503355704699,149,-0.19334124946152956,230,68.08388609088149,24,493,78,230,78,-20.0,-20.0,-10.0,0.0,0.0,5.0,2.3,0.3333333333333333,-10.0,0.0,-15.0,0.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site3,3,810531,A,73.34565217391304,230,-0.13667547094203997,341,50.332681632984816,75,565,160,341,160,-10.0,-20.0,0.0,-20.0,-20.0,-20.0,1.5666666666666669,0.38125,-20.0,-20.0,-20.0,-20.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site3,3,810531,B,71.24739583333333,192,-0.008933213119962384,341,42.56346586070115,48,554,167,341,167,20.0,20.0,30.0,0.0,0.0,0.0,1.1666666666666667,0.3233532934131736,20.0,0.0,20.0,0.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site3,3,810531,C,73.42340425531916,235,-0.07041085540732143,365,52.302776452181625,98,567,161,365,161,-10.0,-10.0,0.0,20.0,20.0,20.0,1.6333333333333333,0.2795031055900621,-10.0,20.0,-10.0,20.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site3,3,810531,E,75.03512396694215,242,-0.12413961068252369,362,57.26963248538701,44,565,150,362,150,-20.0,-30.0,0.0,-10.0,-10.0,-10.0,1.2166666666666668,0.4866666666666667,-20.0,-10.0,-20.0,-10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site4,4,810532,A,71.53294573643412,258,-0.07193647101392196,345,47.726163297852764,67,617,161,345,161,-10.0,-10.0,0.0,-20.0,-30.0,-20.0,1.4666666666666666,0.5279503105590062,0.0,-20.0,-10.0,-20.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site4,4,810532,B,70.96929824561404,228,-0.0723727311275308,349,41.511266391441254,56,610,167,349,167,30.0,20.0,30.0,-10.0,-10.0,0.0,1.1333333333333333,0.6586826347305389,20.0,0.0,20.0,0.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site4,4,810532,C,74.77931034482759,145,-0.17656644071410504,230,54.10274772031954,42,512,79,230,79,0.0,-10.0,0.0,10.0,10.0,20.0,1.15,0.2658227848101265,0.0,20.0,-10.0,15.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site4,4,810532,E,73.02659574468085,188,-0.1570342231703853,252,43.73559689161516,32,463,80,252,80,-15.0,-20.0,10.0,0.0,-10.0,10.0,2.783333333333333,0.425,-10.0,-10.0,-10.0,-10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site5,5,813810,A,71.1023166023166,259,-0.07894377628646347,358,48.64845975466059,117,757,176,358,176,-20.0,-20.0,-10.0,-10.0,-20.0,-10.0,1.3166666666666669,0.3409090909090909,-20.0,-20.0,-20.0,-10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site5,5,813810,B,66.96404109589041,292,-0.0239793824438996,441,45.653845397016596,125,695,233,441,233,30.0,30.0,40.0,0.0,0.0,0.0,1.0333333333333334,0.6008583690987125,30.0,0.0,30.0,0.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site5,5,813810,C,69.59643916913947,337,-0.05942159282108683,516,39.61833824821342,127,866,240,516,240,0.0,0.0,0.0,20.0,20.0,30.0,1.0750000000000002,0.4041666666666667,0.0,20.0,0.0,20.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site5,5,813810,E,73.35766423357664,274,-0.10703069013796386,396,50.84681358301885,93,678,185,396,185,-20.0,-20.0,-20.0,10.0,0.0,10.0,1.2,0.3567567567567568,-20.0,10.0,-20.0,10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site6,6,815152,A,70.05665024630542,203,-0.09393875320948894,320,48.773066105572504,67,609,111,320,111,-20.0,-30.0,-10.0,-20.0,-30.0,-20.0,1.8,0.5675675675675675,-20.0,-20.0,-20.0,-20.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site6,6,815152,B,73.22051282051282,195,-0.1439325340642023,334,52.24602056052379,67,618,145,334,145,20.0,10.0,20.0,0.0,0.0,10.0,1.3166666666666669,0.5310344827586206,10.0,0.0,10.0,0.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site6,6,815152,C,72.49428571428571,175,-0.08630609427458828,275,44.202225395402415,58,612,77,275,77,-10.0,-10.0,0.0,20.0,10.0,20.0,1.4833333333333334,0.2467532467532467,-10.0,10.0,-10.0,20.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site6,6,815152,E,76.99127906976744,172,-0.19648198757535523,280,55.001340117064224,34,514,87,280,87,-10.0,-30.0,-10.0,-10.0,-10.0,0.0,1.4166666666666667,0.4137931034482758,-20.0,-10.0,-20.0,-10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site7,7,816308,A,70.97429906542057,214,-0.16569089759035321,321,46.69513854918458,100,553,134,321,134,-30.0,-30.0,-15.0,-20.0,-25.0,-10.0,0.9333333333333332,0.582089552238806,-20.0,-20.0,-20.0,-20.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site7,7,816308,B,72.65384615384616,247,-0.1399578719886335,321,51.96384677912338,115,608,136,321,136,40.0,30.0,40.0,10.0,0.0,20.0,1.3666666666666667,0.6691176470588235,30.0,10.0,40.0,10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site7,7,816308,C,64.3717277486911,382,-0.0944375029350894,538,39.25721444107147,150,818,205,538,205,-20.0,-20.0,-20.0,30.0,20.0,30.0,1.2,0.5707317073170731,-20.0,20.0,-10.0,20.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site7,7,816308,E,72.662,250,-0.139227250450431,359,51.91032737228473,93,533,143,359,143,-10.0,-20.0,-10.0,-10.0,-10.0,0.0,0.7,0.5384615384615384,-20.0,-10.0,-10.0,-10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site8,8,817334,A,69.48516949152543,236,-0.03907420328776186,359,41.78921939642752,73,721,191,359,191,-20.0,-30.0,-10.0,-20.0,-30.0,-10.0,0.7166666666666667,0.4973821989528796,-20.0,-20.0,-20.0,-20.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site8,8,817334,B,71.34730538922156,167,-0.10226817293787287,286,46.570870445689586,34,718,121,286,121,20.0,10.0,30.0,-10.0,-10.0,0.0,0.55,0.4132231404958678,20.0,-10.0,30.0,-10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site8,8,817334,C,75.91810344827586,232,-0.10166920769193762,380,49.926545411881364,38,837,154,380,154,-15.0,-20.0,-10.0,5.0,0.0,10.0,0.975,0.3766233766233766,-10.0,0.0,-20.0,10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site8,8,817334,E,75.72613065326634,199,-0.14444950638713686,307,42.87289620543006,43,649,119,307,119,-10.0,-20.0,0.0,-10.0,-10.0,-10.0,0.55,0.5126050420168067,-10.0,-10.0,-10.0,-10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site9,9,817335,A,71.74170616113744,211,-0.15110638929350986,323,47.263502430959036,85,554,131,323,131,-20.0,-20.0,-10.0,-10.0,-20.0,-10.0,1.6,0.3358778625954198,-20.0,-10.0,-20.0,-10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site9,9,817335,B,71.91908713692946,241,-0.10374597096106151,378,45.63486847557316,75,611,158,378,158,20.0,10.0,30.0,10.0,0.0,10.0,1.6166666666666667,0.5189873417721519,20.0,10.0,20.0,10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site9,9,817335,C,70.5,234,-0.0657007167211332,411,43.945574064646124,101,609,190,411,190,10.0,10.0,20.0,20.0,20.0,30.0,1.7916666666666667,0.5421052631578948,10.0,20.0,10.0,20.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site9,9,817335,E,73.93636363636364,275,-0.12614244913317005,425,43.37749438666704,80,629,190,425,190,-30.0,-40.0,-30.0,10.0,10.0,10.0,1.5666666666666669,0.6421052631578947,-30.0,10.0,-30.0,10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
