cohort,session_id,pref_tf_dg,mean,n_units
Allen Brain Observatory 1.1,715093703,1.0,0.008909674746118559,36
Allen Brain Observatory 1.1,715093703,2.0,0.16199950698789778,8
Allen Brain Observatory 1.1,715093703,8.0,-0.18716829043124542,6
Allen Brain Observatory 1.1,715093703,15.0,-0.038342127232059146,12
Allen Brain Observatory 1.1,719161530,1.0,0.037092570234040105,29
Allen Brain Observatory 1.1,719161530,2.0,-0.19789588371544822,5
Allen Brain Observatory 1.1,719161530,4.0,0.14565899774882576,8
Allen Brain Observatory 1.1,719161530,8.0,-0.08592450765232844,5
Allen Brain Observatory 1.1,719161530,15.0,0.31678272446456646,10
Allen Brain Observatory 1.1,721123822,1.0,-0.22768639475282015,25
Allen Brain Observatory 1.1,721123822,2.0,0.031723922169669676,6
Allen Brain Observatory 1.1,721123822,8.0,0.0276314438621022,6
Allen Brain Observatory 1.1,721123822,15.0,-0.19559604116105586,6
Allen Brain Observatory 1.1,732592105,1.0,0.014570072311179315,67
Allen Brain Observatory 1.1,732592105,2.0,0.05174121327377419,19
Allen Brain Observatory 1.1,732592105,4.0,-0.1130410126003144,12
Allen Brain Observatory 1.1,732592105,8.0,0.045483813131425646,8
Allen Brain Observatory 1.1,732592105,15.0,-0.43073695873559315,14
Allen Brain Observatory 1.1,737581020,1.0,0.11275369545702803,21
Allen Brain Observatory 1.1,737581020,2.0,0.20632325263391746,7
Allen Brain Observatory 1.1,737581020,4.0,0.012368749049736217,10
Allen Brain Observatory 1.1,737581020,8.0,-0.32391162874148677,6
Allen Brain Observatory 1.1,737581020,15.0,-0.044837552656882024,6
Allen Brain Observatory 1.1,739448407,1.0,0.2687950706402413,9
Allen Brain Observatory 1.1,739448407,15.0,-0.03719405445434953,6
Allen Brain Observatory 1.1,742951821,1.0,-0.14458314471497255,24
Allen Brain Observatory 1.1,742951821,15.0,-0.010127492584216902,5
Allen Brain Observatory 1.1,743475441,1.0,-0.4270441118169214,14
Allen Brain Observatory 1.1,743475441,2.0,0.12580935658285286,8
Allen Brain Observatory 1.1,743475441,4.0,-0.07922844966220932,11
Allen Brain Observatory 1.1,744228101,1.0,-0.1837188706425536,23
Allen Brain Observatory 1.1,744228101,8.0,-0.15773005472931548,6
Allen Brain Observatory 1.1,744228101,15.0,0.3775068134247708,6
Allen Brain Observatory 1.1,746083955,1.0,0.19291865930942054,10
Allen Brain Observatory 1.1,750332458,1.0,-0.10507227203915494,33
Allen Brain Observatory 1.1,750332458,2.0,-0.030866322821889745,5
Allen Brain Observatory 1.1,750332458,4.0,-0.46723793136134845,11
Allen Brain Observatory 1.1,750332458,8.0,0.24601431007147032,6
Allen Brain Observatory 1.1,750332458,15.0,0.23525258129857102,15
Allen Brain Observatory 1.1,750749662,1.0,-0.0001860755580088344,32
Allen Brain Observatory 1.1,750749662,2.0,-0.17222768725797621,8
Allen Brain Observatory 1.1,750749662,4.0,0.3347188193197521,7
Allen Brain Observatory 1.1,750749662,8.0,-0.008483291655154367,9
Allen Brain Observatory 1.1,750749662,15.0,0.3039536147335098,8
Allen Brain Observatory 1.1,751348571,1.0,-0.06393138353861111,33
Allen Brain Observatory 1.1,751348571,2.0,0.1361072054177697,6
Allen Brain Observatory 1.1,751348571,8.0,-0.3186598499182796,7
Allen Brain Observatory 1.1,754312389,1.0,0.2213129552468816,57
Allen Brain Observatory 1.1,754312389,2.0,-0.023083629147529133,19
Allen Brain Observatory 1.1,754312389,4.0,-0.198979673046023,8
Allen Brain Observatory 1.1,754312389,8.0,0.056947593628697495,14
Allen Brain Observatory 1.1,754312389,15.0,0.3915100462497781,13
Allen Brain Observatory 1.1,754829445,1.0,0.06424544088189346,47
Allen Brain Observatory 1.1,754829445,2.0,-0.13502354706944705,17
Allen Brain Observatory 1.1,754829445,4.0,0.04022458089322974,14
Allen Brain Observatory 1.1,754829445,8.0,-0.17062403859631292,8
Allen Brain Observatory 1.1,754829445,15.0,-0.13858093869355717,12
Allen Brain Observatory 1.1,755434585,1.0,-0.0048943971613421835,52
Allen Brain Observatory 1.1,755434585,2.0,-0.01436265126928744,11
Allen Brain Observatory 1.1,755434585,4.0,-0.0936599018211786,10
Allen Brain Observatory 1.1,755434585,8.0,0.2540716025312829,6
Allen Brain Observatory 1.1,755434585,15.0,-0.04542705109743074,8
Allen Brain Observatory 1.1,756029989,1.0,0.14635195581389623,32
Allen Brain Observatory 1.1,756029989,2.0,0.03526435422498648,15
Allen Brain Observatory 1.1,756029989,15.0,-0.06477973860047288,6
Allen Brain Observatory 1.1,757216464,1.0,-0.15055260794201678,47
Allen Brain Observatory 1.1,757216464,2.0,0.12794522204763575,15
Allen Brain Observatory 1.1,757216464,8.0,-0.13417470605438167,20
Allen Brain Observatory 1.1,757216464,15.0,0.3732328181176651,10
Allen Brain Observatory 1.1,757970808,1.0,0.07962474231445742,48
Allen Brain Observatory 1.1,757970808,2.0,0.07580904002059129,17
Allen Brain Observatory 1.1,757970808,4.0,-0.15044077018282376,6
Allen Brain Observatory 1.1,757970808,8.0,0.433296320998779,14
Allen Brain Observatory 1.1,757970808,15.0,-0.1487643790957204,11
Allen Brain Observatory 1.1,758798717,1.0,-0.03363010332438015,29
Allen Brain Observatory 1.1,758798717,2.0,-0.10330872154801322,6
Allen Brain Observatory 1.1,758798717,4.0,-0.06734408309511905,5
Allen Brain Observatory 1.1,758798717,8.0,0.020715162535879697,9
Allen Brain Observatory 1.1,759883607,1.0,0.05759841336834548,41
Allen Brain Observatory 1.1,759883607,2.0,-0.0863614379082722,15
Allen Brain Observatory 1.1,759883607,4.0,0.0959414330483625,6
Allen Brain Observatory 1.1,759883607,8.0,0.5096478715888705,6
Allen Brain Observatory 1.1,759883607,15.0,0.2537506520344579,7
Allen Brain Observatory 1.1,760345702,1.0,0.05683015791522635,37
Allen Brain Observatory 1.1,760345702,2.0,0.009292781787513409,18
Allen Brain Observatory 1.1,760345702,4.0,0.05638817613864309,6
Allen Brain Observatory 1.1,760345702,8.0,-0.13002993339792307,5
Allen Brain Observatory 1.1,760345702,15.0,0.18576816541889632,13
Allen Brain Observatory 1.1,760693773,1.0,0.1892466471589978,43
Allen Brain Observatory 1.1,760693773,2.0,0.2607006937195374,13
Allen Brain Observatory 1.1,760693773,4.0,-0.061559455155915765,14
Allen Brain Observatory 1.1,760693773,8.0,-0.10208631261667983,12
Allen Brain Observatory 1.1,760693773,15.0,0.4389527426294331,12
Allen Brain Observatory 1.1,761418226,1.0,0.03497630747452491,12
Allen Brain Observatory 1.1,761418226,4.0,-0.11682859555657839,6
Allen Brain Observatory 1.1,761418226,8.0,-0.16185412816331984,12
Allen Brain Observatory 1.1,761418226,15.0,-0.12122228991149406,7
Allen Brain Observatory 1.1,762120172,1.0,0.11130780408073145,43
Allen Brain Observatory 1.1,762120172,2.0,0.18549555300409987,17
Allen Brain Observatory 1.1,762120172,4.0,0.2796754012847642,9
Allen Brain Observatory 1.1,762120172,8.0,0.31118187918233176,6
Allen Brain Observatory 1.1,762120172,15.0,0.008975254186298222,19
Allen Brain Observatory 1.1,762602078,1.0,0.0997072466470737,54
Allen Brain Observatory 1.1,762602078,2.0,0.41930273237868027,6
Allen Brain Observatory 1.1,762602078,4.0,0.2808853531191716,5
Allen Brain Observatory 1.1,762602078,8.0,0.22881399924542764,6
Allen Brain Observatory 1.1,762602078,15.0,0.2842029231998241,20
Allen Brain Observatory 1.1,763673393,1.0,0.06822478895649821,49
Allen Brain Observatory 1.1,763673393,2.0,0.20878733769192848,10
Allen Brain Observatory 1.1,763673393,8.0,0.47595296840392576,5
Allen Brain Observatory 1.1,763673393,15.0,-0.09949980570735263,13
Allen Brain Observatory 1.1,773418906,1.0,0.012555581632887898,18
Allen Brain Observatory 1.1,773418906,2.0,-0.28613257495247507,6
Allen Brain Observatory 1.1,773418906,4.0,0.1340893963388063,5
Allen Brain Observatory 1.1,773418906,15.0,0.09573437418188742,10
Allen Brain Observatory 1.1,791319847,1.0,0.15285124914904707,60
Allen Brain Observatory 1.1,791319847,2.0,0.39741866500317724,9
Allen Brain Observatory 1.1,791319847,4.0,0.3531753725001974,7
Allen Brain Observatory 1.1,791319847,8.0,0.387407641014927,11
Allen Brain Observatory 1.1,791319847,15.0,0.3017824376239525,14
Allen Brain Observatory 1.1,797828357,1.0,-0.11137402054045996,52
Allen Brain Observatory 1.1,797828357,2.0,0.20174660428702676,9
Allen Brain Observatory 1.1,797828357,4.0,0.5805308109514127,5
Allen Brain Observatory 1.1,797828357,8.0,-0.16314101261413394,10
Allen Brain Observatory 1.1,797828357,15.0,0.06863378721192467,15
Allen Brain Observatory 1.1,798911424,1.0,0.2176285723203164,53
Allen Brain Observatory 1.1,798911424,2.0,-0.03467966395595469,19
Allen Brain Observatory 1.1,798911424,8.0,0.14128581866910675,14
Allen Brain Observatory 1.1,798911424,15.0,0.16605918373055667,13
Allen Brain Observatory 1.1,799864342,1.0,0.22724491695721338,38
Allen Brain Observatory 1.1,799864342,2.0,0.2094437212586598,8
Allen Brain Observatory 1.1,799864342,4.0,-0.1360811037135189,9
Allen Brain Observatory 1.1,799864342,8.0,0.24946854500509327,6
Allen Brain Observatory 1.1,799864342,15.0,0.04248762955590837,15
Allen Functional Connectivity,766640955,2.0,0.08074570181393972,66
Allen Functional Connectivity,767871931,2.0,0.15617732332014653,111
Allen Functional Connectivity,768515987,2.0,0.15015908605491898,82
Allen Functional Connectivity,771160300,2.0,0.3144820853014928,88
Allen Functional Connectivity,771990200,2.0,0.3365387040515005,63
Allen Functional Connectivity,774875821,2.0,0.2187456060418437,82
Allen Functional Connectivity,778240327,2.0,0.3916919481853897,96
Allen Functional Connectivity,778998620,2.0,0.3119747408226751,77
Allen Functional Connectivity,779839471,2.0,0.3657586538126217,135
Allen Functional Connectivity,781842082,2.0,0.31002786769470553,90
Allen Functional Connectivity,786091066,2.0,0.2742297353726118,92
Allen Functional Connectivity,787025148,2.0,0.07983742284877751,72
Allen Functional Connectivity,789848216,2.0,-0.09853993742642111,17
Allen Functional Connectivity,793224716,2.0,0.09742862002916822,90
Allen Functional Connectivity,794812542,2.0,0.28488756532965115,119
Allen Functional Connectivity,816200189,2.0,0.17372519904818526,76
Allen Functional Connectivity,821695405,2.0,0.08100579160717361,40
Allen Functional Connectivity,829720705,2.0,0.1045254544491963,57
Allen Functional Connectivity,831882777,2.0,0.39060573451219477,72
Allen Functional Connectivity,835479236,2.0,0.20687673060897827,84
Allen Functional Connectivity,839068429,2.0,0.2725367750649232,92
Allen Functional Connectivity,839557629,2.0,-0.19451556806190434,64
Allen Functional Connectivity,840012044,2.0,0.13885420915251484,55
Allen Functional Connectivity,847657808,2.0,0.32956395973632063,54
MouseV2 V1,2,1.0,-0.08436673565805455,401
MouseV2 V1,2,2.0,-0.19718548517191592,288
MouseV2 V1,2,4.0,-0.2090109386014996,238
MouseV2 V1,2,8.0,-0.03849554149476537,225
MouseV2 V1,2,15.0,-0.167818708482524,177
MouseV2 V1,3,1.0,0.04150368694313057,505
MouseV2 V1,3,2.0,-0.21898686029286105,236
MouseV2 V1,3,4.0,-0.184053265828228,237
MouseV2 V1,3,8.0,0.09431927954585578,174
MouseV2 V1,3,15.0,-0.24264768899900116,257
MouseV2 V1,4,1.0,-0.038608792643096225,340
MouseV2 V1,4,2.0,-0.09839951599148944,354
MouseV2 V1,4,4.0,-0.09733880292253297,176
MouseV2 V1,4,8.0,-0.17809122527080298,142
MouseV2 V1,4,15.0,-0.2431589622197121,164
MouseV2 V1,5,1.0,0.005023517620298687,689
MouseV2 V1,5,2.0,-0.1944213360736023,283
MouseV2 V1,5,4.0,-0.09641981745913501,270
MouseV2 V1,5,8.0,0.03950839741997325,224
MouseV2 V1,5,15.0,-0.17607743101343692,245
MouseV2 V1,6,1.0,-0.03799947900919585,342
MouseV2 V1,6,2.0,-0.22277573305174772,232
MouseV2 V1,6,4.0,-0.11898157523212945,238
MouseV2 V1,6,8.0,-0.054379127142817285,207
MouseV2 V1,6,15.0,-0.2769953354638465,190
MouseV2 V1,7,1.0,-0.1398309176657015,440
MouseV2 V1,7,2.0,-0.20412119150094843,284
MouseV2 V1,7,4.0,-0.07085124774833945,251
MouseV2 V1,7,8.0,-0.040267087502304684,305
MouseV2 V1,7,15.0,-0.190509913102021,259
MouseV2 V1,8,1.0,-0.04678275324958021,463
MouseV2 V1,8,2.0,-0.115372781556484,386
MouseV2 V1,8,4.0,-0.13841233369874156,185
MouseV2 V1,8,8.0,0.04461000464445887,136
MouseV2 V1,8,15.0,-0.2501420017675693,162
MouseV2 V1,9,1.0,-0.006860538591642935,507
MouseV2 V1,9,2.0,-0.27353669724023133,261
MouseV2 V1,9,4.0,-0.16222108422001838,234
MouseV2 V1,9,8.0,-0.0595372608141265,253
MouseV2 V1,9,15.0,-0.14447817191470322,282
