cohort,session_id,common_qc_units,valid_timescale_units,valid_fraction
Allen Brain Observatory 1.1,715093703,65,18,0.27692307692307694
Allen Brain Observatory 1.1,719161530,57,9,0.15789473684210525
Allen Brain Observatory 1.1,721123822,47,9,0.19148936170212766
Allen Brain Observatory 1.1,732592105,120,33,0.275
Allen Brain Observatory 1.1,737581020,50,10,0.2
Allen Brain Observatory 1.1,739448407,21,8,0.38095238095238093
Allen Brain Observatory 1.1,742951821,37,4,0.10810810810810811
Allen Brain Observatory 1.1,743475441,47,0,0.0
Allen Brain Observatory 1.1,744228101,38,8,0.21052631578947367
Allen Brain Observatory 1.1,746083955,14,6,0.42857142857142855
Allen Brain Observatory 1.1,750332458,70,12,0.17142857142857143
Allen Brain Observatory 1.1,750749662,64,7,0.109375
Allen Brain Observatory 1.1,751348571,53,9,0.16981132075471697
Allen Brain Observatory 1.1,754312389,111,30,0.2702702702702703
Allen Brain Observatory 1.1,754829445,98,24,0.24489795918367346
Allen Brain Observatory 1.1,755434585,87,20,0.22988505747126436
Allen Brain Observatory 1.1,756029989,55,11,0.2
Allen Brain Observatory 1.1,757216464,95,16,0.16842105263157894
Allen Brain Observatory 1.1,757970808,96,14,0.14583333333333334
Allen Brain Observatory 1.1,758798717,53,9,0.16981132075471697
Allen Brain Observatory 1.1,759883607,75,18,0.24
Allen Brain Observatory 1.1,760345702,79,17,0.21518987341772153
Allen Brain Observatory 1.1,760693773,94,23,0.24468085106382978
Allen Brain Observatory 1.1,761418226,40,17,0.425
Allen Brain Observatory 1.1,762120172,94,23,0.24468085106382978
Allen Brain Observatory 1.1,762602078,91,23,0.25274725274725274
Allen Brain Observatory 1.1,763673393,78,16,0.20512820512820512
Allen Brain Observatory 1.1,773418906,42,11,0.2619047619047619
Allen Brain Observatory 1.1,791319847,101,14,0.13861386138613863
Allen Brain Observatory 1.1,797828357,91,23,0.25274725274725274
Allen Brain Observatory 1.1,798911424,103,15,0.14563106796116504
Allen Brain Observatory 1.1,799864342,76,10,0.13157894736842105
Allen Functional Connectivity,766640955,66,17,0.25757575757575757
Allen Functional Connectivity,767871931,111,33,0.2972972972972973
Allen Functional Connectivity,768515987,82,18,0.21951219512195122
Allen Functional Connectivity,771160300,88,16,0.18181818181818182
Allen Functional Connectivity,771990200,63,4,0.06349206349206349
Allen Functional Connectivity,774875821,82,30,0.36585365853658536
Allen Functional Connectivity,778240327,96,16,0.16666666666666666
Allen Functional Connectivity,778998620,77,14,0.18181818181818182
Allen Functional Connectivity,779839471,135,26,0.1925925925925926
Allen Functional Connectivity,781842082,90,20,0.2222222222222222
Allen Functional Connectivity,786091066,92,19,0.20652173913043478
Allen Functional Connectivity,787025148,72,23,0.3194444444444444
Allen Functional Connectivity,789848216,17,2,0.11764705882352941
Allen Functional Connectivity,793224716,90,16,0.17777777777777778
Allen Functional Connectivity,794812542,119,23,0.19327731092436976
Allen Functional Connectivity,816200189,76,23,0.3026315789473684
Allen Functional Connectivity,821695405,40,2,0.05
Allen Functional Connectivity,829720705,57,13,0.22807017543859648
Allen Functional Connectivity,831882777,72,11,0.1527777777777778
Allen Functional Connectivity,835479236,84,19,0.2261904761904762
Allen Functional Connectivity,839068429,92,41,0.44565217391304346
Allen Functional Connectivity,839557629,69,0,0.0
Allen Functional Connectivity,840012044,55,12,0.21818181818181817
Allen Functional Connectivity,847657808,54,17,0.3148148148148148
MouseV2 V1,2,1329,238,0.17908201655379985
MouseV2 V1,3,1409,265,0.1880766501064585
MouseV2 V1,4,1176,197,0.16751700680272108
MouseV2 V1,5,1711,462,0.27001753360607833
MouseV2 V1,6,1209,226,0.1869313482216708
MouseV2 V1,7,1539,458,0.29759584145549056
MouseV2 V1,8,1332,188,0.14114114114114115
MouseV2 V1,9,1537,341,0.22186076772934288
