ecephys_session_id,shared_areas,ridge_lambda,linear_az_to_az,linear_az_to_el,linear_el_to_az,linear_el_to_el,translation_azimuth_deg,translation_elevation_deg,determinant,minimum_singular_value,maximum_singular_value,weighted_rf_center_error_before_deg,weighted_rf_center_error_after_deg
715093703,5,0.1,0.559267,0.237203,0.0902814,0.827367,19.6452,-2.71294,0.441304,0.485583,0.908813,17.8824,12.8903
719161530,6,0.1,0.5229,-0.101523,0.0679915,0.724408,13.44,9.96298,0.385696,0.527248,0.731527,19.963,7.60237
721123822,5,0.1,0.475673,-0.123973,0.421683,0.566308,27.3317,11.3436,0.321655,0.432504,0.743705,17.1007,5.67839
732592105,5,0.1,0.558636,0.419666,-0.0745762,0.260535,18.4481,-9.64561,0.176841,0.250352,0.706369,24.7705,11.616
737581020,4,0.1,0.415438,0.210017,-0.0889846,0.970281,30.0605,-19.0551,0.42178,0.42486,0.992751,20.2641,5.12795
739448407,4,0.1,0.430962,0.0652189,0.439968,0.53078,23.9412,0.429637,0.200052,0.25861,0.773564,24.9865,4.35591
742951821,5,0.1,0.35171,0.0470245,0.126746,0.495059,27.3476,1.43723,0.168157,0.312623,0.53789,21.79,11.4301
744228101,4,0.1,0.490096,-0.110061,0.479348,0.551845,16.098,2.45706,0.323215,0.411342,0.785756,21.3804,3.63853
746083955,5,0.1,0.201803,0.497129,0.685218,-0.180438,27.7775,-4.67675,-0.377055,0.526651,0.715948,31.1787,10.0729
750332458,5,0.1,0.394317,-0.129778,0.700385,0.6278,30.9115,2.82896,0.338447,0.350123,0.966651,25.7451,6.73009
750749662,6,0.1,0.663455,0.127607,-0.0262322,0.834322,12.3714,-15.7747,0.556883,0.65349,0.852167,17.4173,8.26552
751348571,5,0.1,0.449011,0.511864,-0.085525,0.889858,23.4278,-27.9633,0.443333,0.42641,1.03969,18.6617,7.77234
754312389,6,0.1,0.875955,-0.211012,-0.278275,0.769084,9.65872,18.9192,0.614964,0.572796,1.07362,15.1302,8.38284
754829445,4,0.1,0.536297,-0.208736,-0.0580591,0.0553437,13.4537,19.028,0.0175617,0.0302651,0.580261,27.8776,8.00274
755434585,6,0.1,0.824956,-0.278266,0.0650582,0.715943,3.94043,21.1522,0.608726,0.669612,0.909073,11.8111,6.60263
756029989,6,0.1,0.647231,0.197739,-0.0597251,0.675933,20.2045,-4.93454,0.449295,0.603506,0.744474,12.4123,3.96479
757216464,5,0.1,-0.0512278,0.0457526,0.727369,0.619566,40.7311,-6.39299,-0.065018,0.0680447,0.955519,27.5545,7.17037
757970808,4,0.1,0.849444,0.105798,0.0735207,0.369368,19.6651,-3.24434,0.305979,0.353383,0.865856,20.7956,5.32237
758798717,4,0.1,0.498295,-0.330351,-0.58503,0.0754791,40.5156,30.9007,-0.155654,0.190278,0.818035,22.3082,10.0222
759883607,4,0.1,0.529328,0.744056,-0.473752,0.876375,29.7847,-23.4828,0.816387,0.70998,1.14987,21.7705,11.1725
760345702,5,0.1,0.616717,-0.424445,-0.347166,0.251765,24.2709,37.016,0.00791475,0.00917397,0.862739,20.9969,12.3374
760693773,5,0.1,0.719625,0.501386,-0.445936,0.714416,14.1159,-6.39923,0.737697,0.831497,0.887191,23.6045,9.91816
761418226,4,0.1,0.767791,0.269033,0.163791,0.669637,12.7867,-0.562956,0.470076,0.498731,0.942545,19.0862,6.17341
762120172,4,0.1,0.634781,0.166679,-0.0683018,0.0376626,21.2835,5.6355,0.035292,0.0535748,0.658743,19.1861,6.92685
762602078,3,0.1,0.942907,-0.0914583,-0.335121,0.681906,29.2421,-1.76234,0.612324,0.571445,1.07154,27.8479,6.81696
763673393,4,0.1,0.506876,-0.339077,0.339863,0.320539,27.8575,24.3593,0.277713,0.441988,0.628327,19.5719,7.2913
773418906,4,0.1,1.26241,0.605075,0.117341,0.313479,-7.9651,-20.1354,0.324737,0.228506,1.42113,22.1636,14.7845
791319847,6,0.1,0.8043,0.418596,0.12402,0.532627,6.09631,-13.2422,0.376477,0.381084,0.987911,15.0456,8.4612
797828357,6,0.1,0.62106,-0.0811671,0.0147368,-0.146046,11.6396,19.8659,-0.0895072,0.142689,0.627288,29.2398,11.1037
798911424,5,0.1,0.829091,0.386344,0.189868,0.0195343,5.67503,-11.1085,-0.0571588,0.0613044,0.932377,17.0399,8.42042
799864342,5,0.1,0.707875,0.18182,0.151289,0.175685,9.71983,-3.4818,0.0968556,0.128122,0.755965,20.1886,5.87346
