preference,area,preference_value,units,sessions
sf,AL,0.02,901,24
sf,AL,0.04,329,23
sf,AL,0.08,361,24
sf,AL,0.16,203,24
sf,AL,0.32,242,23
sf,AM,0.02,713,25
sf,AM,0.04,262,25
sf,AM,0.08,392,25
sf,AM,0.16,151,25
sf,AM,0.32,219,25
sf,LM,0.02,495,23
sf,LM,0.04,212,23
sf,LM,0.08,234,23
sf,LM,0.16,137,23
sf,LM,0.32,133,21
sf,PM,0.02,428,19
sf,PM,0.04,156,19
sf,PM,0.08,299,19
sf,PM,0.16,101,17
sf,PM,0.32,123,19
sf,RL,0.02,825,27
sf,RL,0.04,245,25
sf,RL,0.08,247,25
sf,RL,0.16,164,27
sf,RL,0.32,161,26
sf,V1,0.02,924,31
sf,V1,0.04,778,31
sf,V1,0.08,720,31
sf,V1,0.16,267,31
sf,V1,0.32,497,31
tf,AL,1.0,666,24
tf,AL,2.0,366,24
tf,AL,4.0,249,24
tf,AL,8.0,308,24
tf,AL,15.0,447,24
tf,AM,1.0,690,25
tf,AM,2.0,289,25
tf,AM,4.0,192,25
tf,AM,8.0,254,25
tf,AM,15.0,312,25
tf,LM,1.0,523,23
tf,LM,2.0,212,22
tf,LM,4.0,135,22
tf,LM,8.0,144,22
tf,LM,15.0,197,22
tf,PM,1.0,576,19
tf,PM,2.0,175,19
tf,PM,4.0,104,18
tf,PM,8.0,105,18
tf,PM,15.0,147,19
tf,RL,1.0,507,27
tf,RL,2.0,398,27
tf,RL,4.0,198,26
tf,RL,8.0,240,27
tf,RL,15.0,299,26
tf,V1,1.0,1791,31
tf,V1,2.0,501,31
tf,V1,4.0,257,30
tf,V1,8.0,294,30
tf,V1,15.0,343,31
