preference,area,preference_value,units,sessions
sf,AL,0.02,654,24
sf,AL,0.04,236,23
sf,AL,0.08,242,23
sf,AL,0.16,128,22
sf,AL,0.32,144,23
sf,AM,0.02,419,25
sf,AM,0.04,157,25
sf,AM,0.08,207,24
sf,AM,0.16,83,22
sf,AM,0.32,113,24
sf,LM,0.02,340,23
sf,LM,0.04,150,22
sf,LM,0.08,160,23
sf,LM,0.16,92,19
sf,LM,0.32,76,20
sf,PM,0.02,238,18
sf,PM,0.04,94,17
sf,PM,0.08,145,19
sf,PM,0.16,51,14
sf,PM,0.32,63,14
sf,RL,0.02,474,27
sf,RL,0.04,173,24
sf,RL,0.08,152,23
sf,RL,0.16,75,21
sf,RL,0.32,83,25
sf,V1,0.02,633,31
sf,V1,0.04,554,31
sf,V1,0.08,486,31
sf,V1,0.16,172,31
sf,V1,0.32,351,31
tf,AL,1.0,551,24
tf,AL,2.0,282,24
tf,AL,4.0,162,23
tf,AL,8.0,206,23
tf,AL,15.0,318,24
tf,AM,1.0,492,25
tf,AM,2.0,192,25
tf,AM,4.0,107,24
tf,AM,8.0,152,25
tf,AM,15.0,183,25
tf,LM,1.0,420,23
tf,LM,2.0,172,22
tf,LM,4.0,98,22
tf,LM,8.0,97,21
tf,LM,15.0,144,22
tf,PM,1.0,404,19
tf,PM,2.0,112,18
tf,PM,4.0,51,13
tf,PM,8.0,66,16
tf,PM,15.0,87,18
tf,RL,1.0,350,27
tf,RL,2.0,280,27
tf,RL,4.0,129,25
tf,RL,8.0,168,27
tf,RL,15.0,215,26
tf,V1,1.0,1518,31
tf,V1,2.0,419,31
tf,V1,4.0,183,28
tf,V1,8.0,221,30
tf,V1,15.0,255,31
