preference,area,bandwidth_deg,source_units,source_sessions,supported_grid_fraction,surface_median_preference,surface_p10_preference,surface_p90_preference,shared_v1_grid_fraction,median_delta_from_v1_log2,p10_delta_from_v1_log2,p90_delta_from_v1_log2
sf,AL,8,1404,24,0.904224,0.0474274,0.0410457,0.0587736,0.527662,-0.304649,-0.572701,-0.108787
sf,AL,12,1404,24,0.995836,0.0476496,0.041579,0.0558431,0.839976,-0.347827,-0.553011,-0.076313
sf,AL,16,1404,24,1,0.0480615,0.0418748,0.0534702,0.977394,-0.335428,-0.536798,-0.124203
sf,AM,8,979,25,0.908388,0.0472672,0.0419796,0.0715647,0.629982,-0.355055,-0.578173,-0.0206601
sf,AM,12,979,25,0.991077,0.046952,0.0432977,0.0668357,0.911957,-0.363833,-0.491952,0.0648952
sf,AM,16,979,25,1,0.0464897,0.0440526,0.0604228,0.983938,-0.379086,-0.451451,-0.0497739
sf,HVA pooled,8,4749,31,1,0.0466042,0.0430591,0.0497747,0.703153,-0.368117,-0.49245,-0.222521
sf,HVA pooled,12,4749,31,1,0.0463364,0.0441213,0.0488663,0.944676,-0.37663,-0.43987,-0.305517
sf,HVA pooled,16,4749,31,1,0.0462231,0.0446818,0.0487001,0.997026,-0.370132,-0.407091,-0.329312
sf,LM,8,818,23,0.960738,0.0470975,0.0393312,0.0551114,0.580012,-0.346222,-0.658025,-0.12131
sf,LM,12,818,23,1,0.0474595,0.0408375,0.0519462,0.839381,-0.383918,-0.62848,-0.235089
sf,LM,16,818,23,1,0.0477265,0.0420715,0.0500909,0.963712,-0.391237,-0.545199,-0.281298
sf,PM,8,591,19,0.628792,0.0498588,0.0440018,0.0646035,0.451517,-0.100164,-0.439594,0.216931
sf,PM,12,591,19,0.839381,0.0520324,0.0459924,0.0615407,0.759667,-0.144985,-0.364385,0.115259
sf,PM,16,591,19,0.94884,0.0525351,0.046627,0.0607233,0.939917,-0.18773,-0.366837,0.0589883
sf,RL,8,957,27,0.58834,0.0395349,0.0351326,0.0472719,0.393218,-0.630079,-0.779607,-0.244923
sf,RL,12,957,27,0.863772,0.0395756,0.0365464,0.047928,0.797739,-0.615932,-0.735672,-0.320641
sf,RL,16,957,27,0.984533,0.0403296,0.037653,0.0488132,0.979179,-0.579218,-0.666761,-0.282826
sf,V1,8,2196,31,0.703153,0.059307,0.0544499,0.0650437,0.703153,0,0,0
sf,V1,12,2196,31,0.944676,0.0597707,0.0564533,0.0636093,0.944676,0,0,0
sf,V1,16,2196,31,0.997026,0.0597528,0.0576479,0.0621657,0.997026,0,0,0
tf,AL,8,1519,24,0.961333,2.84874,2.28783,3.68396,0.596074,0.479633,0.14452,0.980389
tf,AL,12,1519,24,0.999405,2.81279,2.39964,3.64902,0.874479,0.520274,0.21339,0.935942
tf,AL,16,1519,24,1,2.85284,2.4538,3.61583,0.984533,0.570388,0.278627,0.943184
tf,AM,8,1126,25,0.963712,2.49363,2.01877,3.52719,0.677573,0.34652,-0.0855457,0.951604
tf,AM,12,1126,25,0.99762,2.45219,2.11113,3.37974,0.936942,0.311454,0.046279,0.83354
tf,AM,16,1126,25,1,2.48189,2.16386,3.29839,0.991672,0.362269,0.123153,0.782047
tf,HVA pooled,8,5438,31,1,2.64173,2.34851,3.27364,0.735872,0.389146,0.218499,0.802358
tf,HVA pooled,12,5438,31,1,2.62824,2.40852,3.26211,0.971446,0.415631,0.282671,0.764391
tf,HVA pooled,16,5438,31,1,2.62068,2.46069,3.19436,1,0.442135,0.339637,0.760816
tf,LM,8,931,23,0.982748,2.3797,1.98766,3.17723,0.599048,0.354662,0.0609512,0.79881
tf,LM,12,931,23,1,2.38291,2.02535,2.97869,0.876859,0.371161,0.0785517,0.696265
tf,LM,16,931,23,1,2.42965,2.10746,2.90771,0.972635,0.402886,0.12518,0.666321
tf,PM,8,720,19,0.674004,2.06391,1.78152,2.89317,0.48602,0.0972589,-0.279488,0.644499
tf,PM,12,720,19,0.891731,2.19529,1.87356,2.87216,0.807258,0.200676,-0.160676,0.565016
tf,PM,16,720,19,0.97323,2.20699,1.92719,2.63041,0.967281,0.163299,-0.0966113,0.50266
tf,RL,8,1142,27,0.651993,2.94939,2.37741,4.27864,0.456871,0.688611,0.283932,1.25454
tf,RL,12,1142,27,0.940512,3.01042,2.48959,3.92421,0.899465,0.629535,0.31745,1.07009
tf,RL,16,1142,27,0.999405,3.06039,2.58448,3.59213,0.996431,0.667396,0.453525,0.93497
tf,V1,8,2596,31,0.735872,1.92688,1.72121,2.23943,0.735872,0,0,0
tf,V1,12,2596,31,0.971446,1.93878,1.76245,2.20386,0.971446,0,0,0
tf,V1,16,2596,31,1,1.91926,1.78354,2.03524,1,0,0,0
