feature,label,family,coverage_fraction,finite_units,sessions_with_data,rho_azimuth_rf,units_azimuth_rf,groups_azimuth_rf,median_group_rho_azimuth_rf,sign_agreement_azimuth_rf,rho_elevation_rf,units_elevation_rf,groups_elevation_rf,median_group_rho_elevation_rf,sign_agreement_elevation_rf,rho_rf_eccentricity,units_rf_eccentricity,groups_rf_eccentricity,median_group_rho_rf_eccentricity,sign_agreement_rf_eccentricity,strongest_coordinate,strongest_rho,strongest_abs_rho,strongest_sign_agreement,strongest_median_group_rho
dorsal_ventral_ccf_coordinate,Dorsal–ventral CCF coordinate,Anatomy / probe,0.742467,8107,25,-0.171968,8101,111,-0.201625,0.684685,-0.0251311,8101,111,-0.0553993,0.540541,-0.165331,8101,111,-0.186307,0.702703,azimuth_rf,-0.171968,0.171968,0.684685,-0.201625
cortical_depth,Cortical depth,Anatomy / probe,1,10919,31,-0.148699,8101,111,-0.196826,0.666667,-0.0379954,8101,111,-0.0101863,0.522523,-0.150628,8101,111,-0.179051,0.702703,rf_eccentricity,-0.150628,0.150628,0.702703,-0.179051
probe_vertical_position,Probe vertical position,Anatomy / probe,1,10919,31,0.140028,10913,148,0.193957,0.641892,0.0453317,10913,148,0.0113196,0.52027,0.143259,10913,148,0.184457,0.675676,rf_eccentricity,0.143259,0.143259,0.675676,0.184457
probe_horizontal_position,Probe horizontal position,Anatomy / probe,1,10919,31,0.0975857,10913,148,0.0980354,0.777027,0.107856,10913,148,0.128995,0.716216,0.116421,10913,148,0.115969,0.810811,rf_eccentricity,0.116421,0.116421,0.810811,0.115969
lifetime_sparseness_rf,RF lifetime sparseness,RF mapping,1,10919,31,0.0729803,10913,148,0.0443559,0.608108,0.0190061,10913,148,0.0236668,0.527027,0.0680438,10913,148,0.057262,0.601351,azimuth_rf,0.0729803,0.0729803,0.608108,0.0443559
area_rf,RF area,RF mapping,1,10919,31,-0.0197149,10913,148,0.0179965,0.47973,0.00380518,10913,148,-0.00940221,0.472973,-0.0685915,10913,148,-0.0375667,0.547297,rf_eccentricity,-0.0685915,0.0685915,0.547297,-0.0375667
firing_rate_dg,Drifting-grating response rate,Grating response,1,10919,31,-0.0640497,10913,148,-0.0391689,0.574324,-0.0112525,10913,148,-0.0319637,0.601351,-0.0676797,10913,148,-0.0647749,0.601351,rf_eccentricity,-0.0676797,0.0676797,0.601351,-0.0647749
f1_f0_dg,Drifting-grating F1/F0,Grating response,1,10919,31,0.0584126,10913,148,0.0301626,0.581081,0.00275407,10913,148,0.0277427,0.567568,0.0636857,10913,148,0.036912,0.587838,rf_eccentricity,0.0636857,0.0636857,0.587838,0.036912
time_to_peak_rf,RF response time-to-peak,RF mapping,1,10919,31,-0.0137638,10913,148,-0.00472304,0.540541,-0.0583151,10913,148,-0.0513355,0.695946,-0.0191935,10913,148,-0.0124348,0.540541,elevation_rf,-0.0583151,0.0583151,0.695946,-0.0513355
firing_rate_rf,RF response rate,RF mapping,1,10919,31,-0.0503194,10913,148,-0.0420714,0.601351,-0.0180528,10913,148,-0.0223627,0.554054,-0.0567407,10913,148,-0.0474411,0.601351,rf_eccentricity,-0.0567407,0.0567407,0.601351,-0.0474411
