bin,median,q25,q75,sessions,eccentricity_deg,registration,group
"(-0.001, 10.0]",-0.912815,-0.912815,-0.684611,4,4.9995,raw,V1
"(10.0, 20.0]",-0.398744,-0.912815,0,21,15,raw,V1
"(20.0, 30.0]",0.325798,-0.0996861,0.463527,28,25,raw,V1
"(30.0, 40.0]",0.325798,-0.398744,0.644662,27,35,raw,V1
"(40.0, 50.0]",-0.299058,-0.398744,0,30,45,raw,V1
"(50.0, 60.0]",-0.398744,-0.398744,0,31,55,raw,V1
"(60.0, 70.0]",0,-0.398744,0.162899,30,65,raw,V1
"(70.0, 80.0]",0.601256,0.325798,1.05034,25,75,raw,V1
"(80.0, 90.0]",0.325798,-0.15578,0.803007,28,85,raw,V1
"(90.0, 100.0]",-0.912815,-1.63736,-0.0364732,17,95,raw,V1
"(100.0, 110.0]",-2.87597,-2.87597,-2.87597,3,105,raw,V1
"(-0.001, 10.0]",-0.0653049,-0.260856,0.130246,2,4.9995,aligned,V1
"(10.0, 20.0]",-0.398744,-0.912815,0.325798,14,15,aligned,V1
"(20.0, 30.0]",0.162899,-0.249215,0.839868,28,25,aligned,V1
"(30.0, 40.0]",0.325798,0,0.839868,30,35,aligned,V1
"(40.0, 50.0]",-0.199372,-0.398744,0.147488,30,45,aligned,V1
"(50.0, 60.0]",-0.398744,-0.398744,0,29,55,aligned,V1
"(60.0, 70.0]",0,-0.398744,0.325798,30,65,aligned,V1
"(70.0, 80.0]",0.325798,-0.0182366,0.720562,27,75,aligned,V1
"(80.0, 90.0]",0.325798,0,0.892486,23,85,aligned,V1
"(90.0, 100.0]",-0.398744,-0.912815,0.601256,17,95,aligned,V1
"(100.0, 110.0]",-0.398744,-1.01805,-0.398744,3,105,aligned,V1
"(-0.001, 10.0]",-0.63093,-0.854756,-0.63093,13,4.9995,raw,HVA pooled
"(10.0, 20.0]",-0.492713,-0.63093,-0.36907,30,15,raw,HVA pooled
"(20.0, 30.0]",0,-0.180675,0.26186,31,25,raw,HVA pooled
"(30.0, 40.0]",0.140314,-0.0829781,0.255146,31,35,raw,HVA pooled
"(40.0, 50.0]",0.136157,0,0.244556,31,45,raw,HVA pooled
"(50.0, 60.0]",0,-0.0761914,0.16648,31,55,raw,HVA pooled
"(60.0, 70.0]",0,-0.0761914,0.136157,31,65,raw,HVA pooled
"(70.0, 80.0]",0.36907,0.223768,0.537544,31,75,raw,HVA pooled
"(80.0, 90.0]",0,-0.165956,0,31,85,raw,HVA pooled
"(90.0, 100.0]",-0.734255,-0.854756,-0.63093,31,95,raw,HVA pooled
"(100.0, 110.0]",-1.2384,-1.43466,-1,17,105,raw,HVA pooled
"(-0.001, 10.0]",-0.63093,-1,-0.485427,9,4.9995,aligned,HVA pooled
"(10.0, 20.0]",-0.5,-1,-0.247489,26,15,aligned,HVA pooled
"(20.0, 30.0]",-0.0490572,-0.246172,0.22009,31,25,aligned,HVA pooled
"(30.0, 40.0]",0.140314,0,0.237842,31,35,aligned,HVA pooled
"(40.0, 50.0]",0.124216,0,0.193509,31,45,aligned,HVA pooled
"(50.0, 60.0]",0.070157,0,0.140314,31,55,aligned,HVA pooled
"(60.0, 70.0]",0.140314,-0.0380957,0.272423,31,65,aligned,HVA pooled
"(70.0, 80.0]",0.190091,-0.0562075,0.352585,31,75,aligned,HVA pooled
"(80.0, 90.0]",-0.152383,-0.250715,0.101079,31,85,aligned,HVA pooled
"(90.0, 100.0]",-0.36907,-0.785918,-0.165956,26,95,aligned,HVA pooled
"(100.0, 110.0]",-0.826523,-1.0596,-0.63093,16,105,aligned,HVA pooled
