outcome,area,session_pairs,equal_session_mean_difference,median_session_difference,bootstrap_ci_low,bootstrap_ci_high,bootstrap_p_mean_le_zero
log10_f1_f0,AL,34,-0.111460852200371,-0.11224633768917654,-0.15381734604613295,-0.06831897574721724,1.0
log10_f1_f0,AM,42,-0.10282399763231567,-0.11729524802230237,-0.1370636372241776,-0.06930347878301094,1.0
log10_f1_f0,LM,28,-0.04623000193927212,-0.04107177972955618,-0.10070072618652265,0.005912736469804967,0.9588
log10_f1_f0,PM,24,-0.031757811621231674,-0.050871325115923544,-0.09032618694550357,0.02681792693130298,0.8494
log10_f1_f0,RL,26,0.009216442777788434,0.025961272741551217,-0.05813532560687741,0.07291189474986189,0.3918
log10_mod_idx,AL,34,-0.18543974077090133,-0.21009603534715066,-0.2857969366540846,-0.08052644547008297,0.9998
log10_mod_idx,AM,42,-0.3872104065705053,-0.351259474858436,-0.44849133771809174,-0.3277416929410783,1.0
log10_mod_idx,LM,28,-0.26824211440655443,-0.23106155263038608,-0.3700158157884702,-0.16805004907575666,1.0
log10_mod_idx,PM,24,-0.26123263011934045,-0.22403854657987773,-0.3906708879924356,-0.1346917106215633,1.0
log10_mod_idx,RL,26,-0.21487244326296706,-0.1765021285221483,-0.3213872544353467,-0.10718232231622475,0.9999
rf_area_deg2,AL,34,308.47606068956435,283.92857142857144,223.61150766430103,396.74228826422075,0.0
rf_area_deg2,AM,42,355.65021168893344,317.156862745098,310.9326649512204,404.8337773655049,0.0
rf_area_deg2,LM,28,87.37199443092413,93.21428571428572,12.528361966292321,158.25776550705066,0.0139
rf_area_deg2,PM,24,181.51944451909444,226.58730158730162,76.92274685337101,285.9119046406555,0.0002
rf_area_deg2,RL,26,230.64606800233648,243.2692307692308,129.87520419874522,324.6349747127871,0.0
timescale_ms,AL,14,-0.37254052502621093,6.202338041885328,-10.026844457886723,8.125588550664283,0.5066
timescale_ms,AM,25,7.337078176588111,6.027301097913018,2.593708281835784,12.526280730874293,0.0015
timescale_ms,LM,15,-1.633274585771123,-1.6767396632138087,-8.085531297585087,4.475222159814277,0.6908
timescale_ms,PM,10,8.596351441683645,8.977493609566356,0.8527327637712133,16.62768522894528,0.0137
timescale_ms,RL,7,5.145805984337068,1.5608457309819102,-4.627697492722439,17.26190313845137,0.1934
ttfs_ms,AL,25,1.6655491339126212,-0.30000000000001137,-2.018304399037038,5.359716330852665,0.1785
ttfs_ms,AM,39,4.467993282187875,4.266666666666666,1.9313183862872803,6.917016806213206,0.0004
ttfs_ms,LM,24,2.142475419450484,2.6039215686274595,-2.2360175432970366,6.705701106929636,0.1734
ttfs_ms,PM,17,4.020963232898878,5.142857142857153,0.4811822090523907,7.217345263302164,0.0137
ttfs_ms,RL,20,2.3744395333132773,1.9974789915966475,-1.4306264129272992,6.096123813414252,0.1094
