outcome,model,n_units,n_sessions,r_squared,aic_nonrobust_likelihood,joint_area_by_rf_interaction_p,formula
ttfs_ms,unadjusted_full,12265,54,0.07147268130647066,102622.12767598388,,"ttfs_ms ~ C(area, Treatment(reference='V1')) + C(session_id)"
ttfs_ms,unadjusted_common_support,5814,54,0.08685648416634173,48843.60638368555,,"ttfs_ms ~ C(area, Treatment(reference='V1')) + C(session_id)"
ttfs_ms,rf_adjusted_common_support,5814,54,0.09559131108006436,48805.72389016652,,"ttfs_ms ~ C(area, Treatment(reference='V1')) + C(session_id) + bs(relative_azimuth_deg, df=4, degree=2, include_intercept=False) + bs(relative_elevation_deg, df=4, degree=2, include_intercept=False) + rf_area_z"
ttfs_ms,rf_depth_adjusted_common_support,5814,54,0.10659057464956723,48746.581525083086,,"ttfs_ms ~ C(area, Treatment(reference='V1')) + C(session_id) + bs(relative_azimuth_deg, df=4, degree=2, include_intercept=False) + bs(relative_elevation_deg, df=4, degree=2, include_intercept=False) + rf_area_z + cortical_depth_z + C(cortical_layer)"
ttfs_ms,rf_interaction_common_support,5814,54,0.09232395584116482,48834.69026508143,0.0002598242684969862,"ttfs_ms ~ C(area, Treatment(reference='V1')) + C(session_id) + relative_azimuth_deg + relative_elevation_deg + rf_area_z + C(area, Treatment(reference='V1')):relative_azimuth_deg + C(area, Treatment(reference='V1')):relative_elevation_deg"
log10_mod_idx,unadjusted_full,19603,54,0.07928628237403423,31419.3896741495,,"log10_mod_idx ~ C(area, Treatment(reference='V1')) + C(session_id)"
log10_mod_idx,unadjusted_common_support,9819,54,0.1020639365353686,16396.471630030435,,"log10_mod_idx ~ C(area, Treatment(reference='V1')) + C(session_id)"
log10_mod_idx,rf_adjusted_common_support,9819,54,0.10593228819929112,16372.079527389045,,"log10_mod_idx ~ C(area, Treatment(reference='V1')) + C(session_id) + bs(relative_azimuth_deg, df=4, degree=2, include_intercept=False) + bs(relative_elevation_deg, df=4, degree=2, include_intercept=False) + rf_area_z"
log10_mod_idx,rf_depth_adjusted_common_support,9819,54,0.11227043929694835,16314.223580157613,,"log10_mod_idx ~ C(area, Treatment(reference='V1')) + C(session_id) + bs(relative_azimuth_deg, df=4, degree=2, include_intercept=False) + bs(relative_elevation_deg, df=4, degree=2, include_intercept=False) + rf_area_z + cortical_depth_z + C(cortical_layer)"
log10_mod_idx,rf_interaction_common_support,9819,54,0.10673817929681328,16371.224926064653,0.10692341781485441,"log10_mod_idx ~ C(area, Treatment(reference='V1')) + C(session_id) + relative_azimuth_deg + relative_elevation_deg + rf_area_z + C(area, Treatment(reference='V1')):relative_azimuth_deg + C(area, Treatment(reference='V1')):relative_elevation_deg"
log10_f1_f0,unadjusted_full,19603,54,0.0328497335762733,3645.192052750397,,"log10_f1_f0 ~ C(area, Treatment(reference='V1')) + C(session_id)"
log10_f1_f0,unadjusted_common_support,9819,54,0.04549668328118717,1694.6907725552628,,"log10_f1_f0 ~ C(area, Treatment(reference='V1')) + C(session_id)"
log10_f1_f0,rf_adjusted_common_support,9819,54,0.11873637400598769,928.7977626387546,,"log10_f1_f0 ~ C(area, Treatment(reference='V1')) + C(session_id) + bs(relative_azimuth_deg, df=4, degree=2, include_intercept=False) + bs(relative_elevation_deg, df=4, degree=2, include_intercept=False) + rf_area_z"
log10_f1_f0,rf_depth_adjusted_common_support,9819,54,0.22879356529234163,-369.06399645648344,,"log10_f1_f0 ~ C(area, Treatment(reference='V1')) + C(session_id) + bs(relative_azimuth_deg, df=4, degree=2, include_intercept=False) + bs(relative_elevation_deg, df=4, degree=2, include_intercept=False) + rf_area_z + cortical_depth_z + C(cortical_layer)"
log10_f1_f0,rf_interaction_common_support,9819,54,0.12156299874194088,905.253019489086,2.2621821380112521e-13,"log10_f1_f0 ~ C(area, Treatment(reference='V1')) + C(session_id) + relative_azimuth_deg + relative_elevation_deg + rf_area_z + C(area, Treatment(reference='V1')):relative_azimuth_deg + C(area, Treatment(reference='V1')):relative_elevation_deg"
timescale_ms,unadjusted_full,6821,54,0.053435258829841015,60766.44622675836,,"timescale_ms ~ C(area, Treatment(reference='V1')) + C(session_id)"
timescale_ms,unadjusted_common_support,3225,54,0.06036599212127247,29054.296504571666,,"timescale_ms ~ C(area, Treatment(reference='V1')) + C(session_id)"
timescale_ms,rf_adjusted_common_support,3225,54,0.10592652845910877,28912.005969814618,,"timescale_ms ~ C(area, Treatment(reference='V1')) + C(session_id) + bs(relative_azimuth_deg, df=4, degree=2, include_intercept=False) + bs(relative_elevation_deg, df=4, degree=2, include_intercept=False) + rf_area_z"
timescale_ms,rf_depth_adjusted_common_support,3225,54,0.11712237838763984,28883.36659155503,,"timescale_ms ~ C(area, Treatment(reference='V1')) + C(session_id) + bs(relative_azimuth_deg, df=4, degree=2, include_intercept=False) + bs(relative_elevation_deg, df=4, degree=2, include_intercept=False) + rf_area_z + cortical_depth_z + C(cortical_layer)"
timescale_ms,rf_interaction_common_support,3225,54,0.10552197950426467,28921.464882691802,0.7610136197349688,"timescale_ms ~ C(area, Treatment(reference='V1')) + C(session_id) + relative_azimuth_deg + relative_elevation_deg + rf_area_z + C(area, Treatment(reference='V1')):relative_azimuth_deg + C(area, Treatment(reference='V1')):relative_elevation_deg"
rf_area_deg2,unadjusted_full,19603,54,0.05439648834493205,293277.61588503764,,"rf_area_deg2 ~ C(area, Treatment(reference='V1')) + C(session_id)"
rf_area_deg2,unadjusted_common_support,9819,54,0.16213207325832357,145434.70439323774,,"rf_area_deg2 ~ C(area, Treatment(reference='V1')) + C(session_id)"
rf_area_deg2,rf_adjusted_common_support,9819,54,0.17727691031229076,145271.5979464631,,"rf_area_deg2 ~ C(area, Treatment(reference='V1')) + C(session_id) + bs(relative_azimuth_deg, df=4, degree=2, include_intercept=False) + bs(relative_elevation_deg, df=4, degree=2, include_intercept=False)"
rf_area_deg2,rf_depth_adjusted_common_support,9819,54,0.20606732234304959,144933.83524222317,,"rf_area_deg2 ~ C(area, Treatment(reference='V1')) + C(session_id) + bs(relative_azimuth_deg, df=4, degree=2, include_intercept=False) + bs(relative_elevation_deg, df=4, degree=2, include_intercept=False) + cortical_depth_z + C(cortical_layer)"
rf_area_deg2,rf_interaction_common_support,9819,54,0.17080488030064633,145356.53781852365,1.1290961098569576e-05,"rf_area_deg2 ~ C(area, Treatment(reference='V1')) + C(session_id) + relative_azimuth_deg + relative_elevation_deg + C(area, Treatment(reference='V1')):relative_azimuth_deg + C(area, Treatment(reference='V1')):relative_elevation_deg"
