cohort,area,session_pairs,delta_azimuth_median_deg,delta_elevation_median_deg,distance_median_deg,distance_q25_deg,distance_q75_deg
Brain Observatory 1.1,AL,24,22.928499999999993,13.274000000000001,33.884563053678605,28.585058074639182,40.915063845946506
Brain Observatory 1.1,AM,25,5.0,-4.473500000000001,19.664660917493595,9.457858703216072,24.678814578500322
Brain Observatory 1.1,LM,23,-4.0844999999999985,10.0,28.75,17.67342667079104,36.24846809539232
Brain Observatory 1.1,PM,19,-17.0,27.058999999999997,33.745649927064676,15.975352902512313,44.28570662007225
Brain Observatory 1.1,RL,27,-22.083000000000013,-17.0,31.538160314133734,25.847048020280155,37.83358227554985
Functional Connectivity,AL,19,26.818000000000005,-5.0,33.00094695611021,23.95902603945548,39.10962562599687
Functional Connectivity,AM,21,0.5399999999999991,8.75,19.840787547373214,10.252664458568802,26.25493929244553
Functional Connectivity,LM,15,-5.0,0.0,14.67069948059737,10.888891045345595,31.76089049083475
Functional Connectivity,PM,14,-10.158750000000001,22.0,36.01048300778507,23.77521651006446,41.838629239815425
Functional Connectivity,RL,19,-24.0,-18.333000000000006,31.871553617607034,21.462040621451152,40.39877504954518
