population,cohort,area,session_pairs,delta_azimuth_median_deg,delta_elevation_median_deg,distance_median_deg,distance_q25_deg,distance_q75_deg
rf_only,Brain Observatory 1.1,AL,24,22.499999999999993,14.25,34.1424978491241,29.64465775223292,39.76585672458855
rf_only,Brain Observatory 1.1,AM,25,6.0,-3.819499999999998,19.664660917493595,9.166649837863337,25.446582879632388
rf_only,Brain Observatory 1.1,LM,23,-6.1905,10.0,28.944499999999998,18.261170324561334,36.597215634246616
rf_only,Brain Observatory 1.1,PM,19,-17.0,27.058999999999997,34.33535559740135,15.879626156492302,44.37898719311282
rf_only,Brain Observatory 1.1,RL,27,-22.083000000000013,-16.0,31.8600455115808,25.847048020280155,37.39001099562627
rf_only,Functional Connectivity,AL,19,26.909000000000006,-5.0,34.19691344259011,23.95902603945548,38.7267782132966
rf_only,Functional Connectivity,AM,21,0.4549999999999983,9.166500000000003,18.121793564655786,10.071812461022098,26.25493929244553
rf_only,Functional Connectivity,LM,15,-5.0,0.0,14.67069948059737,10.768669943749474,31.852764737644456
rf_only,Functional Connectivity,PM,14,-10.5555,21.89575,36.49933039915543,25.829394425843798,41.838629239815425
rf_only,Functional Connectivity,RL,19,-24.0,-18.333000000000006,32.09269808694806,21.01833360732365,40.200241544484456
published_like,Brain Observatory 1.1,AL,24,22.928499999999993,13.274000000000001,33.884563053678605,28.585058074639182,40.915063845946506
published_like,Brain Observatory 1.1,AM,25,5.0,-4.473500000000001,19.664660917493595,9.457858703216072,24.678814578500322
published_like,Brain Observatory 1.1,LM,23,-4.0844999999999985,10.0,28.75,17.67342667079104,36.24846809539232
published_like,Brain Observatory 1.1,PM,19,-17.0,27.058999999999997,33.745649927064676,15.975352902512313,44.28570662007225
published_like,Brain Observatory 1.1,RL,27,-22.083000000000013,-17.0,31.538160314133734,25.847048020280155,37.83358227554985
published_like,Functional Connectivity,AL,19,26.818000000000005,-5.0,33.00094695611021,23.95902603945548,39.10962562599687
published_like,Functional Connectivity,AM,21,0.5399999999999991,8.75,19.840787547373214,10.252664458568802,26.25493929244553
published_like,Functional Connectivity,LM,15,-5.0,0.0,14.67069948059737,10.888891045345595,31.76089049083475
published_like,Functional Connectivity,PM,14,-10.158750000000001,22.0,36.01048300778507,23.77521651006446,41.838629239815425
published_like,Functional Connectivity,RL,19,-24.0,-18.333000000000006,31.871553617607034,21.462040621451152,40.39877504954518
intersection,Brain Observatory 1.1,AL,24,23.686499999999988,15.6945,33.554394918587406,26.64851679744604,42.12871636145101
intersection,Brain Observatory 1.1,AM,25,6.25,-2.570999999999998,19.080421903092184,9.462182755580239,23.3864759904095
intersection,Brain Observatory 1.1,LM,23,-5.0,8.571000000000002,30.0,17.34024904087933,34.53237383495178
intersection,Brain Observatory 1.1,PM,19,-18.333000000000013,25.0,35.06462283056813,17.028967982709727,44.98867238569512
intersection,Brain Observatory 1.1,RL,27,-22.0,-16.666999999999994,32.831495720572946,26.48730966565848,38.460270180431664
intersection,Functional Connectivity,AL,19,25.588,-1.3329999999999984,34.04100424488091,25.996745926510894,39.46289504168729
intersection,Functional Connectivity,AM,21,-0.555499999999995,10.0,18.754618417872436,10.088519328920375,26.84553002363708
intersection,Functional Connectivity,LM,15,-5.0,-2.9165000000000028,16.28083993533502,10.268465640368065,34.76462458622839
intersection,Functional Connectivity,PM,14,-5.972250000000001,20.889000000000006,36.105553833681974,23.410705652127703,40.41031610258739
intersection,Functional Connectivity,RL,19,-20.0,-18.541500000000003,30.162905330886144,20.708274244646553,39.720486559387716
