coordinate_bin,median,q25,q75,sessions,coordinate_deg,coordinate
"(29.999, 35.0]",0.23978,-0.0273549,0.641964,26,32.4995,azimuth
"(35.0, 40.0]",0.323863,0,0.680991,26,37.5,azimuth
"(40.0, 45.0]",0,-0.263359,0,29,42.5,azimuth
"(45.0, 50.0]",0.211039,0,0.380508,26,47.5,azimuth
"(50.0, 55.0]",0,-0.31839,0,28,52.5,azimuth
"(55.0, 60.0]",0.325798,0,0.515687,28,57.5,azimuth
"(60.0, 65.0]",0,-0.321928,0.321928,25,62.5,azimuth
"(65.0, 70.0]",0.3013,0,0.588527,22,67.5,azimuth
"(-10.001, -5.0]",0,-0.0987186,0.323863,19,-7.5005,elevation
"(-5.0, 0.0]",-0.122963,-1.03667,0.257101,22,-2.5,elevation
"(0.0, 5.0]",0,-0.263359,0,29,2.5,elevation
"(5.0, 10.0]",0,-0.398744,0.321928,29,7.5,elevation
"(10.0, 15.0]",0,-0.149529,0.277102,30,12.5,elevation
"(15.0, 20.0]",0.269092,0,0.574353,24,17.5,elevation
"(20.0, 25.0]",0.5,-0.0290153,1.15068,25,22.5,elevation
"(25.0, 30.0]",0.687571,-0.303736,1.25395,11,27.5,elevation
